"","x"
"1",306452.543253018
"2",842633.122189572
"3",306729.405144055
"4",531280.91743249
"5",487099.60068783
"6",467723.766026665
"7",646168.357146558
"8",289348.347304992
"9",230109.534951844
"10",639971.573796504
"11",310620.738621204
"12",275464.198129703
"13",203230.637662861
"14",297415.339014407
"15",502130.717414156
"16",677582.383752489
"17",749140.948176794
"18",443915.80108959
"19",654921.363188126
"20",322559.867524872
"21",830258.592043021
"22",192682.860880854
"23",282178.055619938
"24",419714.763918975
"25",745375.225352802
"26",279429.360437935
"27",1119610.07463143
"28",486043.411578357
"29",200795.008724552
"30",303501.251542841
"31",205553.155729548
"32",980572.85244354
"33",616240.301861619
"34",158071.645864342
"35",221815.117766299
"36",469138.125443325
"37",179295.008662567
"38",1150482.93266136
"39",1664786.88631711
"40",254301.903937682
"41",673691.791916615
"42",1079739.56543149
"43",244475.128160515
"44",353221.457661384
"45",150106.854697062
"46",1225541.42514292
"47",830745.984355622
"48",554479.785448755
"49",386530.770810871
"50",683984.978496629
"51",347560.033754374
"52",365579.566506807
"53",1408022.08938587
"54",1428388.27094529
"55",537712.236252786
"56",475284.118141949
"57",160736.280498082
"58",301378.108315741
"59",938075.703932391
"60",486688.586132164
"61",1051842.13991554
"62",662775.93093923
"63",354575.802390124
"64",543350.409471722
"65",466272.912606499
"66",212939.938193509
"67",126652.433318124
"68",961106.834438756
"69",642020.047137171
"70",478477.849019409
"71",800068.984797548
"72",934583.786006961
"73",361442.182762539
"74",512471.241476543
"75",401364.193425613
"76",942790.309928111
"77",387171.626317049
"78",658223.42272912
"79",296113.646560824
"80",1288597.24175025
"81",639901.636042816
"82",486192.286898237
"83",247028.193564655
"84",578077.734054802
"85",482041.686321069
"86",666439.717954817
"87",526572.994808228
"88",447141.755900898
"89",1194616.26763999
"90",1288245.85412005
"91",774390.397570802
"92",255845.642443996
"93",112055.067944816
"94",312510.901817472
"95",236127.331957376
"96",438798.371773336
"97",254729.55055412
"98",425062.598421684
"99",282960.014544792
"100",293289.107887114
"101",1076439.71215294
"102",441817.049050283
"103",354684.578422397
"104",734430.830945924
"105",510183.111475013
"106",976251.315820106
"107",186353.748302977
"108",289323.966930505
"109",1450721.31178597
"110",265227.119557628
"111",1728743.11799395
"112",199832.908726131
"113",273496.365655656
"114",327826.737876594
"115",2646059.0785166
"116",379020.233571902
"117",1492079.87466219
"118",131649.364964781
"119",404929.241512173
"120",642863.657325691
"121",264733.573501125
"122",239977.261702807
"123",254509.1725652
"124",806808.713250374
"125",257244.547025633
"126",384892.429572832
"127",819125.609712788
"128",1130249.30771603
"129",430268.526744411
"130",600730.113271948
"131",508949.935989771
"132",581415.641335683
"133",352629.441728355
"134",301395.9812618
"135",698015.844794687
"136",437168.213208252
"137",1063477.45077361
"138",247243.6815617
"139",471025.608298795
"140",270990.454235511
"141",529338.373390508
"142",941150.92906497
"143",474700.262920364
"144",360356.665108762
"145",719871.206342571
"146",713543.231718766
"147",215301.791048638
"148",324560.714186546
"149",578784.121756886
"150",245662.838071412
"151",238208.613279537
"152",311628.982557347
"153",259848.065906268
"154",1147085.60595639
"155",543780.690043209
"156",387322.04468189
"157",540529.73603236
"158",481923.97105971
"159",606901.582663436
"160",874571.764782886
"161",1297476.2832589
"162",795286.029987782
"163",328064.730939108
"164",1153519.3551155
"165",427274.546839015
"166",550026.723357153
"167",280618.145666411
"168",471748.030961291
"169",246977.412392246
"170",189592.574817397
"171",437590.055919936
"172",673922.221440638
"173",314396.722245773
"174",319342.189275608
"175",335311.844759298
"176",280428.690146301
"177",411403.921799822
"178",285946.65503834
"179",426521.59631851
"180",167172.820291257
"181",577004.727524193
"182",241333.885112984
"183",1000145.46973809
"184",794510.128269266
"185",876625.205158875
"186",1225330.33346999
"187",291743.784044969
"188",477512.057157889
"189",219216.484806844
"190",458195.325411338
"191",179540.533641227
"192",570206.961878217
"193",260158.406448228
"194",291057.930382081
"195",270294.063235565
"196",387079.755596103
"197",197386.4814329
"198",247870.84183855
"199",431674.172203149
"200",184154.71400872
"201",378399.913065911
"202",225586.293028868
"203",144831.170085975
"204",253233.264209038
"205",575381.905179804
"206",288873.89960404
"207",324173.572537494
"208",209542.298738482
"209",548743.801774715
"210",256427.182673623
"211",135480.108780416
"212",574545.836617059
"213",458178.521938966
"214",595897.173240425
"215",834983.363314685
"216",265779.216849598
"217",714797.063231139
