"","x"
"1",350813.450193136
"2",846615.203462003
"3",305791.302925664
"4",618773.437761309
"5",570994.560893437
"6",469962.903428759
"7",649096.499856695
"8",336727.784234472
"9",231942.233688205
"10",641059.88106197
"11",309319.90671768
"12",275556.350073114
"13",202692.045919522
"14",298430.817595599
"15",505526.737334402
"16",685092.4018981
"17",754956.397143481
"18",438062.947901449
"19",647481.107938843
"20",322724.572773599
"21",845562.327629479
"22",190811.586974425
"23",283018.0164991
"24",417846.429455447
"25",742461.823439146
"26",285962.458117192
"27",1125638.11563593
"28",479133.340241939
"29",200749.270409189
"30",305857.553416646
"31",200966.840691334
"32",947478.070538495
"33",619816.498526855
"34",155000.295099859
"35",214523.691622882
"36",459671.060266012
"37",176219.692989813
"38",1163885.27068997
"39",1626809.41524572
"40",254171.331220429
"41",664644.887505098
"42",1032429.50905543
"43",245045.392647736
"44",356523.074742676
"45",147808.234959749
"46",1217480.86320282
"47",826597.455090143
"48",554648.457516907
"49",391614.039125176
"50",681153.515161771
"51",343595.29518785
"52",370459.59105703
"53",1429187.31608501
"54",1449080.75330794
"55",544402.714322193
"56",475003.328586544
"57",163198.032396056
"58",295842.779545124
"59",936916.217167304
"60",491974.969632114
"61",1021070.16289945
"62",661901.845829219
"63",358827.06449333
"64",538642.222616573
"65",461220.645081888
"66",211851.836687207
"67",125149.499378134
"68",932559.259086387
"69",646249.005344706
"70",476377.682363425
"71",793978.773514335
"72",933484.252449928
"73",361831.692899879
"74",513814.740891595
"75",400190.74434655
"76",913329.934506518
"77",387968.225724204
"78",665180.904180015
"79",301444.806711358
"80",1291654.63524661
"81",645019.326503839
"82",487208.8037371
"83",249071.552745128
"84",580155.11866668
"85",486600.989726504
"86",669626.444651062
"87",527077.545969087
"88",453875.629317131
"89",1190940.61467063
"90",1321038.46635218
"91",777985.120266535
"92",257016.148629556
"93",111944.225402181
"94",310885.383716634
"95",236769.382649002
"96",442812.550633587
"97",256624.760735895
"98",426534.12092588
"99",281769.969257728
"100",283118.50023153
"101",1077496.33964164
"102",442854.601140645
"103",360679.357791855
"104",731631.781283544
"105",513109.90060291
"106",986729.742757849
"107",187725.147976469
"108",292368.58413769
"109",1459500.49795011
"110",261184.887651712
"111",1763750.52973903
"112",192698.017984213
"113",274260.714900825
"114",328252.130789656
"115",2686169.61150855
"116",378021.542357027
"117",1503145.41816112
"118",132835.303048068
"119",400133.556440738
"120",654858.060768811
"121",253424.125504227
"122",240768.208481678
"123",258185.600988253
"124",813881.49089558
"125",261372.591214547
"126",383150.821741318
"127",824319.641164216
"128",1103987.89571647
"129",433277.713408239
"130",603736.9689701
"131",506536.478291976
"132",588061.536312088
"133",356192.286640515
"134",296247.057935913
"135",698803.455943615
"136",433690.6077659
"137",1072238.43212048
"138",245981.39665664
"139",473546.098477858
"140",271514.373423484
"141",527993.265309161
"142",940932.493349018
"143",474456.131778845
"144",360844.401550449
"145",714722.710210229
"146",700447.516191726
"147",222554.693444801
"148",323660.061893348
"149",581689.98494865
"150",245455.527138375
"151",227795.897412082
"152",310147.181778186
"153",256642.701169933
"154",1174503.44444115
"155",543360.712138254
"156",386168.30367506
"157",531787.297537379
"158",484078.003738464
"159",609998.641846065
"160",871388.038900119
"161",1307752.27457138
"162",798655.167809945
"163",335347.905064482
"164",1147990.72361955
"165",423323.458607415
"166",551516.233301155
"167",278039.275512152
"168",474172.672779847
"169",245895.702620026
"170",187973.465386434
"171",433531.949684434
"172",673613.66138685
"173",316388.60537753
"174",319681.066018285
"175",334102.736493914
"176",276417.037719788
"177",402516.783899517
"178",287366.795617522
"179",430864.211231998
"180",171095.429789545
"181",578693.779877313
"182",240674.369314736
"183",1004584.32093326
"184",794589.796809634
"185",861588.93039236
"186",1225628.86357731
"187",289202.831382779
"188",475548.347821765
"189",221794.055630214
"190",459771.76312549
"191",184900.540658066
"192",565713.79053905
