"","x"
"1",166021.738961528
"2",611103.26554888
"3",259668.732685296
"4",602081.181090957
"5",416106.294000869
"6",1536213.71682546
"7",223095.572299972
"8",148614.432491759
"9",338428.469152877
"10",313027.163805524
"11",772063.978534666
"12",466253.506492509
"13",345350.96808398
"14",625742.618040641
"15",331217.41226205
"16",559124.036807488
"17",178305.12986307
"18",182520.783490235
"19",363198.65188777
"20",1115311.40427557
"21",308985.839915801
"22",79913.932473912
"23",408125.06246897
"24",861116.204827654
"25",889821.754536304
"26",499613.689751702
"27",643432.820960377
"28",271967.892292472
"29",648224.848239314
"30",312334.712656823
"31",733201.599801785
"32",346901.608698863
"33",765998.983010698
"34",128565.516192435
"35",632903.399306575
"36",867284.037428972
"37",709712.99701791
"38",178110.483447772
"39",586456.627493281
"40",67117.9797095904
"41",707165.791863024
"42",519060.625758342
"43",1474795.52567526
"44",198749.970320947
"45",587810.028717311
"46",527811.932927883
"47",562116.758152013
"48",930182.689467428
"49",951909.065882347
"50",401548.6860386
"51",838761.768974746
"52",378163.964462177
"53",448142.520259875
"54",537927.023160043
"55",529579.590586933
"56",511247.061262786
"57",755465.789588933
"58",1413716.31041444
"59",308899.981819337
"60",107736.978178771
"61",1244732.23035923
"62",1504096.93255205
"63",396636.693759329
"64",384100.987914638
"65",970482.036241157
"66",489886.328540238
"67",425118.047504602
"68",314787.698077544
"69",862208.520512827
"70",395384.797224025
"71",411174.119454087
"72",327259.135728906
"73",289596.693899588
"74",925813.422592656
"75",425748.309254648
"76",560281.838392451
"77",315494.856007833
"78",335280.546404902
"79",1197855.55086348
"80",104900.252767312
"81",540304.253760399
"82",557969.093239895
"83",1019611.71808383
"84",104314.184665037
"85",315015.414760044
"86",548551.124351336
"87",977820.653765641
"88",624424.982032728
"89",478755.373412041
"90",1284054.99571338
"91",166734.441073453
"92",428039.763647257
"93",527836.955398661
"94",191680.588431147
"95",873009.463773331
"96",494165.669324091
"97",583670.446191536
"98",236100.66526731
"99",388848.048004707
"100",1103882.91656995
"101",546660.467881378
"102",135104.48765
"103",280453.36841845
"104",552323.778848774
"105",628615.390979738
"106",379652.826183299
"107",413815.14936681
"108",541518.135637028
"109",1323196.77284219
"110",366010.179297659
"111",268204.87697603
"112",740509.497411177
"113",389624.617282094
"114",120118.39986711
"115",469661.880687765
"116",896673.912306552
"117",465572.972053884
"118",756669.551378687
"119",190357.562472924
"120",244933.14912691
"121",500125.36412835
"122",296573.433012037
"123",611723.094249964
"124",266597.498761005
"125",600580.793805675
"126",792787.261506061
"127",473517.695812271
"128",334524.303771676
"129",492092.462654534
"130",502152.885713018
"131",485883.602132822
"132",1957843.7620979
"133",361419.514784402
"134",164358.137195809
"135",776671.786608185
"136",348363.553756665
"137",292141.281252203
"138",353611.608973218
"139",439101.700811726
"140",944212.508768333
"141",436409.239858535
"142",397553.19338185
"143",281593.507181886
"144",621211.104268918
"145",397278.541447536
"146",284766.456606124
"147",298718.05212304
"148",670182.896256181
"149",512281.137681522
"150",465965.203053273
"151",305499.566052053
"152",415124.77605592
"153",597274.445049767
"154",638325.727193837
"155",105432.603942373
"156",772600.885258818
"157",1222598.10535938
"158",237832.979380479
"159",430334.986836914
"160",552047.19567976
"161",566175.554357313
"162",390640.257503219
"163",149434.419880067
"164",893349.310371529
"165",471684.155853896
"166",272118.815902393
"167",211123.634702383
"168",462871.702525808
"169",501465.833994629
"170",449013.128505581
"171",224603.100819199
"172",213143.738625481
"173",445349.101947617
"174",121189.026542155
"175",438444.354296773
"176",153647.540597167
"177",553579.109693831
"178",270412.00454067
"179",596128.739822645
"180",586879.831073538
"181",516146.606647551
"182",418297.333012293
"183",1193822.71014027
"184",403162.610949809
"185",863217.246555495
"186",491166.358290941
"187",815616.808709375
"188",469800.497277183
"189",364057.786471649
"190",299317.094975628
"191",326054.618486067
"192",222955.319808828
"193",422745.055948085
"194",1182000.62702566
"195",476574.675869466
"196",401717.32856542
"197",260937.318535095
"198",527631.443151764
"199",455438.69538037
"200",716206.492170624
"201",923772.069411246
"202",758528.346328877
"203",202695.096856498
"204",264681.827863658
"205",521656.410157566
"206",195565.130079723
"207",471474.548810582
"208",494505.011819382
"209",193542.763147463
"210",328107.886902565
"211",576436.599471248
"212",630076.175139147
"213",348420.674396131
"214",340771.079468572
"215",222205.356827282
"216",582686.962710806
"217",462838.638799186
"218",299373.613350218
"219",240886.545035574
"220",616297.775857512
"221",840493.33567588
"222",204341.053011659
"223",388298.638116315
"224",252450.89040643
"225",231026.917654872
"226",439920.693099189
"227",291403.547088415
"228",2080223.34808969
"229",1473186.31411339
"230",325911.930641781
"231",178094.1198397
"232",546567.786718599
"233",440191.626377068
"234",459630.247012258
"235",759346.303038306
"236",405818.172074556
"237",524799.166312124
"238",503106.024790335
"239",494839.07416085
"240",414775.974387565
"241",647340.829137578
"242",456984.423348646
"243",371096.915185695
"244",669637.485383638
"245",578308.407054287
"246",905659.273165262
"247",150824.096412272
"248",496018.5374063
"249",368563.794745186
"250",211189.838451786
"251",1951723.43771557
"252",374374.810781905
"253",611280.65464743
"254",917159.433257536
"255",573988.364747226
"256",481476.206690683
"257",633939.671090954
"258",693785.241807712
"259",769633.573721549
"260",330773.636543436
"261",1392989.73196509
"262",319929.248926382
"263",627083.810879047
"264",359279.169212011
"265",143279.445606112
"266",748145.690536391
"267",161552.023338966
"268",339645.138295358
"269",673807.621971617
"270",183140.114567745
"271",744774.812662526
"272",1046120.28794813
"273",372320.82013033
"274",277891.473746115
"275",286397.042625991
"276",623749.077198212
"277",270714.551526359
"278",660653.086509479
"279",654599.663652015
"280",204542.186387357
"281",122072.601168644
"282",140673.326183477
"283",224298.994802487
"284",493326.260630526
"285",352172.185969596
"286",230456.296173917
"287",500533.550325088
"288",277315.475045952
"289",524570.8032313
"290",721232.723906382
"291",399902.3242204
"292",615860.82120599
"293",278287.935661793
"294",641276.903422031
"295",347660.997791997
"296",621087.54702834
"297",586619.083326088
"298",257676.452746775
"299",541851.850876155
"300",604529.581832083
"301",253728.239032613
"302",885506.446759435
"303",230229.068645334
"304",634628.935847835
"305",597645.041634554
"306",251723.171076666
"307",955790.746758017
"308",406781.045340374
"309",626122.995308023
"310",1453415.27331035
"311",326340.237868709
"312",212375.916514247
"313",500153.396613491
"314",312519.462249669
"315",1388570.17427242
"316",383197.734772792
"317",436447.652930794
"318",539904.02728017
"319",229683.946985433
"320",590057.676621417
"321",546326.922682022
"322",404830.005068174
"323",477522.986497427
"324",180659.179503151
"325",349765.421661033
"326",769419.312260647
"327",220922.355661544
"328",77402.9009321915
"329",614078.953030712
"330",592551.063556552
"331",459933.604539741
"332",378248.75419971
"333",2086947.35467388
"334",518995.714091858
"335",444929.789514849
"336",424153.569845851
"337",432096.856740446
"338",315660.527819046
"339",429622.022447574
"340",355108.103215516
"341",386129.530730524
"342",451683.117602469
"343",205366.658972014
"344",497443.962575241
"345",626988.165070994
"346",1129170.84529355
"347",972365.314391278
"348",483540.96034097
"349",418353.972592412
"350",305554.949532748
"351",276061.791480601
"352",668137.390912359
"353",411663.48382074
"354",946082.050187886
"355",370884.196518898
"356",513548.263527959
"357",595944.285019778
"358",1116401.08476706
"359",218117.535940256
"360",648845.34599905
"361",819587.167953175
"362",632309.586988099
"363",505004.352626525
"364",1286358.43993088
"365",658426.902060047
"366",1022714.69099373
"367",195325.547416144
"368",428780.366085452
"369",249020.643359255
"370",133826.829079858
"371",348997.541480697
"372",306579.623854567
"373",1041896.63594746
"374",1040141.18703074
"375",1297611.96409246
"376",786395.379244364
"377",441721.314331663
"378",448920.803624009
"379",451008.351532093
"380",802505.692737484
"381",453237.585411673
"382",407880.885181328
"383",799376.527736667
"384",433882.39901341
"385",336495.123479421
"386",1452138.49567295
"387",282379.337433345
"388",688486.153832558
"389",751125.213295155
"390",238664.084173526
"391",636764.69778056
"392",372203.99739468
"393",709947.692747626
"394",466079.587036632
"395",399462.926134997
"396",707401.179967585
"397",480083.119621678
"398",314585.233952466
"399",301911.998034028
"400",513055.578573261
"401",452786.241148852
"402",683610.896502036
"403",1191641.80097092
"404",624102.67167655
"405",494499.633031773
"406",1022186.12247847
"407",618965.319250001
"408",323783.065893166
"409",265176.772175073
"410",824226.699259564
"411",777175.198351052
"412",146100.790227814
"413",545245.802131708
"414",308308.487091811
"415",273741.540640712
"416",943048.734831897
"417",642689.325800725
"418",398440.374091695
"419",700836.264700894
"420",283830.627735995
"421",147392.418685289
"422",1160529.29793678
"423",139809.121438227
"424",352689.502350396
"425",591985.606378996
"426",171162.5416843
"427",275813.494163014
"428",487048.639600495
"429",367759.648839744
"430",1264253.04357323
"431",860446.599569996
"432",335053.830956026
"433",367138.400064917
"434",212984.992827666
"435",826346.735188352
"436",409423.868215656
"437",366812.80369963
"438",644610.691437152
"439",1708231.09975039
"440",174904.376088972
"441",693473.174754242
"442",282910.081477166
"443",356252.971156584
"444",828196.557485422
"445",1028121.68120366
"446",557364.129877191
"447",428281.202968604
"448",204615.079995892
"449",857068.938434635
"450",933201.483023168
"451",522552.823313211
"452",811685.079348012
"453",178332.175391455
"454",218575.959953038
"455",1094629.07579931
"456",495544.211264248
"457",137345.25718999
"458",600236.061867516
"459",253739.591439887
"460",493286.88424901
"461",203007.911869877
"462",278697.291402674
"463",801259.181450196
"464",1144229.57112583
"465",391645.313746838
"466",694307.155145899
"467",441504.798862173
"468",276710.574439918
"469",260793.169458199
"470",296545.796103447
"471",183259.887311568
"472",621349.243350761
"473",446523.446356326
"474",214261.07202718
"475",389135.076958555
"476",408038.58147429
"477",651087.956008462
"478",476567.617969462
"479",350283.366284693
"480",206439.061466285
"481",444211.408686828
"482",699315.291780446
"483",540100.649913574
"484",629703.104283494
"485",166947.030032527
"486",457120.461467358
"487",428742.649474958
"488",254262.690348438
"489",164332.73167943
"490",292829.367414012
"491",566450.357737487
"492",173917.147788174
