"","s1"
"1",362616.963318583
"2",848474.627202447
"3",305591.660667467
"4",616552.379529578
"5",568345.867077041
"6",471330.107197742
"7",648366.813553611
"8",348284.640298072
"9",231604.195994273
"10",641343.644525887
"11",308938.93533774
"12",274174.471668402
"13",201435.192565747
"14",297258.140857056
"15",503220.533241647
"16",689397.507787349
"17",755699.569041633
"18",438191.860572768
"19",648483.085141087
"20",321263.963069242
"21",845441.787597895
"22",191494.663581706
"23",282435.238732489
"24",413925.500886844
"25",742960.795868231
"26",287529.981659176
"27",1123514.7358495
"28",478827.468615282
"29",199736.563388327
"30",305992.822466897
"31",199669.397367949
"32",946027.061362667
"33",621473.950818346
"34",154971.838820233
"35",215318.699004038
"36",461411.941820536
"37",175184.607394507
"38",1161849.17400914
"39",1627223.03052841
"40",253721.939279518
"41",664086.508692581
"42",1035587.24213986
"43",245556.328139025
"44",355770.097194175
"45",147740.574868677
"46",1218024.80691585
"47",826568.317936795
"48",554275.202179884
"49",396877.826532373
"50",683275.793675848
"51",342910.965074728
"52",372107.033809432
"53",1429007.16472299
"54",1448869.12647697
"55",543481.774932364
"56",474378.29800023
"57",163729.930088012
"58",295360.768032133
"59",937609.925856492
"60",491220.346264806
"61",1021443.42749001
"62",662166.574906575
"63",359722.195677015
"64",538596.070523512
"65",461316.370280497
"66",211381.174720307
"67",125079.233466248
"68",932543.421829319
"69",646308.282686645
"70",477581.39966581
"71",794158.473408985
"72",934687.406604041
"73",360370.023992338
"74",516203.596084893
"75",400009.43938122
"76",912572.655489402
"77",387727.60489732
"78",665057.701669625
"79",304540.862013807
"80",1292258.1723243
"81",643828.046539381
"82",487093.744409841
"83",250034.864131531
"84",580465.32629742
"85",487295.787510851
"86",670305.183298805
"87",527805.25740555
"88",454467.992415462
"89",1192208.40788554
"90",1323319.7191037
"91",777348.619746218
"92",260137.438746609
"93",112550.018647953
"94",311571.019890637
"95",237140.771033488
"96",443473.661457488
"97",257064.697786261
"98",426218.029358601
"99",280643.282448547
"100",282318.517848359
"101",1077372.35075605
"102",441839.38680312
"103",361951.566169503
"104",732236.542741401
"105",514155.782918182
"106",986643.294260363
"107",187694.857175856
"108",292167.88832852
"109",1460577.45774043
"110",260991.923831617
"111",1765608.53606245
"112",190838.294092417
"113",273074.853627258
"114",327655.232735483
"115",2684112.91310929
"116",377431.378335409
"117",1503031.74363028
"118",133904.075885433
"119",399406.192612085
"120",654827.168062079
"121",254128.280078235
"122",240151.946474158
"123",261088.031129059
"124",813770.452492836
"125",259702.648663436
"126",383501.410787037
"127",825932.187421178
"128",1103433.31245647
"129",434640.620758408
"130",603052.987404375
"131",507168.481206995
"132",587439.211368921
"133",356948.494096099
"134",292929.366334618
"135",699302.049960534
"136",434451.033806352
"137",1070435.0693019
"138",246077.409657058
"139",473374.327664635
"140",271285.82868209
"141",527590.268858473
"142",941950.324047935
"143",475047.107488969
"144",362406.771606772
"145",714103.426152546
"146",699732.116051442
"147",229006.031314182
"148",322303.002560381
"149",581637.605802099
"150",245249.089448188
"151",227413.914318774
"152",309230.688292014
"153",255453.028611734
"154",1172885.41054979
"155",545354.381594473
"156",385340.623210536
"157",532207.799589269
"158",484518.885775381
"159",610197.026998861
"160",870795.432078772
"161",1309025.30335021
"162",797607.147537513
"163",336591.029839906
"164",1147326.59602201
"165",424428.564206375
"166",551849.706631464
"167",275950.060120471
"168",471253.60228633
"169",246538.688973773
"170",187706.920598088
"171",433084.467825884
"172",672475.714866451
"173",317323.769518053
"174",317742.110775528
"175",334514.818378387
"176",276405.254740537
"177",404683.088135109
"178",286972.632462604
"179",430766.42461562
"180",171611.715203982
"181",579765.22646028
"182",239892.242124088
"183",1004668.53951672
"184",794907.386395732
"185",861787.090085733
"186",1225497.13671758
"187",287726.949794579
"188",474618.944445031
"189",221096.378623583
"190",458395.39647398
"191",189740.640622074
"192",565428.150080774
"193",254359.612780353
"194",291221.491748592
"195",271620.775178259
"196",379821.618643084
"197",195285.813333144
"198",250031.815381585
"199",430772.284045031
"200",184218.695917133
"201",368589.542785701
"202",224624.717163354
"203",144403.89894152
"204",251790.883164571
"205",574327.037028552
"206",284314.713133034
"207",347504.104369777
"208",209259.443063265
"209",542211.766627164
"210",256059.440709086
"211",134062.682380458
"212",582352.491354797
"213",450008.334886394
"214",585915.037035518
"215",832261.920754728
"216",266341.062191441
"217",726712.783854216
"218",240126.46239273
"219",280011.955095314
"220",382490.967111147
"221",238004.186631397
"222",643399.703894297
"223",228317.646879041
"224",158476.546003585
"225",338192.290662901
"226",141158.027672146
"227",937486.098112362
"228",576249.751562912
"229",477918.717934641
"230",776552.187422656
"231",338417.141642809
"232",319954.536106776
"233",395934.331053581
"234",452713.979784799
"235",162855.155451066
"236",489499.728587848
"237",498994.540281757
"238",481731.922407088
"239",430843.750010149
"240",921299.118251382
"241",356039.019271701
"242",445646.861576037
"243",534974.761072836
"244",384516.492861393
"245",747074.899950076
"246",650654.39315592
"247",304766.873836018
"248",231098.935883993
"249",412222.581742776
"250",873104.079955145
"251",663198.389956919
"252",430055.563149928
"253",418789.948644111
"254",353375.556569263
"255",218612.154866279
"256",391394.763681643
"257",187400.258766658
"258",555041.408016595
"259",458255.304231105
"260",368939.30892667
"261",1045655.11391117
"262",593865.014962629
"263",313064.65428863
"264",556596.253453632
"265",627001.406209008
"266",523001.263291572
"267",500365.057431628
"268",574237.356623867
"269",424300.785677273
"270",508247.867477552
"271",775639.652156608
"272",351838.825793621
"273",144003.06069166
"274",990215.610554263
"275",673210.80964399
"276",479556.813306943
"277",441927.726905623
"278",243227.444510451
"279",654748.756066045
"280",338364.854088464
"281",987906.361715403
"282",281958.401502732
"283",691522.900736635
"284",282308.407266131
"285",647109.647947446
"286",589422.117582423
"287",562762.612470155
"288",1455910.364917
"289",283059.299114525
"290",583120.536426254
"291",241175.295101873
"292",319223.001507913
"293",478910.337578137
"294",1353203.67850616
"295",688988.17984629
"296",331205.356663129
"297",740805.610556765
"298",180368.766184724
"299",629633.18588349
"300",1032534.04043844
"301",315554.801483002
"302",384061.292657279
"303",786729.7769811
"304",790661.194502572
"305",475296.382237148
"306",1224615.29123559
"307",462328.402086445
"308",333713.755700308
"309",456566.590836541
"310",528917.20142318
"311",439325.048525387
"312",758925.144499983
"313",140667.990162248
"314",555923.240457921
"315",874050.044247376
"316",1485137.31998847
"317",487895.161344155
"318",276136.225087003
"319",1110312.97001007
"320",475548.64814759
"321",775123.143189411
"322",531964.587843966
"323",274472.547677421
"324",258860.144317333
"325",569871.280111019
"326",303558.01032735
"327",528806.659315501
"328",474636.285167354
"329",281898.741709884
"330",992300.936476409
"331",464525.024972149
"332",488476.135399242
"333",1201291.45788257
"334",392388.392291924
"335",409356.664811994
"336",248843.926684938
"337",820927.894536622
"338",601801.993623064
"339",368892.659995003
"340",603655.028945233
"341",225471.882502047
"342",359159.517493562
"343",277053.455745898
"344",233975.751479141
"345",271449.749294033
"346",334308.068260767
"347",218631.780217377
"348",340663.833772977
"349",472855.888760387
"350",460863.116974995
"351",305983.164786147
"352",394512.966589395
"353",333669.138022152
"354",556445.307996151
"355",348917.964109828
"356",501785.278342118
"357",455741.058907083
"358",333544.678943383
"359",303415.39888007
"360",317584.439404721
"361",491983.925091672
"362",1012321.96296515
"363",1487810.89878981
"364",409740.855494604
"365",145172.105315987
"366",837454.936339746
"367",365190.731833391
"368",331146.751141831
"369",660884.374557235
"370",555309.217638535
"371",319150.232606724
"372",419019.514879225
"373",537453.182220688
"374",667226.90008116
"375",427773.475648468
"376",1602131.34368834
"377",161099.921944874
"378",629460.597987374
"379",509603.704313075
"380",458158.598048437
"381",599743.417249946
"382",777360.718173129
"383",349295.367508281
"384",367216.792769056
"385",486624.97383139
"386",532541.492294204
"387",613933.209523201
"388",1000232.33381917
"389",298137.22168181
"390",810020.40779105
"391",1446078.91080676
"392",653660.66620222
"393",751696.092244529
"394",1071101.41088295
"395",579577.136838384
"396",360453.040541637
"397",171035.430903978
"398",423985.423470832
"399",827496.272201944
"400",421775.519308404
"401",909895.146429466
"402",140420.144027754
"403",597506.304063947
"404",135762.137644793
"405",224681.388636964
"406",878718.964289952
"407",179416.400885868
"408",889849.186454041
"409",603361.766220578
"410",339674.751544961
"411",332968.900234241
"412",654830.486090676
"413",322718.641376647
"414",156528.746621925
"415",1145587.66199343
"416",371364.645718361
"417",306377.501993916
"418",240779.358569033
"419",292844.805380169
"420",141925.898949718
"421",435633.387942439
"422",996353.166488047
"423",259739.899706218
"424",941628.255752151
"425",682739.882610631
"426",491444.409752395
"427",1034460.04162803
"428",1385133.37154402
"429",1112099.05699376
"430",685949.28375031
"431",836650.552816018
"432",341984.805005294
"433",668275.771885457
"434",591385.922511688
"435",259017.664885858
"436",705847.0012982
"437",396648.991443266
"438",1039096.00316719
"439",522051.429084242
"440",189358.577631954
"441",543185.888505246
"442",276564.505694486
"443",802495.951968585
"444",1263043.13957876
"445",205935.856311992
"446",350402.712193769
"447",292639.67390629
"448",415066.954768361
"449",265025.537556732
"450",666019.51121808
"451",855804.746263022
"452",268973.228216836
"453",455946.873055794
"454",446836.643308038
"455",511061.531814873
"456",529019.461688114
"457",187608.451552102
"458",659876.433270891
"459",925334.287014226
"460",197671.51617487
"461",1136741.13869243
"462",279269.230015968
"463",1243020.36317463
"464",653016.942008664
"465",469583.180116195
"466",590215.673511354
"467",403183.037849753
"468",316969.75225889
"469",163332.277078387
"470",807159.421136113
"471",777005.491022632
"472",243699.98161742
"473",239429.995288304
"474",914638.010334833
"475",361356.984490823
"476",464705.377937079
"477",376386.8991787
"478",471814.383288413
