"","x"
"1",413821.181674124
"2",944305.835954288
"3",569058.768877027
"4",576111.90535655
"5",328968.817686303
"6",607244.163343312
"7",987284.256643816
"8",470926.360220438
"9",312351.572135252
"10",848737.644182918
"11",455769.222681068
"12",425958.741529366
"13",441798.366279659
"14",494466.75971926
"15",498054.649665603
"16",928710.478083011
"17",755069.855580198
"18",220538.119605386
"19",606294.600862572
"20",323902.992015161
"21",750753.645445164
"22",292345.495808026
"23",378875.103923974
"24",450774.369206361
"25",641016.245474692
"26",412900.595957877
"27",968374.471286531
"28",209969.376113967
"29",420592.453949658
"30",488297.768203318
"31",167667.623932976
"32",546210.720131297
"33",585983.013113511
"34",307958.702639581
"35",427575.109691819
"36",333088.445881644
"37",326034.531427801
"38",1001511.9582407
"39",1581604.72376208
"40",411381.56658638
"41",527642.697495729
"42",1119147.32277177
"43",370167.593170599
"44",564225.318485463
"45",294975.457018864
"46",1300035.80635842
"47",838183.100567192
"48",634212.187812847
"49",495135.987745989
"50",841091.012783128
"51",498299.295814433
"52",571456.137640153
"53",1210308.22835877
"54",1225403.6293682
"55",497922.388139508
"56",525516.541847273
"57",236961.991292154
"58",418973.416418879
"59",623023.541211182
"60",379962.876503051
"61",663519.890407507
"62",669323.900532237
"63",358781.245423996
"64",620498.992252888
"65",581170.991222695
"66",285035.118208017
"67",124679.234617003
"68",618544.34133455
"69",550149.528798657
"70",380286.035013094
"71",795243.178876466
"72",890024.69647434
"73",457631.910734613
"74",554140.716005524
"75",434899.365809124
"76",660787.987524412
"77",475136.183999059
"78",570171.185482728
"79",340755.565097365
"80",941029.940056338
"81",613628.275890845
"82",317394.988954597
"83",380371.871002982
"84",382556.679690426
"85",815040.787889067
"86",705788.816979098
"87",551947.932924297
"88",285072.095564391
"89",584839.984102454
"90",1081306.90448791
"91",820236.403581249
"92",181696.667849261
"93",165351.042988587
"94",279168.797128021
"95",270786.597448389
"96",693962.040715693
"97",390522.556856168
"98",646054.411604145
"99",609266.803145889
"100",268694.668018745
"101",1305521.29921631
"102",296460.864871761
"103",440411.343198264
"104",657812.236915644
"105",604710.088502042
"106",652250.361049144
"107",274146.085386605
"108",263860.684024497
"109",1472225.55345245
"110",295172.367292635
"111",1727931.22675981
"112",178562.453802063
"113",425549.727229567
"114",433019.083090967
"115",2354506.27731294
"116",515391.708530692
"117",1542833.3081841
"118",223544.067497217
"119",482892.898768453
"120",405484.580226866
"121",340442.192804599
"122",360112.492861767
"123",411534.848224065
"124",940088.685570128
"125",449042.983672094
"126",350425.618236401
"127",989900.088602272
"128",872160.367305003
"129",522064.3909203
"130",807290.290293609
"131",486909.552532428
"132",813054.943940184
"133",184744.003135244
"134",438169.678863437
"135",865214.291037709
"136",399187.318444855
"137",991180.714085844
"138",198020.557825933
"139",525532.99325742
"140",228391.192932927
"141",391773.426029511
"142",732117.57556092
"143",278699.051978308
"144",508691.108409969
"145",697068.111575563
"146",680055.2866464
"147",300750.002534519
"148",264036.970293455
"149",662981.133457138
"150",381015.929045172
"151",364021.80545229
"152",280109.012698028
"153",282644.112665632
"154",1066706.15636854
"155",646695.314395495
"156",445011.951582441
"157",423995.060470586
"158",426617.011259157
"159",482563.394444919
"160",805912.603255263
"161",1335040.92283344
"162",607704.149898668
"163",193945.434469511
"164",602622.846839718
"165",269712.232667817
"166",497056.939173856
"167",175333.12976785
"168",428349.629516582
"169",427423.368421663
"170",252867.819000703
"171",427370.251545817
