"","x"
"1",309904.416006498
"2",845765.656484768
"3",308307.541915627
"4",620177.890936537
"5",571887.418305902
"6",469945.114137848
"7",642535.68471721
"8",296211.991159885
"9",231990.780623163
"10",640515.314171586
"11",309150.831894781
"12",275785.91482525
"13",202882.438653765
"14",309023.487982874
"15",506074.480098443
"16",679500.645017207
"17",754979.093608952
"18",438009.549905733
"19",647329.815418844
"20",322455.957703955
"21",845415.418386778
"22",198538.654238192
"23",282218.379241346
"24",418789.810157814
"25",742608.262769059
"26",278160.42797904
"27",1126223.86063097
"28",479379.637171494
"29",200902.087292237
"30",305643.50994525
"31",203929.298317905
"32",947597.22539023
"33",619752.632640149
"34",156987.378107342
"35",214031.414592413
"36",458942.080005712
"37",176036.116783881
"38",1164493.19195226
"39",1627574.68844163
"40",264545.38698379
"41",664433.723958905
"42",1026702.91988458
"43",252820.178726133
"44",356577.448872444
"45",149871.997267557
"46",1217844.90039336
"47",826919.856028149
"48",555007.699280423
"49",385391.270884681
"50",680094.934942219
"51",343867.553435134
"52",362776.710803853
"53",1429506.18291587
"54",1449403.4637218
"55",544228.923988019
"56",475249.491386644
"57",158184.331086937
"58",298390.603522231
"59",936527.712650829
"60",491845.12938609
"61",1020849.27588295
"62",661842.032946242
"63",358204.307807634
"64",538228.080251948
"65",461226.836534354
"66",211687.835118303
"67",109300.50056304
"68",932442.018442014
"69",645926.688746935
"70",475766.499500942
"71",794133.532339697
"72",933210.940477402
"73",362292.568049199
"74",512860.957482083
"75",399771.869684102
"76",913474.565345849
"77",387472.048734304
"78",665122.879261583
"79",300444.523575626
"80",1291764.00213652
"81",645219.117499839
"82",486746.83821736
"83",248643.733227275
"84",580053.941952269
"85",485744.538414731
"86",669412.426221919
"87",526652.759967269
"88",453336.422511321
"89",1190761.41345402
"90",1320454.94828537
"91",778052.991983273
"92",259387.27260518
"93",121664.727387223
"94",310428.213603182
"95",236263.577040244
"96",442562.122342915
"97",256401.298447964
"98",425680.846609022
"99",284484.151598815
"100",277699.347777879
"101",1078473.08607356
"102",442721.657102956
"103",360310.73056239
"104",731332.896382093
"105",512415.724753658
"106",986453.462997042
"107",187466.725375744
"108",291866.333079297
"109",1459384.58746746
"110",263866.331936785
"111",1764498.08606622
"112",195845.442888309
"113",274391.681152197
"114",328621.877230496
"115",2680285.77032036
"116",388491.577913081
"117",1503257.87179101
"118",135342.364409568
"119",400275.612139421
"120",654400.122728226
"121",256114.718724674
"122",240842.630935031
"123",257158.866348359
"124",814079.333900253
"125",261284.330101441
"126",382587.760086748
"127",824289.59900592
"128",1104124.78793936
"129",430886.653424165
"130",604316.078236147
"131",506364.511582546
"132",588275.165596937
"133",355655.105812059
"134",305532.932873625
"135",698846.808538715
"136",433304.237999132
"137",1072811.16044129
"138",245583.011163919
"139",473425.961275345
"140",271339.352811306
"141",527917.676685078
"142",940724.673143356
"143",477224.301447864
"144",360345.662420795
"145",714909.349571838
"146",700563.523363892
"147",215637.652274817
"148",323316.882983562
"149",581419.560430975
"150",245517.590339455
"151",227472.155238079
"152",309439.38100944
"153",256579.93933678
"154",1174836.09276302
"155",542982.029000211
"156",386183.650185707
"157",531659.047743866
"158",486774.126592313
"159",609893.944917642
"160",871776.789522732
"161",1307779.64292818
"162",798818.11942155
"163",334981.398469775
"164",1148069.50213235
"165",422591.474159079
"166",551306.804253702
"167",278347.159874757
"168",474988.602110955
"169",253693.439338467
"170",190190.295067758
"171",433707.591567745
"172",674225.160487328
"173",315931.144911154
"174",320457.183071236
"175",333662.664217293
"176",276066.008784758
"177",401540.146324384
"178",287016.005541399
"179",430778.831965272
"180",170395.677675036
"181",578152.788604109
"182",240570.294874371
"183",1005147.64967805
"184",794212.823675412
"185",861386.909186571
"186",1225969.93815476
"187",289381.622404325
"188",475906.667298393
"189",221367.467641286
"190",460078.594994556
"191",178572.431487877
"192",565121.288743285
"193",257331.115489795
"194",294879.452703516
"195",273120.12377052
"196",380132.106698759
"197",193368.295965417
"198",252137.681327819
"199",431530.560937705
"200",190741.762945661
"201",370156.374503235
"202",232879.165265874
"203",145982.65490807
"204",253298.135181685
"205",574567.308225939
"206",285255.840110044
"207",350625.522353293
"208",208830.189448601
"209",539833.397747004
"210",254982.494111317
"211",137508.949798514
"212",580426.028541658
"213",451980.837274877
"214",587813.63076062
"215",832487.034063572
"216",265874.862684657
"217",726708.339400683
"218",238063.540348093
"219",280372.20375977
"220",381198.890091286
"221",239476.980636397
"222",643129.843501383
"223",229381.301130742
"224",155573.993042488
"225",337533.571229531
"226",141959.577198467
"227",938604.13643165
"228",577324.232605903
"229",476058.518055414
"230",775671.946261478
"231",341501.464017084
"232",319104.660649369
"233",396083.853537308
"234",452807.671386737
"235",165678.991464286
"236",484763.898424099
"237",498251.237837994
"238",483220.040930225
"239",430937.282830901
"240",924437.329728125
"241",355915.264839016
"242",444997.71110252
"243",532683.868646592
"244",382402.668630235
"245",747130.965464276
"246",650649.547295989
"247",304472.134491864
"248",234140.124139579
"249",408890.998077031
"250",873065.384345392
"251",663807.282276968
"252",430577.824822125
"253",419955.694129306
"254",340668.987715124
"255",219119.386178705
"256",391835.973572421
"257",184409.66354686
"258",553560.688524356
"259",460211.353343994
"260",372372.305823641
"261",1044962.27480186
"262",593836.772436732
"263",312489.851590417
"264",556765.730186571
"265",623333.298244884
"266",520840.167411981
"267",504408.651664119
"268",575174.598697546
"269",422269.528897717
"270",509517.204101864
"271",774550.470572461
"272",351844.800528517
"273",138116.285604632
"274",990644.408347984
"275",671344.933308747
"276",480956.071144778
"277",440765.381678003
"278",242065.301351989
"279",656536.792936178
"280",338756.705626361
"281",986528.635470541
"282",281967.003686175
"283",690108.568571708
"284",285225.367254035
"285",642075.114309117
"286",587466.08065515
"287",561893.197858018
"288",1455783.98267596
"289",286321.997970655
"290",584677.022811122
"291",239431.195031994
"292",320658.479275512
"293",477911.141787268
"294",1354932.14264388
"295",688897.124984567
"296",332285.995651794
"297",740984.156351806
"298",174147.028779684
"299",631008.196620826
"300",1029927.86537465
"301",315554.136503589
"302",388152.257296963
"303",785995.532385061
"304",791321.887965591
"305",475777.508169804
"306",1226651.05472661
"307",462975.316548187
"308",334129.379096709
"309",456711.088558538
"310",527353.855384023
"311",438794.605141273
"312",759767.240783353
"313",140845.077622516
"314",557787.094159207
"315",873580.137382625
"316",1485651.04963382
"317",486170.29568899
"318",264714.519159661
"319",1112064.22429741
"320",474259.795194386
"321",776528.15903954
"322",532273.226692236
"323",272951.973817351
"324",258083.016809437
"325",567019.339761314
"326",304977.570920273
"327",528653.076387979
"328",474586.395308564
"329",281832.021956015
"330",990453.051907704
"331",464257.032527949
"332",487679.59559212
"333",1200387.99358469
"334",394525.391874985
"335",409558.283480797
"336",250762.604365113
"337",821210.990659946
"338",603352.616573317
"339",368464.51479847
"340",605756.308381763
"341",215760.825195592
"342",357943.373137962
"343",278729.116048141
"344",232811.278584339
"345",272494.353765553
"346",332878.299493643
"347",217502.966487453
"348",339427.883400541
"349",471851.306921715
"350",460769.827184935
"351",305134.172415142
"352",394828.558960061
"353",330108.588047685
"354",557486.858424897
"355",341564.075118541
"356",499883.251435268
"357",459670.886153984
"358",334864.22632076
"359",304379.367450728
"360",318996.788491668
"361",495581.690240656
"362",1012208.35031628
"363",1487339.01721133
"364",409555.41515066
"365",141219.284463838
"366",836658.076115994
"367",366505.539728666
"368",330360.166936996
"369",660557.264061571
"370",557089.836388021
"371",320862.200929236
"372",420226.20228984
"373",537202.012461813
"374",667789.681575804
"375",427677.084779897
"376",1600726.70741761
"377",160474.648818124
"378",628408.76543518
"379",511472.759893263
"380",453158.131427793
"381",598690.461673998
"382",778650.586492843
"383",350927.787803456
"384",368881.081404216
"385",488164.409760539
"386",532785.04585878
"387",613862.490122575
"388",1000733.38704622
"389",295241.926249154
"390",809412.082742197
"391",1452410.75969833
"392",653498.081029934
"393",750042.487654511
"394",1070671.7285233
"395",577893.672129539
"396",360242.357889707
