"","s=4.641589"
"1",331704.323741705
"2",849223.783661723
"3",305595.506739638
"4",615406.987934286
"5",566873.798148746
"6",471944.137315381
"7",648166.466448869
"8",317331.638673731
"9",231268.35109059
"10",641420.037213469
"11",308796.246809154
"12",273712.605760793
"13",201167.169200337
"14",296954.864933543
"15",502305.981783198
"16",690163.391810576
"17",755964.275870662
"18",438261.662361573
"19",648935.894876539
"20",320662.113387154
"21",845403.565774515
"22",191899.14743871
"23",282226.67650747
"24",412375.029881858
"25",743177.237173934
"26",288259.155641544
"27",1122614.14626123
"28",478630.901638596
"29",199516.806102456
"30",306147.2552956
"31",199149.54033999
"32",945450.549296032
"33",622142.09505751
"34",154970.043840485
"35",215754.787612191
"36",462079.041802701
"37",174944.323074711
"38",1161006.66762894
"39",1627401.23794571
"40",253691.083225683
"41",663820.882536514
"42",1036811.32755124
"43",245902.385356272
"44",355609.260246084
"45",147784.282794134
"46",1217721.07356549
"47",826532.098415705
"48",554091.486043112
"49",397994.999165606
"50",684143.999996986
"51",342651.48894567
"52",372847.016124301
"53",1428936.94141026
"54",1448768.9560242
"55",543056.616466282
"56",474204.160698669
"57",162961.539873367
"58",294874.146580368
"59",937804.237474753
"60",490878.552196315
"61",1021618.19667506
"62",662254.965576611
"63",360139.86241205
"64",538548.611131298
"65",461343.881849255
"66",211284.912931058
"67",125162.002761452
"68",932623.628362556
"69",646315.745866857
"70",478130.451701016
"71",794325.915406649
"72",935096.34394928
"73",359859.920163798
"74",517187.339804728
"75",399943.553031336
"76",912316.300584514
"77",387606.712973864
"78",664977.723114353
"79",305765.985062008
"80",1292653.19447181
"81",643379.715686354
"82",486962.120773646
"83",250545.139519362
"84",580535.491692422
"85",487672.157747165
"86",670582.696463667
"87",528093.740652374
"88",454683.925025302
"89",1192764.53057864
"90",1324149.31392186
"91",777032.354226122
"92",261362.6290022
"93",112957.686415234
"94",311939.409193084
"95",237297.907970843
"96",443743.353891504
"97",257323.522695759
"98",426042.141618032
"99",280058.67637499
"100",281774.716052632
"101",1077255.36761586
"102",441443.313459084
"103",362527.916672098
"104",732078.639806947
"105",514540.894026028
"106",986573.754470681
"107",187772.985551737
"108",292144.476137207
"109",1460980.92037086
"110",260910.232327299
"111",1766802.13761275
"112",190135.12734899
"113",272607.556018058
"114",327517.303817384
"115",2683188.91032274
"116",377295.235700854
"117",1502904.24491054
"118",134420.31984638
"119",399089.926953722
"120",654808.504757967
"121",254424.147017728
"122",240002.815537744
"123",262385.570020584
"124",813755.592852022
"125",259103.188640778
"126",383602.620504546
"127",826572.024839342
"128",1103221.409447
"129",435214.483668726
"130",602836.832690686
"131",507477.74307697
"132",587166.307294024
"133",357306.559945324
"134",291736.382591442
"135",699520.24777779
"136",434813.858628212
"137",1069641.40120238
"138",246117.790512003
"139",473410.045634175
"140",271225.14671542
"141",527393.479394309
"142",942380.947189961
"143",475286.741704878
"144",363180.526394396
"145",713856.223683297
"146",699479.003496377
"147",230609.680995758
"148",321730.873423444
"149",581398.938333929
"150",245267.135794641
"151",227269.185860174
"152",308836.678570492
"153",255042.391039275
"154",1172230.8860062
"155",546284.348676739
"156",385114.896485838
"157",532391.722408665
"158",484680.256367579
"159",610245.196181395
"160",870525.381674654
"161",1309457.38677623
"162",797150.616499278
"163",337070.836840843
"164",1147114.10124859
"165",424913.291186473
"166",552001.279106699
"167",275123.672036984
"168",470080.112132426
"169",246973.29233651
"170",187651.344130299
"171",432912.922015003
"172",672040.348317538
"173",317770.420864811
"174",317012.968019261
"175",334761.295358325
"176",276534.770459982
"177",405559.83315296
"178",286838.973631834
"179",430837.517386121
"180",171857.05054018
"181",580214.274992375
