"","x"
"1",356085.061598496
"2",784662.497836616
"3",435033.536694992
"4",607028.428869501
"5",260219.05612418
"6",691616.080758603
"7",1142750.22416715
"8",587291.310095377
"9",308152.058861338
"10",728270.729910548
"11",457590.243865419
"12",488605.716224757
"13",511162.423395184
"14",505523.246602577
"15",525260.365376701
"16",863610.972933112
"17",773384.144251403
"18",282775.763294607
"19",748007.848684672
"20",251760.290935269
"21",671878.961984479
"22",305332.470465034
"23",533719.130565612
"24",522440.776980398
"25",708533.611136424
"26",392739.71075044
"27",1046884.21869283
"28",268677.82131309
"29",423755.183109778
"30",499884.069809971
"31",209466.464990718
"32",652141.843210355
"33",640863.489625142
"34",192548.934612897
"35",446311.890280206
"36",378641.768768923
"37",437853.125091295
"38",1013049.15793719
"39",982033.685577856
"40",463229.420658026
"41",544997.484150825
"42",167172.639046167
"43",432213.948298688
"44",685976.903965997
"45",195368.523009201
"46",1032786.27671132
"47",939739.859633305
"48",635224.312832535
"49",561915.014528646
"50",508342.834998881
"51",528079.953773005
"52",573193.36811386
"53",1162487.34294128
"54",1162487.34294128
"55",367363.41518371
"56",525260.365376701
"57",361724.238391103
"58",302512.882068731
"59",530899.542169308
"60",254579.879331573
"61",654961.431606659
"62",779023.32104401
"63",353265.473202193
"64",657781.020002962
"65",680337.72717339
"66",344806.708013282
"67",110780.871120098
"68",592930.486887984
"69",232023.172161145
"70",446311.890280206
"71",810038.793403347
"72",945379.036425912
"73",542177.895754522
"74",567554.191321253
"75",415296.417920868
"76",660600.608399266
"77",550636.660943432
"78",511162.423395184
"79",404018.064335654
"80",883348.091707236
"81",719811.964721638
"82",217925.230179628
"83",466049.009054329
"84",378641.768768923
"85",626765.547643625
"86",773384.144251403
"87",573193.36811386
"88",220744.818575932
"89",615487.194058411
"90",1091997.63303369
"91",688796.4923623
"92",305332.470465034
"93",217925.230179628
"94",296873.705276124
"95",302512.882068731
"96",677518.138777086
"97",474507.77424324
"98",592930.486887984
"99",406837.652731958
"100",130517.989894222
"101",1323203.88153057
"102",398378.887543047
"103",426574.771506082
"104",547817.072547129
"105",373002.591976316
"106",733909.906703155
"107",327889.177635462
"108",327889.177635462
"109",1295007.99756754
"110",288414.940087214
"111",1658734.90069068
"112",246121.114142662
"113",406837.652731958
"114",508342.834998881
"115",1476307.53144985
"116",607028.428869501
"117",1187863.63850801
"118",164353.050649863
"119",581652.13330277
"120",285595.35169091
"121",279956.174898304
"122",468868.597450633
"123",461819.626459874
"124",553456.249339736
"125",466049.009054329
"126",347626.296409586
"127",903085.21048136
"128",855152.207744202
"129",635224.312832535
"130",826956.323781168
"131",482966.53943215
"132",869250.149725719
"133",254579.879331573
"134",530899.542169308
"135",1007409.98114459
"136",522440.776980398
"137",849513.030951595
"138",274316.998105697
"139",587291.310095377
"140",306742.264663186
"141",389920.122354137
"142",460409.832261723
"143",296873.705276124
"144",468868.597450633
"145",770564.555855099
"146",750827.437080975
"147",361724.238391103
"148",237662.348953752
"149",702894.434343817
"150",423755.183109778
"151",358904.649994799
"152",248940.702538966
"153",367363.41518371
"154",1145569.81256345
"155",508342.834998881
"156",560787.179170125
"157",494244.893017364
"158",282775.763294607
"159",519621.188584095
"160",559095.426132343
"161",1066621.33746696
"162",629585.136039928
"163",347626.296409586
"164",654961.431606659
"165",291234.528483517
"166",516801.600187791
"167",302512.882068731
"168",542177.895754522
"169",499884.069809971
"170",327889.177635462
"171",412476.829524564
"172",795940.85142183
"173",502703.658206274
"174",426574.771506082
"175",277136.586502
"176",488605.716224757
"177",333528.354428069
"178",330708.766031765
"179",626765.547643625
"180",277136.586502
"181",418116.006317171
"182",353265.473202193
"183",816805.805554476
"184",528079.953773005
"185",573193.36811386
"186",855152.207744202
"187",327889.177635462
"188",499884.069809971
"189",299693.293672427
"190",435033.536694992
"191",350445.884805889
"192",626765.547643625
"193",305332.470465034
"194",251760.290935269
"195",522440.776980398
"196",398378.887543047
"197",463229.420658026
"198",381461.357165227
"199",790301.674629223
"200",313791.235653945
"201",449131.478676509
"202",373002.591976316
"203",161533.46225356
"204",392739.71075044
"205",446311.890280206
"206",497064.481413667
"207",198188.111405504
"208",373002.591976316
"209",494244.893017364
"210",404018.064335654
"211",184090.169423987
"212",454770.655469116
"213",392739.71075044
"214",494244.893017364
"215",497064.481413667
"216",240481.937350056
"217",381461.357165227
"218",288414.940087214
"219",248940.702538966
"220",519621.188584095
"221",463229.420658026
"222",914363.564066574
"223",232023.172161145
"224",155894.285460953
"225",341987.119616979
"226",308152.058861338
"227",843873.854158988
"228",787482.08623292
"229",669059.373588176
"230",807219.205007044
"231",333528.354428069
"232",522440.776980398
"233",671878.961984479
"234",271497.409709393
"235",240481.937350056
"236",426574.771506082
"237",477327.362639543
"238",638043.901228838
"239",497064.481413667
"240",863610.972933112
"241",395559.299146744
"242",381461.357165227
"243",519621.188584095
"244",313791.235653945
"245",666239.785191873
"246",310971.647257641
"247",387100.533957834
"248",277136.586502
"249",398378.887543047
"250",654961.431606659
"251",1134291.45897824
"252",607028.428869501
"253",567554.191321253
"254",595750.075284287
"255",435033.536694992
"256",525260.365376701
"257",175631.404235077
"258",612667.605662108
"259",471688.185846936
"260",511162.423395184
"261",993312.03916307
"262",516801.600187791
"263",449131.478676509
"264",694435.669154907
