"","x"
"1",360288.104076918
"2",742535.731783235
"3",410865.543473963
"4",547719.821338274
"5",309227.318684534
"6",628435.197955212
"7",1132404.24468693
"8",530158.463666749
"9",333338.11860287
"10",678854.026171271
"11",477514.970010264
"12",449572.441341819
"13",466931.093068428
"14",462532.485107937
"15",478099.535970432
"16",821111.82238227
"17",714864.640713449
"18",320219.907296603
"19",715039.315635141
"20",318276.020839271
"21",615149.786411416
"22",331841.242882948
"23",545983.081821466
"24",537709.551541609
"25",645639.283797689
"26",382812.629935495
"27",1024542.46163803
"28",344913.74283283
"29",403168.634757964
"30",458173.173833339
"31",286792.850432073
"32",622524.677211724
"33",578944.961465959
"34",280022.034693979
"35",448525.029150573
"36",373952.867329658
"37",458406.591839784
"38",1015790.4285504
"39",938603.254229819
"40",471588.255004467
"41",538858.488097621
"42",270528.94266127
"43",408926.580037754
"44",655212.235360475
"45",281125.943554979
"46",1010546.44613636
"47",916207.400986326
"48",601932.230483303
"49",508286.915577991
"50",509321.697848019
"51",480362.697065252
"52",574511.178809202
"53",1158947.89963788
"54",1158947.89963788
"55",393522.087012968
"56",478099.535970432
"57",363645.349861265
"58",358232.42291819
"59",482635.682331545
"60",306577.413246247
"61",592372.963806766
"62",738839.265575018
"63",358624.217441954
"64",640295.435811731
"65",617162.290823021
"66",353691.502565901
"67",252282.192315768
"68",535126.873572677
"69",318739.823780065
"70",418719.638933531
"71",771897.469844152
"72",923631.853760518
"73",533450.781619107
"74",570741.317822987
"75",439854.995043409
"76",597812.9339434
"77",498821.655996843
"78",466931.093068428
"79",390077.275106679
"80",844124.190968487
"81",690081.97534472
"82",290310.884616006
"83",432842.536589487
"84",389487.313965507
"85",565762.563411979
"86",739060.56849192
"87",565601.633555402
"88",291503.211020263
"89",581517.237506907
"90",1130460.76263766
"91",647868.216278801
"92",331841.242882948
"93",290310.884616006
"94",327409.560752021
"95",330354.191334499
"96",614368.624468656
"97",439042.569585563
"98",552266.59397211
"99",391917.996828158
"100",258221.55513467
"101",1510588.04009379
"102",437800.997380857
"103",405078.125679754
"104",519211.888286682
"105",396663.201024908
"106",672108.544135836
"107",344091.325443568
"108",344091.325443568
"109",1360218.13528407
"110",323066.296164351
"111",2179728.34098774
"112",302676.236374865
"113",391917.996828158
"114",464726.877002446
"115",1798661.2575696
"116",550045.550680494
"117",1236318.48444233
"118",269523.275515001
"119",566996.430932681
"120",321638.189644741
"121",348824.935722493
"122",434899.390083373
"123",429775.67667017
"124",534681.764481202
"125",432842.536589487
"126",355325.916686446
"127",868906.314672707
"128",809556.211680525
"129",573642.529729948
"130",781710.872209513
"131",445331.020124898
"132",826717.399181093
"133",306577.413246247
"134",482635.682331545
"135",966997.241664367
"136",504634.095752458
"137",802760.50588061
"138",316024.005281029
"139",565125.596468729
"140",332588.452721475
"141",439214.005512187
"142",428758.302116134
"143",327409.560752021
"144",463132.912864727
"145",711746.776700474
"146",716381.603908387
"147",363645.349861265
"148",298863.47704674
"149",639865.291830971
"150",403168.634757964
"151",361961.814883355
"152",303966.804493853
"153",397052.779637164
"154",1212659.26761672
"155",502951.009155794
"156",507333.316216416
"157",497520.69290637
"158",335670.443218773
"159",517439.543660833
"160",561319.648347958
"161",1057867.96721838
"162",568379.394679829
"163",355325.916686446
"164",638169.813117533
"165",324504.226855435
"166",533602.258916099
"167",349271.562766289
"168",491825.865111448
"169",510317.583947903
"170",344091.325443568
"171",395628.912785534
"172",740161.222990285
"173",460347.917384902
"174",405078.125679754
"175",317412.815114748
"176",449572.441341819
"177",347252.087798454
"178",383528.005360221
"179",593331.284582432
"180",317412.815114748
"181",432737.861166039
"182",358624.217441954
"183",764120.342886893
"184",521345.227361793
"185",558264.360993449
"186",812975.973338007
"187",344091.325443568
"188",458173.173833339
"189",349888.791445758
"190",410865.543473963
"191",356970.154978464
"192",593331.284582432
"193",331841.242882948
"194",305267.196784313
"195",519334.298325414
"196",386425.304178141
"197",472303.917245474
"198",375705.171507879
"199",752739.970816307
"200",336361.342557133
"201",420707.723227105
"202",370477.731487635
"203",268527.432540205
"204",382812.629935495
"205",470879.071813355
"206",456008.25445325
"207",282239.676587452
"208",370477.731487635
"209",453853.159244633
"210",407272.411977632
"211",276769.253139819
"212",464885.28173058
"213",382812.629935495
"214",453853.159244633
"215",501978.45930505
"216",300124.572651309
"217",375705.171507879
"218",343470.527297783
"219",303966.804493853
"220",530405.374712637
"221",430795.507267074
"222",883283.659990383
"223",296370.758352022
"224",266565.219105032
"225",374312.078881091
"226",374742.850776537
"227",796004.096766586
"228",730601.323350424
"229",606046.570434399
"230",753045.294244057
"231",393391.378857924
"232",537709.551541609
"233",643675.386028231
"234",329340.596614055
"235",300124.572651309
"236",470557.751548622
"237",441128.895593869
"238",576288.833512217
"239",495411.287183365
"240",819823.451666447
"241",384614.054971081
"242",404881.00423833
"243",473602.686295211
"244",363689.420538332
"245",638043.439291714
"246",334844.818494265
"247",413170.794614466
"248",317412.815114748
"249",421228.193121916
"250",640078.015172148
"251",1195059.59405588
"252",547719.821338274
"253",565936.082204189
"254",537625.81478285
"255",410865.543473963
"256",527922.437064303
"257",273604.889128916
"258",599723.904432834
"259",436966.067748731
"260",466931.093068428
"261",988326.30603404
"262",526756.600183958
"263",472523.310105373
"264",660687.87896444
"265",505905.864425495
"266",678795.023719529
"267",568379.394679829
"268",555393.480055309
"269",578944.961465959
"270",727434.338480083
"271",409139.388251127
"272",399843.61172274
"273",277843.689486399
"274",498821.655996843
"275",381021.029071381
"276",489513.583159263
"277",339423.863197288
"278",443209.171587071
"279",822055.417836113
"280",387741.669748601
"281",836105.703777097
"282",467152.055004457
"283",578944.961465959
"284",317412.815114748
"285",678098.667874962
"286",586972.290356024
"287",663197.039813196
"288",1752752.53216635
"289",286792.850432073
"290",501490.468693801
"291",348847.205233106
"292",494147.971235107
"293",656307.682015876
"294",422705.631692153
"295",576531.595119187
"296",287955.704321911
"297",660246.186715262
"298",342525.680523335
"299",465121.083408478
"300",996525.154354936
"301",298863.47704674
"302",260914.358914866
"303",749809.540173404
"304",372210.38732291
"305",447446.818647622
"306",853848.260529744
"307",276769.253139819
"308",293917.336343197
"309",648541.016038258
"310",600547.655268927
"311",520339.533912571
"312",399379.125428803
"313",293917.336343197
"314",530560.162417186
"315",534681.764481202
"316",2282817.21323731
"317",373952.867329658
"318",414772.942860801
"319",557971.014637267
"320",399379.125428803
"321",779967.008674346
"322",775970.649539869
"323",341107.792495969
"324",424393.335147205
"325",453853.159244633
"326",317412.815114748
"327",547719.821338274
"328",358624.217441954
"329",409695.829056706
"330",542653.169717616
"331",426730.921136667
"332",373952.867329658
"333",617315.007975352
"334",687157.534769697
"335",639491.407563622
"336",345666.794535274
"337",273604.889128916
"338",615000.68544456
"339",447446.818647622
"340",541836.492510064
"341",373952.867329658
"342",515489.01406432
"343",339423.863197288
"344",344091.325443568
"345",300124.572651309
"346",538075.77234218
"347",390077.275106679
"348",436682.714393717
"349",522779.530093906
"350",316024.005281029
"351",289128.382383222
"352",425116.089756554
"353",416741.378811429
"354",950920.528091205
"355",475487.545905709
"356",461681.683505327
"357",382120.484546819
"358",484918.491769312
"359",419519.959620762
"360",487211.125378551
"361",291503.211020263
"362",623391.479851855
"363",1237567.75115718
"364",555393.480055309
"365",327409.560752021
"366",611084.780727035
"367",622779.09604617
"368",453853.159244633
"369",484918.491769312
"370",603411.762238054
"371",321638.189644741
"372",532637.756533976
"373",390631.329716486
"374",610539.722646021
"375",301395.49242735
"376",939318.557702184
"377",427857.314825492
"378",416741.378811429
"379",329382.343875122
"380",567505.785572753
"381",449572.441341819
"382",666251.410220648
"383",494147.971235107
"384",494147.971235107
"385",560454.267620924
"386",550149.319475813
"387",370477.731487635
"388",699417.951208241
"389",530158.463666749
"390",672108.544135836
"391",1854018.22226797
"392",363645.349861265
"393",717992.328897898
"394",809101.410625392
"395",382812.629935495
"396",464726.877002446
"397",345666.794535274
"398",475846.199047085
"399",532637.756533976
"400",262758.682292362
"401",911771.59173104
"402",376714.504689569
"403",693245.900223553
"404",298863.47704674
"405",399379.125428803
"406",688053.289822282
"407",352066.91261683
"408",466931.093068428
"409",515489.01406432
"410",275704.640964711
"411",327687.833644896
"412",627331.658490011
"413",377467.299857573
"414",324504.226855435
"415",552825.769644824
"416",412814.331081645
"417",336361.342557133
"418",406997.440773018
"419",515489.01406432
"420",330354.191334499
"421",325141.860329692
"422",1047767.44742892
"423",282239.676587452
"424",579003.854958642
"425",571006.050119152
"426",586350.413389987
"427",487211.125378551
"428",1435344.04342255
"429",890531.277678059
"430",439042.569585563
"431",760303.997521089
"432",498821.655996843
"433",705040.619340095
"434",416741.378811429
"435",428758.302116134
"436",627491.746714321
"437",356970.154978464
"438",537712.064588326
"439",530158.463666749
"440",441128.895593869
"441",392853.851505994
"442",489513.583159263
"443",419519.959620762
"444",581610.913591174
"445",363645.349861265
"446",568379.394679829
"447",583118.090691089
"448",672108.544135836
"449",390077.275106679
"450",631277.985166942
"451",1047767.44742892
"452",496426.843188739
"453",549473.34602538
"454",376654.749456643
"455",390077.275106679
"456",619481.296586045
"457",339423.863197288
"458",562314.859505767
"459",516815.730334838
"460",467525.043991412
"461",1191920.35371071
"462",300124.572651309
"463",703677.810886381
"464",508286.915577991
"465",474350.670686993
"466",775517.941977479
"467",454165.041247598
"468",268527.432540205
"469",283809.625555069
"470",540134.580164496
"471",809556.211680525
"472",382812.629935495
"473",504136.985885421
"474",544892.999303705
"475",665368.066862934
"476",524251.850125554
"477",557809.25270583
"478",568379.394679829
"479",447881.226913107
"480",583118.090691089
"481",291503.211020263
"482",458173.173833339
"483",451259.815163732
"484",1455759.01757238
"485",601676.74207778
"486",355325.916686446
"487",390077.275106679
"488",741134.57157985
"489",408926.580037754
"490",272569.749468227
"491",633462.517029618
"492",510039.075774903
"493",309227.318684534
"494",422705.631692153
"495",803043.206087736
"496",361193.867574825
"497",592372.963806766
"498",1050612.55416434
"499",808269.933619336
"500",548926.837203995
"501",374085.377112527
"502",419693.182424102
"503",568379.394679829
"504",501451.258258085
"505",327409.560752021
"506",382812.629935495
"507",298863.47704674
"508",373667.071810536
"509",988326.30603404
"510",809556.211680525
"511",361961.814883355
"512",395628.912785534
"513",584286.689887863
"514",582316.161822472
"515",747884.871039778
"516",1029249.83923571
"517",1029249.83923571
"518",368754.899823833
"519",331841.242882948
"520",540134.580164496
"521",389569.125299695
"522",361961.814883355
"523",617162.290823021
"524",487570.233857673
"525",573642.529729948
"526",285639.820713708
"527",285639.820713708
"528",306577.413246247
"529",1002528.9173309
"530",520490.097624935
"531",368754.899823833
"532",1023725.73824119
"533",974532.670216571
"534",756556.566772344
"535",584001.199076908
"536",754583.291834679
"537",741983.929706819
"538",639865.291830971
"539",417956.146918423
"540",463427.724259095
"541",592372.963806766
"542",492086.945285192
"543",553415.565242143
"544",567035.514209222
"545",641796.037822525
"546",344091.325443568
"547",416741.378811429
"548",447446.818647622
"549",827924.073948408
"550",599752.11805369
"551",444557.471182512
"552",654373.953033814
"553",733778.132392238
"554",789710.112113577
"555",535809.649819396
"556",480362.697065252
"557",414772.942860801
"558",466931.093068428
"559",348847.205233106
"560",529514.614633536
"561",586972.290356024
"562",552825.769644824
"563",368754.899823833
"564",776147.453814664
"565",320219.907296603
"566",501699.716160155
"567",559277.944778507
"568",329606.041090634
"569",779839.745350762
"570",382812.629935495
"571",355325.916686446
"572",537625.81478285
"573",465121.083408478
"574",340887.121396053
"575",377467.299857573
"576",311916.520808713
"577",451010.971351959
"578",306577.413246247
"579",949926.899871588
"580",462532.485107937
"581",642747.375728593
"582",397499.107021432
"583",633462.517029618
"584",406997.440773018
"585",380397.823475509
"586",339423.863197288
"587",324504.226855435
"588",451707.88820749
"589",320219.907296603
"590",352066.91261683
"591",272569.749468227
"592",278927.950004453
"593",548934.518870888
"594",451914.497684042
"595",503534.637444471
"596",711659.754999002
"597",449572.441341819
"598",510753.278864472
"599",557223.447198552
"600",551138.743347937
"601",501173.23463492
"602",865336.538771971
"603",505905.864425495
"604",388246.377556673
"605",310567.007660887
"606",606046.570434399
"607",293917.336343197
"608",513735.020503175
"609",432842.536589487
"610",586972.290356024
"611",1084493.14278493
"612",518502.013331361
"613",534605.99696714
"614",550794.496830631
"615",541639.11231811
"616",307897.453879654
"617",807500.926837008
"618",292705.361595994
"619",403168.634757964
"620",584196.393639194
"621",462532.485107937
"622",346755.04009473
"623",300124.572651309
"624",313275.858128012
"625",552825.769644824
"626",561902.884531953
"627",348847.205233106
"628",318811.449119939
"629",628993.586056135
"630",447446.818647622
"631",306577.413246247
"632",458173.173833339
"633",381021.029071381
"634",301395.49242735
"635",330354.191334499
"636",447050.892576826
"637",434421.396143949
"638",386425.304178141
"639",290310.884616006
"640",420543.527234398
"641",397499.107021432
"642",300124.572651309
"643",273604.889128916
"644",537709.551541609
"645",377467.299857573
"646",734370.532335089
"647",355325.916686446
"648",382837.649372581
"649",494147.971235107
"650",638040.699684169
"651",253930.032263803
"652",953722.631716204
"653",527688.994970995
"654",441128.895593869
"655",557740.270096167
"656",303966.804493853
"657",331841.242882948
"658",259109.332223262
"659",498821.655996843
"660",525229.350446714
"661",479394.902167459
"662",557971.014637267
"663",1031700.34461788
"664",488988.432171724
"665",384916.81519394
"666",264642.302355751
"667",810362.262008888
"668",384614.054971081
"669",645639.283797689
"670",584286.689887863
"671",337887.690791473
"672",543916.148558478
"673",1042670.08764903
"674",485847.318159785
"675",622333.481150546
"676",660246.186715262
"677",772568.094601098
"678",273604.889128916
"679",651452.572450299
"680",356993.809925356
"681",451707.88820749
"682",333338.11860287
"683",559836.633685296
"684",400700.983695989
"685",444054.093458842
"686",580669.559205456
"687",416741.378811429
"688",463000.308112384
"689",586922.15284172
"690",421274.266301141
"691",418610.807876189
"692",1208244.6129693
"693",479925.536802268
"694",708233.526604993
"695",391917.996828158
"696",441128.895593869
"697",515747.216844185
"698",402169.468224134
"699",543617.372440211
"700",1268018.64278366
"701",510677.790901961
"702",948575.815559065
"703",538258.786819062
"704",283363.233791397
"705",358624.217441954
"706",334844.818494265
"707",458173.173833339
"708",753045.294244057
"709",316024.005281029
"710",619158.844586923
"711",812968.800837693
"712",443225.045773647
"713",484288.106948268
"714",508218.002396371
"715",411595.32552276
"716",581610.913591174
"717",297612.205613645
"718",475846.199047085
"719",324780.432866749
"720",472012.366938598
"721",588685.408185393
"722",733778.132392238
"723",592372.963806766
"724",447951.690236751
"725",571006.050119152
"726",474776.795750439
"727",489513.583159263
"728",298863.47704674
"729",1703736.79829754
"730",443225.045773647
"731",375705.171507879
"732",278927.950004453
"733",859302.680415537
"734",1780327.34142835
"735",648541.016038258
"736",380779.858207204
"737",650657.059321926
"738",356970.154978464
"739",628435.197955212
"740",370477.731487635
"741",316024.005281029
"742",912509.91085644
"743",595088.036789347
"744",650681.568214452
"745",388576.862418372
"746",682086.099600458
"747",583118.090691089
"748",270528.94266127
"749",635397.967584306
"750",637281.609210238
"751",348847.205233106
"752",1170792.57924961
"753",961343.567919856
"754",517369.571843523
"755",648260.65324671
"756",289128.382383222
"757",579863.136658737
"758",796100.469873183
"759",746583.610274225
"760",532637.756533976
"761",543589.815869544
"762",426730.921136667
"763",524479.735164663
"764",324504.226855435
"765",298863.47704674
"766",298863.47704674
"767",345666.794535274
"768",719250.859081485
"769",271544.433979012
"770",653540.07836672
"771",331855.414226894
"772",883283.659990383
"773",538696.802935541
"774",634353.409008303
"775",278927.950004453
"776",657305.157788802
"777",316024.005281029
"778",617582.330011005
"779",447446.818647622
"780",310567.007660887
"781",712981.111948876
"782",404769.720389723
"783",428609.055789988
"784",350452.146839231
"785",372210.38732291
"786",471992.76172074
"787",487211.125378551
"788",487517.425094114
"789",336361.342557133
"790",585738.848507686
"791",494147.971235107
"792",792640.628466784
"793",705828.94483223
"794",543080.474380948
"795",553961.011757181
"796",573642.529729948
"797",503475.356587516
"798",660246.186715262
"799",266565.219105032
"800",916207.400986326
"801",347252.087798454
"802",619943.835892866
"803",443225.045773647
"804",501451.258258085
