"","x"
"1",358982.277341527
"2",777513.21499534
"3",386285.178238882
"4",658899.138024796
"5",261409.183717305
"6",676030.175997415
"7",1118304.2941619
"8",560808.771332072
"9",276833.085341678
"10",652084.878919592
"11",454923.022647301
"12",441959.187352512
"13",469470.23737841
"14",485056.098655568
"15",460126.35672263
"16",870558.924129827
"17",812122.464857011
"18",290714.912702506
"19",728354.578407657
"20",249144.425960849
"21",643601.224567146
"22",301095.278041412
"23",393720.250315067
"24",551423.983892676
"25",718777.225055949
"26",341852.47161658
"27",1118149.46616717
"28",293027.05451247
"29",425310.185672433
"30",517289.183130109
"31",193912.342080808
"32",674103.073392236
"33",701316.245034451
"34",209315.470676367
"35",462269.75039901
"36",425084.437636584
"37",379801.045541999
"38",952267.308553955
"39",1831888.41809027
"40",477308.216347873
"41",597587.939655964
"42",1046512.62277174
"43",396358.576033758
"44",638954.946974345
"45",253840.226298405
"46",1019247.30030687
"47",998094.45541524
"48",692181.948161424
"49",534903.252117388
"50",584496.087514906
"51",570991.918418609
"52",578196.539318903
"53",1251954.00105229
"54",1251954.00105229
"55",424412.062346212
"56",577161.480769317
"57",341664.449606137
"58",378319.751060129
"59",505848.339598234
"60",316104.723029284
"61",654854.543115603
"62",843598.578765336
"63",350070.516029581
"64",670832.778729251
"65",654569.396565059
"66",337627.512443337
"67",199499.834451851
"68",586070.748036733
"69",320483.736395727
"70",384458.438197248
"71",798614.73251408
"72",955858.411084796
"73",503594.887101614
"74",543409.827446252
"75",428341.475073302
"76",638140.447626466
"77",495535.405362834
"78",528067.358310658
"79",397476.857413121
"80",891660.774825186
"81",651904.17094701
"82",272417.874128972
"83",417131.491358465
"84",384451.638406354
"85",629808.995298259
"86",843966.607744436
"87",546476.006325107
"88",258856.754676399
"89",733465.12196729
"90",1127671.07874171
"91",648094.901075937
"92",152596.58351464
"93",184503.207077424
"94",288731.377003885
"95",285870.238351799
"96",708319.140337719
"97",444019.00079081
"98",584054.572025989
"99",436651.688249818
"100",180343.518931849
"101",1210977.19368464
"102",349620.172777295
"103",416180.879993804
"104",485882.192566296
"105",437785.763771403
"106",723720.148378974
"107",359992.148210537
"108",247692.346992762
"109",1323662.00697954
"110",252757.50355496
"111",1381429.67290278
"112",240605.365403309
"113",416079.869367998
"114",486024.938782685
"115",2262328.31632876
"116",554501.896255321
"117",1260638.92485443
"118",204218.120077203
"119",511280.702929335
"120",277510.622021443
"121",345102.698780704
"122",421334.806729777
"123",491977.959134011
"124",653427.037142373
"125",445038.993269617
"126",406087.434975982
"127",979545.84635175
"128",855596.788197838
"129",589908.717684399
"130",795976.491458503
"131",506080.077334393
"132",854072.210661856
"133",221843.72264946
"134",541502.577780327
"135",976214.739054147
"136",497980.057147293
"137",906917.51449879
"138",230984.905125699
"139",560843.21436837
"140",309979.67041177
"141",424906.070069108
"142",438687.303034227
"143",280538.485132549
"144",498079.693137373
"145",748741.736488804
"146",708883.829335256
"147",318060.199802586
"148",212988.218694065
"149",473865.036412221
"150",474098.978045544
"151",387079.961829063
"152",280629.637302266
"153",367731.656291814
"154",1162174.63545308
"155",566684.911190641
"156",499915.136999979
"157",550924.834577862
"158",311061.456128696
"159",509581.598753983
"160",636269.125081858
"161",1228028.57215178
"162",604737.398414969
"163",204845.06290578
"164",664222.18808239
"165",265829.913480536
"166",566257.257472918
"167",292270.454539676
"168",463866.718585533
"169",495390.833235466
"170",264373.65199686
"171",396156.826192507
"172",751627.494881116
"173",529356.928214327
"174",463260.917860807
"175",256924.017995431
"176",444405.325101963
"177",364678.174643884
"178",298915.789297474
"179",557696.601518865
"180",252546.700449387
"181",440264.593006353
"182",351741.709510209
"183",1028172.71320599
"184",548449.817820035
"185",570827.834839169
"186",899559.564047194
"187",307165.727312258
"188",572316.992963826
"189",295633.407210145
"190",304591.46552014
"191",323707.847333994
"192",642298.264717579
"193",312109.169937956
"194",320287.504040329
"195",537067.942586097
"196",349844.84089014
"197",427021.27783857
"198",304250.882498323
"199",709285.563435763
"200",290951.169029011
"201",521961.525027399
"202",358128.889675416
"203",191418.950784037
"204",376964.578667255
"205",411082.954737145
"206",454142.892143734
"207",235631.297088673
"208",378832.886117947
"209",534603.629503793
"210",447534.698179029
"211",238363.78140384
"212",470398.895280105
"213",252840.158204248
"214",515486.114613849
"215",552776.308748468
"216",244203.662900979
"217",395978.514878689
"218",301357.55477604
"219",237354.342696709
"220",468170.994381195
"221",401017.136961653
"222",908837.829410725
"223",279971.126205763
"224",166730.676609165
"225",414025.032109266
"226",284725.170397901
"227",846131.915888527
"228",793804.930667442
"229",643614.322205428
"230",769036.962690658
"231",311102.369050038
"232",486619.370320708
"233",549747.125327809
"234",287861.353369836
"235",223501.330586422
"236",321156.534118671
"237",488504.374664933
"238",605684.870684163
"239",429308.215878894
"240",837288.017871754
"241",398192.356710419
"242",413917.481902999
"243",562708.360282443
"244",370283.648042761
"245",710741.651689624
"246",319318.401151735
"247",280595.760191458
"248",244072.220041334
"249",372548.238072786
"250",726398.246805259
"251",1079985.16672517
"252",604352.688568445
"253",556804.217882789
"254",632126.639999599
"255",374246.030757925
"256",557012.110718396
"257",252564.122158806
"258",597453.470082542
"259",549413.056580221
"260",428495.03705169
"261",1020931.40650629
"262",542288.619107235
"263",463646.954214031
"264",638027.683542583
"265",520848.137758798
"266",682337.832090364
"267",603828.262186972
"268",622340.572892414
"269",609019.911260689
"270",733954.875764143
"271",436485.921502568
"272",408976.508216059
"273",201350.888540586
"274",516693.270992179
"275",484892.840058378
"276",522866.715246642
"277",304281.161560034
"278",458408.744250555
"279",756893.511166476
"280",390662.189395902
"281",891528.361666394
"282",527900.955100846
"283",646282.40742413
"284",211861.246955629
"285",770378.433520044
"286",654222.953375373
"287",687000.996231875
"288",1514016.8561854
"289",217137.460743512
"290",488615.790361478
"291",343603.641768123
"292",515023.238643047
"293",629208.570542959
"294",1350473.63275207
"295",587498.13415012
"296",260251.325538454
"297",718179.305352539
"298",334742.586937026
"299",459513.267036414
"300",1035781.97092317
"301",291575.673186766
"302",255175.30785977
"303",829440.29018634
"304",394378.515723444
"305",401449.97780519
"306",890717.474456302
"307",229620.836490137
"308",200157.484135167
"309",751230.377510711
"310",649788.090026927
"311",615924.165478816
"312",404916.023528467
"313",197840.916854128
"314",490508.221661143
"315",596922.912476219
"316",1641300.8292656
"317",362658.314247794
"318",361057.661350287
"319",624995.869905161
"320",398173.041218056
"321",838976.977975876
"322",739160.257367816
"323",336479.609837476
"324",304160.791853694
"325",513527.441249379
"326",306191.87212867
"327",635966.587313268
"328",279540.379214
"329",384564.935586241
"330",481096.638616025
"331",440690.709012285
"332",432759.488052382
"333",723466.399718334
"334",765765.742133666
"335",665312.653977659
"336",400928.67937177
"337",243151.395946434
"338",693886.016695129
"339",460227.656520099
"340",455814.364733833
"341",322920.013997286
"342",652480.047307735
"343",338589.76238895
"344",276531.970449347
"345",225582.834243665
"346",564427.964461195
"347",324761.394715524
"348",406629.593131265
"349",616668.344435967
"350",330858.128488507
"351",257467.631644202
"352",463433.696254496
"353",382748.953017508
"354",938433.285893567
"355",481925.064611272
"356",292891.367796381
"357",346003.842839065
"358",554610.067084537
"359",327672.026462502
"360",514955.015588849
"361",263491.363166534
"362",626751.300710022
"363",1184466.64713831
"364",516420.726572539
"365",330624.332907919
"366",557832.029379184
"367",590019.809931244
"368",441908.568798623
"369",542922.625676927
"370",622485.827620431
"371",298923.344828118
"372",565359.36889585
"373",360645.523480543
"374",655208.718506372
"375",285085.07561096
"376",991876.944156639
"377",402512.115431948
"378",465916.843702384
"379",274928.697390824
"380",589561.466872773
"381",386562.433455362
"382",711177.595319042
"383",446799.415814397
"384",446799.415814397
"385",517993.915957773
"386",432374.412172189
"387",498321.486156689
"388",679962.787812815
"389",557198.817988812
"390",724004.541480313
"391",1527002.52527326
"392",347593.64370814
"393",704556.493914035
"394",873286.655351129
"395",369703.083865979
"396",509538.053894774
"397",314473.225470488
"398",424831.737802145
"399",586332.155738465
"400",261356.086827997
"401",970452.801328578
"402",295403.582766287
"403",720449.934671733
"404",194479.806912291
"405",425784.521411095
"406",810039.797993737
"407",330681.036753136
"408",511533.451352899
"409",565277.228343026
"410",258321.82066497
"411",179370.16202204
"412",659264.989959945
"413",382688.429927278
"414",262784.386810764
"415",708664.580129772
"416",363536.019948043
"417",289360.14405042
"418",442764.410525261
"419",542113.17898328
"420",245754.721711427
"421",264216.480892376
"422",1059470.48445405
"423",202919.907828378
"424",477266.722985399
"425",707408.466267437
"426",579497.490390266
"427",641300.374337075
"428",1478435.47348172
"429",929005.776665994
"430",535614.050212126
"431",857455.077151243
"432",562515.587547795
"433",743375.017063948
"434",509171.855131797
"435",465012.11907272
"436",696759.991730901
"437",360114.876070433
"438",524832.915706905
"439",603891.092464002
"440",480503.600526855
"441",373560.383889503
"442",472387.369790855
"443",354985.55601828
"444",595956.42257401
"445",354356.795832267
"446",591347.228414008
"447",562032.419042164
"448",702701.117030788
"449",408506.265976386
"450",738197.115273279
"451",1005556.36870885
"452",417053.216199928
"453",582486.456472527
"454",471040.103434042
"455",450396.394542642
"456",559247.763007185
"457",307457.791259735
"458",648731.34653994
"459",531236.34406948
"460",457010.625978309
"461",1150314.87901042
"462",200258.548642974
"463",740303.550259795
"464",523059.191268799
"465",390898.778525356
"466",839184.666789943
"467",462601.286052008
"468",162057.213874286
"469",129366.801069849
"470",568725.730023046
"471",903528.584106005
"472",311714.207923252
"473",409376.347625249
"474",588063.600796953
"475",550991.69689338
"476",567089.529654075
"477",489475.364923436
"478",573551.64391402
"479",340161.403934842
"480",539295.038205655
"481",189359.589302353
"482",451768.598595643
"483",447244.144597465
"484",836970.004723621
"485",600631.710695096
"486",414114.561246884
"487",455272.599824621
"488",856908.134133585
"489",467838.739463111
"490",217274.050766656
"491",707159.271458356
"492",476209.47759215
"493",214613.677955949
"494",300752.703110402
"495",970492.817050345
"496",224617.126416473
"497",657011.500984545
"498",1153445.63446771
"499",885104.768964653
"500",523210.920961621
"501",316629.446879371
"502",377738.693208387
"503",471147.371343408
"504",475279.934745479
"505",255381.46227049
"506",390791.151856132
"507",205131.730161722
"508",336322.400868061
"509",1011033.09872957
"510",871935.828409078
"511",366563.047735126
"512",395946.877529915
"513",684027.732670533
"514",657016.800753463
"515",787495.062988302
"516",1111526.53496341
"517",1111526.53496341
"518",354265.600867552
"519",224929.021412344
"520",551809.68208722
"521",370474.494804809
"522",358887.794852445
"523",651032.204427894
"524",507899.280223025
"525",589151.308281834
"526",256629.711548883
"527",246787.995491459
"528",300782.574257663
"529",1076044.01672446
"530",570031.645963994
"531",378167.155431148
"532",1026003.88719475
"533",1017562.48374148
"534",806249.600024116
"535",564604.393315338
"536",770042.993912657
"537",796291.147755623
"538",650456.020766792
"539",371923.646743859
"540",462953.75267738
"541",472003.203708271
"542",487343.884930537
"543",552902.820607832
"544",581839.757597796
"545",766902.1051552
"546",290946.707305322
"547",419951.193470836
"548",450832.802257691
"549",836628.697947028
"550",612757.137961403
"551",340626.330208121
"552",689024.337704036
"553",736126.926790891
"554",837984.336032487
"555",537824.347266841
"556",565065.17635672
"557",443396.067095859
"558",492983.380228262
"559",323431.819517259
"560",509314.594370006
"561",653615.40808571
"562",651181.426951082
"563",353063.706642832
"564",786239.902359196
"565",246176.594395125
"566",471538.844193947
"567",601734.564727395
"568",282119.49213151
"569",857066.13343359
"570",376926.786548721
"571",301122.595087882
"572",479236.071962682
"573",433943.497926248
"574",310492.453526144
"575",420878.313224659
"576",227170.661633195
"577",405945.74286977
"578",319690.209094909
"579",1031381.98954774
"580",511574.41538381
"581",574962.238017947
"582",402550.642129992
"583",680737.01953306
"584",413883.848544287
"585",362488.109534616
"586",339974.266177657
"587",282212.563669355
"588",401051.084589327
"589",201851.489628808
"590",319544.40129875
"591",246309.832391623
"592",201908.068791487
"593",532437.529809198
"594",374459.34394164
"595",415541.402620036
"596",1617480.92435353
"597",549771.670631994
"598",597889.401563562
"599",582082.024377189
"600",629312.352306286
"601",546602.976439906
"602",741606.596172058
"603",497887.617199032
"604",354383.345916029
"605",232407.092389285
"606",684565.7286575
"607",181356.112055288
"608",560924.336173671
"609",365048.851972233
"610",617076.453930658
"611",1107384.24852751
"612",528618.406454321
"613",482164.474069572
"614",498179.815140305
"615",599337.558607333
"616",238434.022265616
"617",881345.815023804
"618",186827.797734269
"619",428201.472113364
"620",525793.466984917
"621",547282.455471776
"622",330066.956634699
"623",294735.934164636
"624",236296.37637896
"625",633491.450590117
"626",529398.13428685
"627",321765.004359949
"628",1114919.38952427
"629",637265.106728514
"630",507840.124570568
"631",295744.517679434
"632",506572.578966361
"633",388020.495518436
"634",247451.090849169
"635",296971.317762874
"636",461343.567617025
"637",521277.187865721
"638",382373.764926538
