"","s1"
"1",441797.64125926
"2",815682.734202955
"3",316502.730782883
"4",663591.599548143
"5",512762.018656722
"6",511587.261284536
"7",742672.702592572
"8",498530.330487737
"9",212708.420104795
"10",677927.516777582
"11",300239.344172773
"12",275461.254348619
"13",227460.240907239
"14",345157.792222875
"15",511433.636389144
"16",669874.327481345
"17",743068.285440739
"18",406637.256340772
"19",681719.441796003
"20",286124.346691141
"21",867749.291026971
"22",173337.684275489
"23",254785.86727719
"24",428158.450478224
"25",738749.073691201
"26",290226.898527064
"27",1176700.70276084
"28",451522.298752975
"29",210679.56515392
"30",302180.78523788
"31",172302.199853679
"32",867634.072330047
"33",679769.970517372
"34",138402.751247373
"35",224011.806969567
"36",433920.154966062
"37",158984.767300175
"38",1237733.36206443
"39",1633375.41829063
"40",273620.626785841
"41",609880.163406728
"42",1048271.47485742
"43",255480.932559721
"44",377622.359313107
"45",134658.963284092
"46",1202249.54710234
"47",829467.127446893
"48",574468.069721956
"49",304589.839911118
"50",682916.58429563
"51",342410.910953326
"52",386511.307436424
"53",1346033.75304522
"54",1366399.69688337
"55",555511.58105225
"56",492707.04624768
"57",168736.816892614
"58",299891.645442407
"59",909751.473654835
"60",495301.453251689
"61",963919.789776727
"62",616593.146039659
"63",369718.252236551
"64",533801.589095276
"65",467568.405695769
"66",209565.289828015
"67",118376.111338055
"68",865764.748178546
"69",643888.942964817
"70",509935.362023308
"71",851137.911485529
"72",1004324.5168631
"73",374109.635414576
"74",521026.121561252
"75",398200.588255976
"76",949325.588209219
"77",391905.668423031
"78",575155.113116969
"79",263115.744351548
"80",1400106.50161335
"81",663083.658399593
"82",478359.717330716
"83",246502.748026519
"84",478182.026563141
"85",548054.114037776
"86",736301.096801174
"87",543301.078722833
"88",450596.282609637
"89",1249900.43978337
"90",1218463.62686079
"91",784810.772326557
"92",261202.657689406
"93",78210.4746658739
"94",291621.527970422
"95",216540.487983846
"96",481855.366102042
"97",234198.133990788
"98",472527.336380628
"99",303828.071714874
"100",276684.981588016
"101",1199790.682229
"102",415442.806261585
"103",391155.385593011
"104",615105.116516666
"105",518886.601411986
"106",1003395.86483992
"107",202434.804756661
"108",264958.685632058
"109",1507093.85828613
"110",248069.154815428
"111",1784885.49622366
"112",164318.644999068
"113",282415.167653047
"114",321918.370831183
"115",2244884.72244871
"116",398155.164171074
"117",1634040.79017127
"118",109045.632495045
"119",391688.064211198
"120",603766.310078251
"121",243464.504280923
"122",239637.172410515
"123",298253.490092412
"124",898945.600938191
"125",279700.432536202
"126",384091.142558239
"127",862794.168538741
"128",1098540.42289572
"129",369917.314218886
"130",644251.809763927
"131",520125.135609046
"132",569151.011551914
"133",336987.75381304
"134",311243.585660089
"135",734090.716834165
"136",422621.681135169
"137",1137145.31508657
"138",224777.746302513
"139",500962.597888907
"140",257924.957235262
"141",525439.235077802
"142",1003681.17855149
"143",489972.695513168
"144",347644.39622601
"145",659260.450104831
"146",686716.12988145
"147",222268.754667396
"148",287030.876869892
"149",600890.74720926
"150",257396.868292037
"151",200029.873030298
"152",306544.199080516
"153",245843.116693916
"154",1074868.54169962
"155",550708.399356864
"156",289728.490503436
"157",551829.960012055
"158",503114.797308272
"159",643275.422315684
"160",900171.586171687
"161",1439345.69360308
"162",755422.49522406
"163",334097.809546056
"164",1156073.7292674
"165",435626.780296312
"166",524753.69462246
"167",227735.21866182
"168",517397.847089638
"169",247140.006585411
"170",182728.237137077
"171",408309.659902695
"172",634265.703402732
"173",326599.26622063
"174",345660.21782151
"175",321950.968567709
"176",262826.739931264
"177",360758.888975876
"178",274630.711549988
"179",447985.26533852
"180",143061.723868815
"181",562045.771243764
"182",217146.89293988
"183",1247637.96849033
"184",813643.555924796
"185",846233.41855208
"186",1333631.09764489
"187",273792.060612062
"188",483394.428754002
"189",217208.344593518
"190",454010.130718116
"191",186933.366668113
"192",556400.211546696
"193",247682.086336067
"194",303571.98071799
"195",289448.507934394
"196",392367.393885582
"197",192605.281095606
"198",226337.235208793
"199",421183.306807037
"200",164926.69345908
"201",348022.442815147
"202",236920.24892042
"203",128650.559013052
"204",259203.813667325
"205",555296.265463526
"206",266936.621166515
"207",331607.360392811
"208",215889.800635302
"209",541289.300333221
"210",260682.751147213
"211",122662.815365928
"212",606838.899831617
"213",453401.578173033
"214",627853.62903436
"215",739081.003523056
"216",243666.375194566
"217",705789.406578774
"218",221830.40541682
"219",249734.571317137
"220",366695.722080361
"221",245267.56563207
"222",739900.80926692
"223",212022.014702484
"224",132722.763551278
"225",368917.498155978
"226",122805.691237338
"227",936541.460488884
"228",535520.127094468
"229",412681.726610816
"230",850990.622188988
"231",327606.55089699
"232",300110.593597241
"233",393062.245997391
"234",442530.6996916
"235",143485.61047234
"236",474069.19863583
"237",509757.139339772
"238",514757.875628448
"239",426513.143730545
"240",956809.928315385
"241",384284.479194536
"242",455158.137221454
"243",463632.93940016
"244",388394.376758411
"245",694935.333206446
"246",653147.369422779
"247",297083.184314966
"248",197280.478139867
"249",368461.088815595
"250",895936.788374625
"251",844898.969956255
"252",460661.839312739
"253",422311.608255682
"254",380444.324472537
"255",216535.337589566
"256",421967.633599026
"257",178113.302686416
"258",593566.633322825
"259",527524.637804526
"260",346470.007797666
"261",1119232.3663702
"262",607231.534161219
"263",308037.256698861
"264",553099.831008689
"265",546816.387928984
"266",573100.640239599
"267",460292.933689219
"268",494107.436941938
"269",480014.734407878
"270",601345.33870143
"271",738714.237748978
"272",360320.949584843
"273",126657.114126937
"274",904393.44018647
"275",727516.282305421
"276",495915.325461627
"277",430577.681528407
"278",214890.13306408
"279",651497.195992738
"280",342438.526332034
"281",985778.15605762
"282",286718.710666411
"283",642030.031628339
"284",266664.083806315
"285",751018.565982719
"286",541898.385215805
"287",615346.641734724
"288",1430449.31898403
"289",276855.435272199
"290",574241.464583314
"291",196655.299575837
"292",313263.664020628
"293",505368.269259917
"294",1389618.56271401
"295",737873.354943893
"296",304659.872847231
"297",720607.189125025
"298",186371.985303887
"299",639651.799524659
"300",1089649.7276416
"301",325274.62539619
"302",384194.506284869
"303",778299.941187928
"304",814410.872658986
"305",490765.144482314
"306",1201007.57454654
"307",467380.141403288
"308",304713.4915136
"309",421712.411819926
"310",463985.987294517
"311",465039.172980434
"312",795795.287407754
"313",120250.358236915
"314",525593.692453607
"315",882130.111684158
"316",1688747.68241406
"317",458184.115875779
"318",275384.283810749
"319",1092595.21414189
"320",491154.434674189
"321",787628.998123973
"322",599295.002770849
"323",229001.606769703
"324",226089.803630467
"325",599738.404223371
"326",296800.768619242
"327",548138.159292436
"328",462192.334322345
"329",282120.351003694
"330",895362.889962054
"331",445216.76710622
"332",476023.364385288
"333",1211002.63113396
"334",448000.565757264
"335",409339.459196988
"336",275561.975469258
"337",824695.556933113
"338",615584.364783774
"339",370485.509509256
"340",595471.628563541
"341",223992.368558811
"342",376905.223172776
"343",266288.899357147
"344",195505.063147554
"345",243306.608127276
"346",354457.641295401
"347",204854.141281579
"348",340367.812277682
"349",505167.951552493
"350",439613.403907004
"351",290883.465543535
"352",421630.137348559
"353",340588.98669835
"354",492531.597489139
"355",358688.160793161
"356",483003.1707232
"357",466641.341936146
"358",378387.775815323
"359",259737.907621368
"360",353776.253581414
"361",504786.239655567
"362",1052696.2298761
"363",1569782.58368998
"364",465785.490792839
"365",160913.194939384
"366",871595.109822854
"367",423191.595759312
"368",312655.896272867
"369",597729.877659528
"370",576506.480806034
"371",333082.878579844
"372",448257.283261398
"373",528173.236403707
"374",701851.786228592
"375",419789.722782913
"376",1436205.70761461
"377",148048.566243892
"378",650292.684915216
"379",493735.856146697
"380",451587.531668551
"381",597716.091816996
"382",692560.650325608
"383",376739.659641965
"384",395115.827357998
"385",480663.010145381
"386",528544.836749594
"387",614789.166208596
"388",1010884.08296126
"389",316988.476896053
"390",819664.363681665
"391",1407125.48616972
"392",614869.853579444
"393",719242.296486416
"394",1050712.02003876
"395",595192.11450667
"396",350211.677297174
"397",181421.33867462
"398",461097.578856422
"399",841121.588268764
"400",443258.35478723
"401",982058.22667763
"402",105759.370116121
"403",533597.623679813
"404",98880.1520094185
"405",236752.429176443
"406",882746.359907951
"407",178323.121398885
"408",942966.698803536
"409",634758.172853959
"410",323295.680017785
"411",301774.336067412
"412",683809.710634405
"413",342121.555494048
"414",121058.777632329
"415",1134373.08012268
"416",331364.817247409
"417",287283.372850376
"418",246268.287119787
"419",303791.404679876
"420",130958.035156464
"421",396625.406923151
"422",1066894.18141432
"423",258616.422702935
"424",850996.263645414
"425",618025.674489497
"426",514597.072587605
"427",988265.017577643
"428",1292789.4388654
"429",936761.895170176
"430",738847.010378101
"431",802149.583298864
"432",386989.525995958
"433",713622.88364994
"434",613585.358990793
"435",283525.177861691
"436",728487.383339182
"437",356472.063811526
"438",1031467.46358246
"439",536507.107337496
"440",220179.947662625
"441",538654.984918686
"442",275721.079732789
"443",748249.990560564
"444",1205704.92003594
"445",202150.477441167
"446",369999.293333962
"447",307672.545956323
"448",453265.124991647
"449",218656.379836095
"450",635150.184982484
"451",895440.712545276
"452",259484.730366496
"453",462060.367346593
"454",443383.937087127
"455",532117.509483722
"456",539878.67099965
"457",165595.901794882
"458",705459.987881212
"459",947941.14177836
"460",162426.87131648
"461",1211147.84090283
"462",233874.857923241
"463",1289819.52087704
"464",661856.580840297
"465",474085.781331822
"466",614687.353843764
"467",396092.383093059
"468",298681.980225857
"469",124421.980705147
"470",909103.768568228
"471",778273.5451307
"472",245491.348928177
"473",222522.315610168
"474",841221.596789347
"475",388366.543137892
"476",466568.598103869
"477",380886.235740587
"478",493005.118439994
"479",290550.675086691
"480",468307.926726892
"481",274718.236193086
"482",291237.851162111
"483",627458.60760142
"484",897521.070798717
"485",461879.586031865
"486",589314.778060943
"487",518631.897429915
"488",1227249.73264514
"489",268332.455281589
"490",216388.182215055
"491",453105.533731529
"492",514913.814114318
"493",94990.5002256023
"494",300639.415787282
"495",1435463.24415836
"496",281666.970204232
"497",391419.184474
"498",1432889.35434146
"499",893918.25844737
"500",425987.967545291
"501",134429.807619098
"502",255294.471263727
"503",343396.357865068
"504",457102.438513873
"505",271113.1014814
"506",205187.0204798
"507",99225.4761818333
"508",522915.121672196
"509",999150.104388486
"510",621668.512372639
"511",376427.524413338
"512",223695.079227902
"513",552014.911846515
"514",821359.424038307
"515",1057005.06444789
"516",1413977.41698001
"517",1440780.87180148
"518",237380.139628468
"519",100525.942211205
"520",392272.404051376
"521",563296.131740912
"522",379041.147785003
"523",604981.82876776
"524",611421.106074894
"525",528640.507519843
"526",230646.294881946
"527",482482.280175064
"528",283468.264925986
"529",1178916.1530285
"530",578958.272240597
"531",385918.999479223
"532",1234962.07169228
"533",854226.57698788
"534",850585.376406934
"535",697335.219138851
"536",477824.463799424
"537",895175.03223586
"538",630864.838497635
"539",298090.117892633
"540",465240.785177127
"541",562867.14637863
"542",316469.720460172
"543",407676.09427338
"544",697680.381281663
"545",1086766.11794099
"546",285621.612938062
"547",413088.10437779
"548",261688.540446722
"549",865878.166654006
"550",612101.655718379
"551",137029.598538527
"552",532851.555908109
"553",632423.4992667
"554",778108.583429107
"555",624598.339812693
"556",285713.571081654
"557",258077.563748603
"558",551976.291613343
"559",164460.380357454
"560",827601.678923025
"561",589090.784210999
"562",486613.415814649
"563",283668.358643738
"564",847352.968973153
"565",171580.548618981
"566",439167.645941756
"567",672526.38838161
"568",458707.666815275
"569",1241027.83048239
"570",298782.441242173
"571",414978.950988442
"572",685151.591031687
"573",254439.044656336
"574",462725.128279469
"575",265915.587165277
"576",124837.122423671
"577",557422.014316859
"578",352684.048888187
"579",1066843.33895004
"580",373880.838433372
"581",590852.365966853
"582",312903.42968331
"583",707571.233816561
"584",571916.828880109
"585",515488.527220572
"586",432212.108815869
"587",308548.395797655
"588",860590.630767977
"589",271908.072153406
"590",231753.554160813
