"","x"
"1",338125.710775087
"2",1063192.72676764
"3",440022.539004591
"4",581292.236246407
"5",286993.357670448
"6",651995.844348079
"7",1134028.95262903
"8",518188.597751799
"9",339797.463111135
"10",707335.288972298
"11",364004.845730391
"12",379978.922075322
"13",523535.379645236
"14",532836.079976004
"15",377765.331651333
"16",1108121.27418401
"17",764686.714162182
"18",323883.990001757
"19",596392.664664671
"20",267125.686989302
"21",663632.986885189
"22",313991.257243262
"23",438320.897272654
"24",415554.928194173
"25",655031.293645727
"26",434540.872530658
"27",978241.56930355
"28",282821.988847969
"29",417338.09402273
"30",494277.099875306
"31",158084.808403322
"32",584307.157190557
"33",633517.839892878
"34",242571.25151719
"35",465733.436453839
"36",366374.563489334
"37",421034.49942722
"38",961873.766484339
"39",1220672.38975327
"40",471377.380873463
"41",456075.852047404
"42",673819.230120241
"43",460273.979269019
"44",610988.777641688
"45",238512.388561484
"46",1057846.76262418
"47",872042.070846425
"48",651848.171548852
"49",537123.748016855
"50",811700.154671445
"51",469866.711014631
"52",594311.850797292
"53",1364764.41667221
"54",1364764.41667221
"55",442970.19686127
"56",476452.885506628
"57",373270.53069207
"58",373725.544977103
"59",523470.479890028
"60",326090.593605412
"61",618168.171633432
"62",767233.267999929
"63",396319.168822003
"64",668945.607036967
"65",536021.704912247
"66",325861.412723516
"67",47026.1888445349
"68",563503.897150074
"69",480809.431483228
"70",348788.579437999
"71",851099.385417639
"72",868409.756288838
"73",477329.591398742
"74",534754.142837249
"75",423104.511280007
"76",631520.386517998
"77",562417.497221354
"78",496041.450574655
"79",288359.486845375
"80",879684.535246986
"81",560304.639540395
"82",305040.768107215
"83",355269.20120246
"84",452746.830878169
"85",767035.833758113
"86",730706.749571208
"87",544080.546471375
"88",291511.840308206
"89",613335.39331565
"90",1076066.71254194
"91",681367.048999528
"92",106498.884542643
"93",213159.099432886
"94",284512.413902588
"95",247843.040994269
"96",672017.44293948
"97",390706.419349079
"98",633940.826334974
"99",475052.72749874
"100",206424.727747214
"101",1212946.75117975
"102",290199.929573691
"103",512888.075733946
"104",546123.787434706
"105",468980.94822865
"106",708151.304168363
"107",397526.32021796
"108",297503.380736125
"109",1288125.31355399
"110",251529.875421722
"111",1721660.34008662
"112",150630.958553878
"113",387852.429149243
"114",463141.38414535
"115",1938246.23917773
"116",589386.180111922
"117",1579756.4130632
"118",178799.8225759
"119",374599.889925573
"120",308049.849724378
"121",166669.02555772
"122",352929.025107464
"123",471957.8275089
"124",1030827.10992431
"125",369801.251469918
"126",460138.739201316
"127",979896.33344743
"128",838719.159005962
"129",558029.633426321
"130",805970.01705028
"131",426352.0334203
"132",801733.18947654
"133",209689.125255509
"134",578171.876867093
"135",912013.846021992
"136",394584.993668847
"137",1042564.50745297
"138",98065.3963058142
"139",470218.063435026
"140",313816.084173116
"141",385575.510821612
"142",706975.795409404
"143",302786.85113258
"144",548953.392048798
"145",675102.424659972
"146",669923.302115413
"147",377770.577092809
"148",249728.528374035
"149",586593.979664885
"150",365191.098738265
"151",449060.94441955
"152",335229.196739643
"153",330589.408754827
"154",1098555.27632819
"155",764395.983282013
"156",520002.621876802
"157",445885.964124271
"158",374808.497609827
"159",600671.392559293
"160",956789.148221986
"161",1563259.05060271
"162",588420.262919987
"163",149223.884876813
"164",573033.93421685
"165",242019.21228207
"166",458661.658849783
"167",325127.024608312
"168",397424.829815496
"169",510108.282569962
"170",288385.164134697
"171",414726.031435123
"172",722978.191961807
"173",494339.994175541
"174",421396.286338075
"175",185481.305744537
"176",505586.347030108
"177",320562.302868031
"178",339537.957611868
"179",559900.492756677
"180",229733.165281991
"181",385178.430591979
"182",286558.49884627
"183",1197062.92184639
"184",531588.27166064
"185",561046.223194285
"186",753344.64364546
"187",308062.764556027
"188",497530.763919365
"189",330692.65221053
"190",308173.371817499
"191",364730.73279368
"192",629546.458575281
"193",221027.217490823
"194",315796.223017968
"195",497617.087058571
