"","x"
"1",440013.817572501
"2",903761.42863426
"3",456481.862410693
"4",602756.844004156
"5",331043.082177459
"6",645744.356734727
"7",1064565.51526636
"8",498295.958405915
"9",310760.645876471
"10",768592.845708677
"11",425992.23258484
"12",403947.796525153
"13",440858.056120824
"14",510284.380881678
"15",522718.959876306
"16",973996.495092244
"17",799340.188330297
"18",174387.081279444
"19",686254.037734484
"20",327948.223078337
"21",785026.921033237
"22",331018.72923881
"23",373581.215938434
"24",487282.454398482
"25",681586.616205649
"26",386115.209657815
"27",1048156.86814113
"28",177517.855636981
"29",387144.420108321
"30",471490.988262708
"31",199629.13478968
"32",652048.516239943
"33",633296.061693961
"34",290806.368897297
"35",463988.9237249
"36",358715.072798586
"37",339040.298063495
"38",978064.29605473
"39",1737481.62288569
"40",436600.344997563
"41",527580.205201534
"42",1124681.68657413
"43",417305.016588451
"44",614896.810529922
"45",315295.604561741
"46",1004603.76867504
"47",965257.380430462
"48",634879.721751416
"49",501009.155669897
"50",793602.029919068
"51",501984.37468475
"52",545118.909369591
"53",1337505.84874118
"54",1337505.84874118
"55",515125.8254997
"56",548410.892019975
"57",280975.881047349
"58",323775.102922162
"59",615498.890794722
"60",397575.392511279
"61",674866.416362621
"62",743913.405667673
"63",384790.587567607
"64",651949.861050947
"65",613233.632582315
"66",305070.49409452
"67",179511.238876654
"68",606567.233756431
"69",534250.861880986
"70",425525.245514285
"71",874113.301760029
"72",956294.633594793
"73",447485.985852575
"74",528889.304870102
"75",460560.266943292
"76",659624.505473863
"77",461818.406385113
"78",515269.545985533
"79",320528.251477456
"80",963381.113467526
"81",636935.310021197
"82",325117.027510595
"83",372989.956545251
"84",304354.385008777
"85",865608.599761316
"86",793905.79085638
"87",527636.953874554
"88",306221.560980115
"89",695818.586642768
"90",1147181.32594024
"91",732356.609329141
"92",114049.694491164
"93",197597.66577299
"94",296025.036951804
"95",253083.242962444
"96",689568.236612506
"97",392107.870470705
"98",633406.669519814
"99",406318.116129436
"100",262538.332240236
"101",1227990.76146585
"102",332772.177133288
"103",452112.357019785
"104",408832.713092251
"105",554076.85926352
"106",691145.806631937
"107",313894.596362876
"108",290290.174451201
"109",1416218.85167075
"110",277438.808806632
"111",1600953.0229134
"112",230781.086470479
"113",380942.136048106
"114",432823.205192343
"115",2375242.05979885
"116",575071.102564262
"117",1486491.34524219
"118",240792.726745679
"119",459238.824836089
"120",395234.427777069
"121",381374.61823808
"122",359452.749638563
"123",412111.825774431
"124",915240.721049148
"125",464261.219012284
"126",319887.509327796
"127",1063397.26002985
"128",906932.125481885
"129",589747.879371404
"130",735618.473853254
"131",471065.986959339
"132",863367.096851575
"133",204511.529014307
"134",513485.676438995
"135",911257.970188851
"136",468549.298609953
"137",1014324.25136089
"138",197165.19436649
"139",546071.054570519
"140",216781.81296139
"141",424678.220868978
"142",711944.521433401
"143",327325.217432936
"144",564257.465569747
"145",731901.982064472
"146",707066.845904914
"147",304404.987354402
"148",238897.112396001
"149",475950.632816242
"150",401027.055377473
"151",375644.036573869
"152",313381.018075818
"153",323713.512879506
"154",1182816.95798008
"155",701212.044284523
"156",431608.001290039
"157",503663.153101396
"158",380395.774401686
"159",552704.459630919
"160",838177.394867705
"161",1399714.87299133
"162",644860.831862458
"163",134573.962514819
"164",632117.358107784
"165",294896.133270078
"166",528627.479330711
"167",190071.498644418
"168",455121.752904936
"169",463891.361032594
"170",297925.186927988
"171",361560.338018649
"172",708078.032023126
"173",485024.967703412
"174",388769.898558531
"175",207333.891489294
"176",451396.609121276
"177",298184.813943607
"178",244167.121029813
"179",589826.449267741
"180",236417.645401605
"181",406989.295386198
"182",304459.504991881
"183",1111750.25991373
"184",603635.244915537
"185",655016.697763136
"186",904980.703560883
"187",297373.781038057
"188",519525.905698103
"189",202996.916268623
"190",333309.909275401
"191",299136.729866931
"192",568292.211957207
"193",302887.024532113
"194",345895.206138241
"195",461580.683053659
"196",335646.563047814
"197",389311.45317163
"198",409745.732610229
"199",673595.959010571
"200",320238.575871441
"201",437941.576870991
"202",328396.464444639
"203",209347.959597954
"204",391271.543882002
"205",460820.921683528
"206",400437.581721091
"207",344966.170641835
"208",342380.538105132
"209",484985.755265372
"210",482739.824121844
"211",260243.204273936
"212",431711.322788695
"213",216539.608716789
"214",468638.957492987
"215",585958.938171534
"216",235232.333306858
"217",510380.50112924
"218",314813.516697436
"219",256849.766926192
"220",468982.234920099
"221",428075.457255184
"222",968901.430198341
"223",184049.803976398
"224",209162.861691915
"225",302261.462429696
"226",244734.23780851
"227",831182.121742203
"228",750945.185742661
"229",620194.87365113
"230",769945.429377809
"231",329357.786503331
"232",455694.20564831
"233",550484.055524625
"234",329397.549186586
"235",182428.396417003
"236",411092.690411271
"237",442856.152351276
"238",558844.571736767
"239",397259.786920509
"240",838621.791224939
"241",327529.499873058
"242",398934.234406123
"243",488907.951574665
"244",378169.913644078
"245",660234.53720407
"246",439323.930256052
"247",226002.040289322
"248",254371.021411547
