"","x"
"1",524196.186363209
"2",941521.337030565
"3",288269.92158656
"4",582940.260393065
"5",412764.202991733
"6",641343.365742867
"7",929454.738653958
"8",385246.643549264
"9",265036.883301219
"10",827359.599986223
"11",259713.428097912
"12",268414.395527423
"13",341093.342354889
"14",385337.387883518
"15",540301.379955629
"16",804323.167792341
"17",849473.599986355
"18",335864.434449404
"19",646540.722580008
"20",418086.176230623
"21",766364.867225207
"22",168569.062114063
"23",340187.892187114
"24",369408.446395265
"25",682571.789043373
"26",354257.339253122
"27",1050617.28756642
"28",289655.316365525
"29",287510.779673839
"30",382435.784777842
"31",116256.247851388
"32",591445.13360555
"33",730310.071310507
"34",233246.809663703
"35",374948.409550749
"36",430352.314218585
"37",215364.895085301
"38",1108165.25966107
"39",1705479.80614115
"40",317811.805064403
"41",533780.336022714
"42",1088920.04559452
"43",245599.630283204
"44",447571.007457511
"45",263069.714483966
"46",1029149.08382763
"47",996240.648656341
"48",790151.268801644
"49",400887.688105254
"50",802354.219863574
"51",358342.584236834
"52",490394.155427077
"53",1263756.06955837
"54",1263756.06955837
"55",541200.126396283
"56",511520.997030112
"57",129803.181136951
"58",278670.260293826
"59",680047.006899802
"60",450111.980228301
"61",668311.530851483
"62",854449.562954422
"63",542330.557394272
"64",706828.157419011
"65",543144.202955306
"66",196141.972998025
"67",152172.937388629
"68",646409.96185911
"69",590614.821650677
"70",373489.175242153
"71",825122.860767375
"72",958201.08678475
"73",433237.860977022
"74",666170.405521633
"75",557837.99585715
"76",656777.314542391
"77",493361.306700807
"78",566159.753431331
"79",452385.543212535
"80",1007987.31740086
"81",596841.376752243
"82",411620.857172551
"83",264342.40136258
"84",445023.671928548
"85",781276.265910055
"86",793641.432895284
"87",654654.646770007
"88",381779.76613606
"89",733048.689093678
"90",1236381.2660976
"91",794002.421297222
"92",91379.7487055075
"93",79898.0971890253
"94",446802.446702298
"95",118658.151381676
"96",551651.001253693
"97",292477.913462859
"98",584606.731527612
"99",384413.368809792
"100",264624.630033662
"101",1311029.76142661
"102",362574.041109396
"103",403763.374097985
"104",457749.618298385
"105",562426.27769294
"106",785726.490122299
"107",270620.588461833
"108",392506.318197826
"109",1346646.53505163
"110",168041.62387165
"111",1756550.98615767
"112",7104.68520023605
"113",317131.46973997
"114",401245.184121022
"115",2300002.29655821
"116",444879.19604771
"117",1524140.56618992
"118",157862.229432524
"119",416169.304066446
"120",426754.874650093
"121",339630.760165713
"122",231365.932659315
"123",323003.137778459
"124",940818.127352952
"125",181650.236221196
"126",400398.1320254
"127",919584.873909865
"128",880821.386455371
"129",420786.246475697
"130",902676.961599944
"131",471701.317691907
"132",700130.082581893
"133",293934.73480473
"134",356711.258655441
"135",994090.313287531
"136",568220.845611024
"137",1049310.70304303
"138",65456.6397808595
"139",487290.480643788
"140",342247.211174892
"141",489611.872703877
"142",770203.943416103
"143",400043.923848356
"144",499099.574789516
"145",789247.999583413
"146",680579.144949617
"147",199031.568902784
"148",374855.073088418
"149",596376.664910334
"150",287007.048033204
"151",284801.647469835
"152",297897.36679697
"153",260110.35566305
"154",1228466.85239406
"155",633002.649639254
"156",335191.037776628
"157",461411.548886604
"158",490877.41664593
"159",573910.311184688
"160",833723.635847289
"161",1371367.24563234
"162",666900.978564919
"163",366528.462625256
"164",621632.284107263
"165",259368.568888343
"166",526474.234772455
"167",316914.727100764
"168",390305.028953592
"169",291111.19417759
"170",249304.033972752
"171",500411.181401628
"172",848447.565061319
"173",374687.357946211
"174",378292.539971103
"175",173306.880056983
"176",353005.030686814
"177",370525.49915062
"178",341342.935951893
"179",687491.955161559
"180",110993.23603065
"181",473986.922639637
"182",174315.328772601
"183",1027073.04251924
"184",635151.456597801
"185",721047.312381251
"186",915997.754610537
"187",403699.045620289
"188",669323.85853426
"189",240207.388508469
"190",380946.186722387
"191",188683.747718997
"192",511102.554936254
"193",104277.835920952
"194",458000.628955217
"195",327443.442546249
"196",328640.900053513
"197",257436.346216708
"198",136511.949264347
"199",526977.596697496
"200",157356.259566928
"201",389221.816270789
"202",223178.775650315
"203",183499.05942502
"204",313144.964034988
"205",539607.743459485
"206",307880.899329398
"207",337305.715626862
"208",222361.402715811
"209",546193.040369418
"210",261361.657636052
"211",167703.252135827
"212",519605.40431359
"213",361148.014788305
"214",484457.69379427
"215",621133.530974068
"216",158048.868631717
"217",530892.643161154
"218",299246.920361724
"219",343206.468654504
"220",467258.878684488
"221",374804.121969809
"222",872185.938805068
"223",327519.604201377
"224",134734.161619194
"225",374742.839641749
"226",85709.0659038857
"227",898691.938263062
"228",593245.86655318
"229",520317.379956253
"230",775285.097169004
"231",387019.025963294
"232",362948.547516864
"233",428521.449882924
"234",410090.95178449
"235",-104969.022465095
"236",425049.094267453
"237",438836.380590607
"238",725023.094184057
"239",506670.992909344
"240",774784.735543291
"241",380913.318176756
"242",560795.731404775
"243",472442.838034412
"244",382409.425804128
"245",625200.830911094
"246",471872.117596595
"247",298161.355751227
"248",255653.27627975
"249",344701.079108979
"250",879325.591988068
"251",946637.818206831
"252",495347.255751506
"253",616321.425126718
"254",496339.999672312
"255",281001.623195256
"256",526665.572290577
"257",220598.018139163
"258",587310.463373868
"259",658504.370559563
"260",396253.616293211
"261",1081049.25572459
"262",663580.749547365
"263",324551.601786693
"264",541684.446820316
"265",628013.982020944
"266",728480.254030092
"267",514667.315461996
"268",763686.303283292
"269",669608.040948546
"270",634026.670964594
"271",425354.985957826
"272",547946.951898003
"273",190026.709935236
"274",696403.395800111
"275",739177.128811544
"276",489769.759405361
"277",424832.214571393
"278",338208.230613117
"279",931268.589372585
"280",364369.772375276
"281",875177.457177872
"282",359972.260296372
"283",607153.317830647
"284",304786.05935446
"285",863072.442780334
"286",776754.944018229
"287",685485.526718562
"288",1512845.62973587
"289",239706.102901829
"290",464587.662241218
"291",279298.403723619
"292",443722.904057744
"293",501197.270760167
"294",1490124.74673257
"295",743858.124991133
"296",395726.616248068
"297",819608.423196126
"298",128754.693518345
"299",580440.508056574
"300",1046406.47685103
"301",466311.330378954
"302",327190.174160059
"303",865991.238588007
"304",636319.370768661
"305",540171.544282478
"306",920936.801067927
"307",431738.296159078
"308",206125.147536355
"309",613886.399210576
"310",609068.4250744
"311",452804.994660737
"312",582268.892360484
"313",115619.692413389
"314",493284.356589845
"315",941110.724049585
"316",1552622.53796603
"317",531785.633052803
"318",292342.399475445
"319",634425.877330695
"320",518570.744585359
"321",714508.982189487
"322",654387.531981173
"323",342537.678145187
"324",314173.412210833
"325",698589.251289819
"326",437015.016359812
"327",581407.313711674
"328",383008.703288068
"329",173615.222811554
"330",547818.988067726
"331",471695.021345339
"332",405673.375142555
"333",724467.282542436
"334",561103.514091326
"335",404107.719695757
"336",405074.885891542
"337",487112.050348476
