"","x"
"1",481210.110509094
"2",1029358.20998084
"3",227718.712521695
"4",588773.08856697
"5",379734.664854951
"6",649563.614496451
"7",978057.411826033
"8",401753.878942359
"9",253196.922658455
"10",756567.484243311
"11",241336.066455521
"12",249886.811258629
"13",343254.141598478
"14",390522.412923578
"15",478430.788753264
"16",923670.871064454
"17",853789.43684743
"18",377158.144548137
"19",631952.3736532
"20",385159.580712911
"21",691141.06281345
"22",169293.405115031
"23",345333.30865046
"24",361171.200889476
"25",691087.668937501
"26",351757.64283428
"27",1048972.29405827
"28",324045.213983435
"29",271760.686182529
"30",377185.501394417
"31",122654.975775402
"32",596926.404426455
"33",757890.012731448
"34",186469.359533478
"35",362649.632140428
"36",475346.882149491
"37",232368.179988716
"38",1060573.27182287
"39",1263713.67603666
"40",333065.744733933
"41",510089.25504896
"42",596819.037260056
"43",278020.193673521
"44",462056.757340357
"45",222103.313660972
"46",1076786.3184812
"47",1010070.21413571
"48",801300.045031041
"49",400449.500252005
"50",821568.292817619
"51",354845.713242646
"52",490689.924479924
"53",1370663.57359602
"54",1370663.57359602
"55",495400.031958081
"56",487380.496266954
"57",178902.881593376
"58",337407.66178843
"59",604306.423629358
"60",410998.519654557
"61",647655.464594685
"62",899265.508897774
"63",542071.724945277
"64",720720.286610801
"65",537572.525616903
"66",212762.289869528
"67",145868.216437738
"68",597191.818334084
"69",586477.906386845
"70",365665.931924418
"71",875357.400249306
"72",950043.509826884
"73",432880.280650552
"74",661933.608646251
"75",531070.564514536
"76",633676.692459118
"77",514021.544558074
"78",532738.893856231
"79",455554.153500758
"80",946445.361101612
"81",578458.202515122
"82",399884.906749841
"83",250269.930490632
"84",456357.835120559
"85",766978.827108838
"86",810299.169975132
"87",660690.53309143
"88",374668.366024464
"89",740287.971392624
"90",1220439.6841402
"91",715687.769793965
"92",95623.7530085556
"93",93130.7463683523
"94",452394.640998248
"95",134518.593759473
"96",544530.574298702
"97",287346.760390036
"98",562967.113705128
"99",389109.694468267
"100",213269.037726562
"101",1283805.95195618
"102",371272.99649927
"103",460693.081183221
"104",519342.002045553
"105",464912.989052571
"106",808082.334370419
"107",315486.495392043
"108",402505.561317991
"109",1251956.58911602
"110",172983.976383828
"111",1804208.07595431
"112",9883.32450824976
"113",303839.518366057
"114",411077.501881842
"115",1805222.9331665
"116",464348.419914547
"117",1575619.01927831
"118",131480.534334742
"119",383806.401113506
"120",355413.580192011
"121",288926.999110863
"122",229842.992856212
"123",343080.799751945
"124",1019097.77953603
"125",146189.87316183
"126",436621.322514467
"127",968799.798188798
"128",846522.951337576
"129",431560.63701972
"130",903413.654088683
"131",449453.867246997
"132",682862.55003975
"133",311674.371725757
"134",394665.764634658
"135",1019118.89155726
"136",583676.215177368
"137",1113109.92600335
"138",59945.8035220318
"139",459632.950525265
"140",386632.039002385
"141",472642.69546707
"142",783762.184012666
"143",402527.812629841
"144",516878.492907181
"145",782565.022556078
"146",715419.21688325
"147",227384.228355139
"148",377292.925314076
"149",639636.302223668
"150",276091.526476149
"151",308818.507703338
"152",304719.890426468
"153",283393.706284657
"154",1237960.52325635
"155",743303.716308642
"156",369476.869302392
"157",473194.491368998
"158",447031.170761652
"159",623711.990447216
"160",969117.719943441
"161",1530478.19025956
"162",652985.519392632
"163",392689.596553389
"164",607839.60042147
"165",259919.125957567
"166",503862.012807038
"167",396298.551981188
"168",390765.85650707
"169",314081.535910711
"170",249313.029732592
"171",501313.522509895
"172",889957.250301648
"173",411237.50375893
"174",390204.83609695
"175",181917.766670223
"176",362517.488890756
"177",424338.543938283
"178",423138.203041941
"179",679711.566463001
"180",114988.14290515
"181",493615.993648291
"182",154705.689140398
"183",1145535.67975515
"184",561949.085157663
"185",604331.641016077
"186",877623.072011936
"187",435213.948918451
"188",671286.202552184
"189",286837.589859404
"190",346393.474102773
"191",211223.005529076
"192",560530.92860508
"193",112051.701018296
"194",464294.568552934
"195",346157.130435452
"196",298816.281732403
"197",285943.613909759
"198",15170.514119897
"199",519720.253709108
"200",163639.639243905
"201",379340.126488052
"202",255106.241755821
"203",189317.416396432
"204",301271.76280462
"205",489464.384555865
"206",316904.340277385
"207",254148.303416226
"208",251893.415909279
"209",593504.65098922
"210",247860.408593092
"211",148428.865018964
"212",528722.659947719
"213",371113.264771737
"214",524718.893963281
"215",581212.353645105
"216",167231.896510027
"217",467153.094834909
"218",307025.850469284
"219",348549.217309598
"220",418451.782273725
"221",334547.831430785
"222",838071.752048224
"223",367697.904901423
"224",110389.169678021
"225",416579.945091352
"226",134203.986068614
"227",914877.15946715
"228",600692.245126825
"229",517889.586889077
"230",741866.732639872
"231",395985.164710157
"232",362183.934576564
"233",440256.646396104
"234",407745.394434363
"235",-79877.5768423937
"236",339609.531316958
"237",426779.544741798
"238",766485.86496501
"239",510402.177770436
"240",760813.773912761
"241",406668.499788761
"242",526105.356602021
"243",480941.866560094
"244",366867.562042996
"245",625378.646645788
"246",398868.281416439
"247",327351.022977941
"248",233225.175732337
"249",332942.241110887
"250",968140.592442568
"251",977247.140170369
"252",480089.69611245
"253",616406.887001678
"254",506554.623470001
"255",265846.716363117
"256",530286.941614401
"257",199787.184723124
"258",595302.929040644
"259",666415.426969059
"260",409681.832594205
"261",1140174.94784425
"262",616023.716081556
"263",332147.342571653
"264",525036.295380585
"265",615917.971345115
"266",822329.446223006
"267",526721.829791069
"268",759423.941536911
"269",648517.759649936
"270",661112.726000603
"271",473007.57104262
"272",562640.176589835
"273",179870.423957132
"274",582548.094705157
"275",708326.093201809
"276",493034.569803603
"277",434095.409619335
"278",335604.338828001
"279",831357.03882093
"280",371521.375627998
"281",893558.056736197
"282",382119.235713508
"283",586554.753048074
"284",313657.985871777
"285",1023396.98677951
"286",814895.249885086
"287",683946.30255127
"288",1481571.05340923
"289",232556.227701284
"290",454860.016784035
"291",278448.837441426
"292",426405.125730671
"293",584885.8070741
"294",1036286.37060974
"295",676728.016329892
"296",395592.20027088
"297",883180.691695649
"298",183903.485786337
"299",526394.037565723
"300",1023070.33834342
"301",466663.143870622
"302",267416.695659291
"303",872916.702316031
"304",622247.052447099
"305",552355.946138263
"306",999947.143429231
"307",452995.968938705
"308",206992.624353893
"309",612370.344967227
"310",604809.445263527
"311",423416.465246152
"312",478477.52199658
"313",133226.326156288
"314",471045.987910852
"315",857575.423727002
"316",1591729.10061123
"317",545365.145658735
"318",276275.537405003
"319",603499.086840432
"320",529294.059532262
"321",716936.520235654
"322",648768.724783543
"323",346176.929623526
"324",290303.910156857
"325",723226.34652108
"326",454794.226667728
"327",589249.564752948
"328",386602.014148936
"329",169322.411784947
"330",553268.200841937
"331",511485.500798911
"332",420564.563320965
"333",742227.489948675
"334",556754.547951415
"335",366481.60563352
"336",353683.45625807
"337",477749.736957248
"338",748472.212509207
"339",468434.598923653
"340",561708.589796398
"341",219267.965607725
"342",484380.599342767
"343",475311.17625967
"344",217008.419477969
"345",378554.335437674
"346",439845.103248309
"347",180331.829026744
"348",540497.638889156
"349",766177.809396904
"350",414375.33069364
"351",341356.407177567
"352",557557.423084266
"353",203143.245374933
"354",632894.519506726
"355",440471.613845248
"356",517456.618983816
"357",422575.064614818
"358",495192.847388752
"359",296131.983926147
"360",405036.085062228
"361",298251.132896613
"362",904530.18486708
"363",1462492.51804624
"364",540752.610150907
"365",173981.648988049
"366",622219.298849132
"367",498472.749233283
"368",424970.905758046
"369",502447.225089796
"370",703492.017399486
"371",462713.055738516
"372",600822.890222494
"373",459704.255468119
"374",656949.807359416
"375",402685.833393328
"376",1270048.39720073
"377",154574.841478903
"378",679795.309046313
"379",368356.286626652
"380",593162.711112641
"381",423066.517010573
"382",873645.156665541
"383",435022.505814236
"384",435022.505814236
"385",593308.053809874
"386",467040.502878245
"387",546311.351534877
"388",718839.777463742
"389",384079.399691097
"390",720610.084117223
"391",1586297.12312296
"392",482847.028175533
"393",660658.237261958
"394",1147173.10152732
"395",458867.361028336
"396",351258.840891376
"397",224441.223509964
"398",360933.078439459
"399",586363.307172485
"400",353814.084812228
"401",939146.484939221
"402",118712.431605432
"403",772358.87102906
"404",28952.8207840398
"405",282150.746728584
"406",1135875.59521442
"407",218680.865360156
"408",559227.862650301
"409",657336.347262926
"410",263003.582421198
"411",211616.670777019
"412",680087.834052615
"413",395149.070650209
"414",-43877.3600722589
"415",802053.708042063
"416",319130.464720432
"417",441833.781733304
"418",238882.730825625
"419",410304.349872351
"420",82770.9051468335
"421",381894.143268522
"422",1009294.49702677
"423",222054.66869336
"424",909010.063761357
"425",737342.12879863
"426",667157.719134774
"427",687331.079377644
"428",1255125.53742673
"429",885827.753499642
"430",757255.318070948
"431",837771.69154422
"432",470904.751643769
"433",638580.030771948
"434",608909.390396722
"435",322887.986959085
"436",816661.325278312
"437",379518.27115522
"438",502831.297597837
"439",720661.28246494
"440",338957.908347961
"441",433932.535709452
"442",205042.284875166
"443",414112.632129263
"444",660139.943902604
"445",326243.757833052
"446",431814.433292296
"447",399362.314663127
"448",554908.675965548
"449",218607.05422103
"450",684986.143745169
"451",1015952.04453493
"452",384330.421727013
"453",523986.80178329
"454",488861.082277391
"455",454311.063289866
"456",641423.541969255
"457",15335.0454701707
"458",657649.706239101
"459",533211.362279642
"460",314119.893174026
"461",1101927.08031427
"462",161872.308385976
"463",717855.672357317
"464",592664.271432117
"465",322214.062101938
"466",911594.94275263
"467",301160.792136058
"468",181854.380235638
"469",144021.056910753
"470",782872.927380811
"471",1131499.28999396
"472",281540.274161853
"473",325107.5388694
"474",866084.706586976
"475",563744.56385218
"476",700508.120688044
"477",473069.561732702
"478",425373.02165857
"479",344427.705681209
"480",596273.956084762
"481",186113.839916423
"482",284216.106500193
"483",501433.551637936
"484",738627.073603634
"485",496874.506445479
"486",507516.19147221
"487",789681.272083059
"488",795970.61873161
"489",282711.53908373
"490",304763.743066266
"491",626024.67931138
"492",634142.92883192
"493",44224.0197015814
"494",284898.545585796
"495",1078744.5181886
"496",214895.436836075
"497",489402.862125408
"498",1416824.40822314
"499",1139553.58114364
"500",451539.604128599
"501",249940.528683424
"502",132428.242159847
"503",353586.951989084
"504",411375.113862664
"505",340982.074287947
"506",211910.58564806
"507",117596.538410589
"508",490173.724678393
"509",971250.037184983
"510",685349.883540418
"511",391748.494715903
"512",260768.737665635
"513",821422.404847857
"514",723122.950732067
"515",762435.613689341
"516",1363089.83402487
"517",1363089.83402487
"518",155965.412476119
"519",133756.674723029
"520",461385.777061224
"521",444831.736978427
"522",472092.2600355
"523",645686.952060338
"524",488696.103431344
"525",404206.721776616
"526",263616.139883794
"527",355257.97875309
"528",397019.39739785
"529",1041554.22921966
"530",724175.449098162
"531",499501.283936195
"532",1080141.33792574
"533",1076598.69941899
"534",775734.764564749
"535",630897.746935498
"536",562754.581707921
"537",1102900.0236687
"538",597583.142485518
"539",491829.316188447
"540",592653.087520543
"541",609252.2739284
"542",231288.002102785
"543",464130.109964043
"544",606493.694743074
"545",741282.507197317
"546",388698.578168318
"547",457482.840195194
"548",293878.594564974
"549",947100.673403662
"550",574603.649182778
"551",170047.310487129
"552",501948.346532427
"553",723848.454520583
"554",787035.113199007
"555",532240.808772255
"556",431258.688631777
"557",288686.18677463
"558",558687.286643367
"559",214469.323742867
"560",451714.077958129
"561",545815.029724389
"562",521911.261592958
"563",129105.282918319
"564",792550.906407498
"565",166490.924090017
"566",542792.684914093
"567",676463.204953764
"568",375399.044363875
"569",1088526.78384872
"570",337065.736138977
"571",384714.648556329
"572",546766.54881769
"573",197450.702055279
"574",403390.505456716
"575",448692.374509085
"576",213616.829470266
"577",500239.96233204
"578",362801.330471791
"579",1045350.0224545
"580",425660.576305695
"581",758330.684497107
"582",339838.520534512
"583",666087.062834349
"584",396148.811293412
"585",478520.981409986
"586",371589.729974929
"587",290378.479947653
"588",473961.839234952
"589",336827.233408112
"590",267940.874451414
"591",39428.672068201
"592",23207.4216959253
"593",558759.923335046
"594",385497.383864708
"595",293365.834784839
"596",1059164.11832909
"597",657568.963015456
"598",627957.958991554
"599",536024.049172252
"600",625599.0775606
"601",710038.590597667
"602",882694.760828521
"603",586845.441909224
"604",359592.512744222
"605",300731.037413161
"606",755433.092577808
"607",123442.001005061
"608",692378.782262173
"609",383480.752707921
"610",770156.584319029
"611",1172248.7318378
"612",907645.127551425
"613",560436.39111099
"614",418040.564140223
"615",426871.822919045
"616",280887.144610118
"617",872260.523681924
"618",189675.673292961
"619",354110.965484045
"620",498377.19720415
"621",792041.587981261
"622",444191.192741983
"623",399054.4580063
"624",41145.1965123974
"625",514897.50559172
"626",603870.180293567
"627",445698.794293802
"628",649647.650304161
"629",710099.771069992
"630",517180.217261296
"631",393801.672940902
"632",352376.403118223
"633",481671.2524435
"634",187552.554107819
"635",337296.304796983
"636",486630.942609988
"637",631551.893817615
"638",304844.705858588
"639",234299.029329665
"640",515417.381330177
"641",382034.267822083
"642",328919.483384304
"643",333484.153852616
"644",546928.671340771
"645",556674.370171532
"646",823213.900688194
"647",463677.392395206
"648",567418.811143994
"649",659356.102642059
"650",702435.516243618
"651",224542.827034526
