"","x"
"1",350640.938033829
"2",778861.552626249
"3",445896.977392539
"4",641766.141661178
"5",243402.66322456
"6",671306.26172995
"7",1174221.42521815
"8",554605.786202215
"9",302228.425118972
"10",708838.048516779
"11",469393.971145186
"12",444213.444486791
"13",469445.979736031
"14",523013.108549821
"15",414927.802661151
"16",863704.343005403
"17",826120.547627729
"18",277312.905956763
"19",669305.712737172
"20",233940.462506095
"21",638814.544407309
"22",293867.733723039
"23",427861.086372801
"24",543673.051483343
"25",690230.663166879
"26",396850.432303621
"27",1068718.69190548
"28",263278.11292258
"29",436751.792761104
"30",521911.599227289
"31",186629.45891377
"32",621942.700554002
"33",679614.944535037
"34",232786.944592718
"35",458513.245017159
"36",447897.526385317
"37",385704.698679409
"38",976201.250895296
"39",996175.153063912
"40",477437.646454089
"41",570641.128229176
"42",267746.688056608
"43",435800.744500013
"44",659791.503427862
"45",235941.011498873
"46",991337.55325201
"47",948864.149471588
"48",676777.893715913
"49",526219.184046821
"50",527902.716952568
"51",553452.268288838
"52",602181.797290725
"53",1203242.05954761
"54",1203242.05954761
"55",428339.092774326
"56",548562.659886091
"57",363891.237832509
"58",355795.553932762
"59",488053.365085931
"60",302176.416528127
"61",626832.30895675
"62",835899.764433224
"63",352693.495617452
"64",693332.721482189
"65",658689.99410533
"66",344966.83639558
"67",204665.349933508
"68",562649.461511118
"69",276943.881278887
"70",386489.191914911
"71",738695.184672581
"72",955172.283283898
"73",507611.798696921
"74",530791.776362538
"75",422082.967552861
"76",634875.984265652
"77",513602.916422201
"78",536263.408348501
"79",414673.324418019
"80",887518.352845081
"81",636029.50217903
"82",261173.546748112
"83",418980.909237551
"84",391493.346752402
"85",591820.556902015
"86",822649.464634544
"87",537099.910174848
"88",264327.613654267
"89",647757.259386457
"90",1122654.84539714
"91",668152.194823795
"92",297338.816716225
"93",196091.659632235
"94",289612.157494352
"95",295920.291306662
"96",718882.27281846
"97",428443.109956016
"98",622524.724137218
"99",479438.195446866
"100",163397.472657308
"101",1383023.87319844
"102",336341.137503462
"103",436434.776674074
"104",506977.766522861
"105",438118.309579821
"106",718617.265322274
"107",389388.780577934
"108",254018.381856402
"109",1344541.03815052
"110",274943.33228611
"111",1640342.85127528
"112",227632.328693785
"113",416091.849827582
"114",466291.912829876
"115",1614164.96882876
"116",571477.630055522
"117",1294975.00732229
"118",201246.275531168
"119",551768.735383091
"120",271789.265379955
"121",328827.477186929
"122",422134.976143706
"123",479331.695994196
"124",645185.216063518
"125",478856.171863651
"126",416673.873410797
"127",972943.16680745
"128",852506.600790346
"129",604753.840613665
"130",829643.639211759
"131",502987.197790359
"132",868276.935321121
"133",242301.153902028
"134",553135.252201808
"135",961215.409600022
"136",476855.622870873
"137",913015.895590506
"138",264379.622245112
"139",554605.786202215
"140",298915.850169302
"141",393696.365397467
"142",407466.150935464
"143",284405.533004574
"144",482010.238769806
"145",759620.135102289
"146",672459.779643327
"147",362155.696335917
"148",221641.210968505
"149",552023.213626222
"150",436751.792761104
"151",424083.516545639
"152",295868.282715817
"153",368463.830148227
"154",1177375.49212431
"155",526167.175455976
"156",524957.557284359
"157",510396.840925201
"158",338923.710079455
"159",473701.555964718
"160",582940.379766765
"161",1219225.39298372
"162",600181.248297948
"163",348120.903301734
"164",628567.850453342
"165",278097.399192265
"166",539100.459167626
"167",294184.74981007
"168",500669.632710551
"169",514969.433240918
"170",254018.381856402
"171",424135.525136484
"172",722924.850141806
"173",521594.583140258
"174",439905.859667259
"175",265798.147654675
"176",442477.902990199
"177",395696.914390244
"178",322254.335878434
"179",593556.098398607
"180",267533.689151267
"181",425237.034459016
"182",356164.578610637
"183",1054318.96586081
"184",548245.64379906
"185",538835.451671441
"186",789160.255171061
"187",322571.351965464
"188",521911.599227289
"189",294501.7658971
"190",319204.286153969
"191",351274.970207889
"192",656902.444017892
"193",293867.733723039
"194",299022.349621972
"195",547144.134476528
"196",406629.649109117
"197",410620.217841619
"198",320887.819059717
"199",716616.716329496
"200",303329.934441504
"201",531955.823528969
"202",376507.505457129
"203",198092.208625013
"204",398585.973800214
"205",391695.816404689
"206",453675.645205256
"207",239095.078405028
"208",374771.963960537
"209",577214.269537671
"210",469341.962554341
"211",223324.743874253
"212",469710.987232216
"213",396850.432303621
"214",513867.923918386
"215",513550.907831356
"216",221324.194881475
"217",379027.540189224
"218",274943.33228611
"219",230786.39559994
"220",482379.263447681
"221",417562.383827989
"222",987294.975928663
"223",280414.964272073
"224",191784.074812703
"225",410365.739598487
"226",297021.800629194
"227",841625.874662318
"228",778544.536539219
"229",646073.72648071
"230",805829.629372082
"231",325408.402784589
"232",476855.622870873
"233",577203.740284617
"234",256018.93084918
"235",221324.194881475
"236",306271.002442319
"237",496679.063978049
"238",611378.990513005
"239",453675.645205256
"240",863704.343005403
"241",405211.123699554
"242",392911.872161965
"243",543990.067570373
"244",373618.44604716
"245",641184.118077962
"246",300175.867535349
"247",267320.690245927
"248",267533.689151267
"249",341547.761993239
"250",625096.767460157
"251",1166494.76599628
"252",576684.2545453
"253",532527.317859131
"254",629149.874036558
"255",380815.090276662
"256",552033.742879276
"257",213862.543155788
"258",584727.929854203
"259",545039.56830206
"260",469445.979736031
"261",1008791.42068853
"262",535629.37617444
"263",461667.311923314
"264",611113.98301682
"265",523065.117140666
"266",690230.663166879
"267",666998.676910418
"268",584410.913767173
"269",616268.598915753
"270",775390.469633064
"271",415774.833740551
"272",381080.097772847
"273",226478.810780408
"274",510131.833429016
"275",458778.252513344
"276",566068.535913458
"277",314844.692743592
"278",450786.585795286
"279",802093.538882711
"280",390490.289900467
"281",944556.564652056
"282",534843.273542524
"283",614533.05741916
"284",200716.260538797
"285",788271.744753869
"286",623995.258137625
"287",709155.064603809
"288",1533317.57537135
"289",251711.346029648
"290",448786.036802509
"291",332033.552683929
"292",505559.241113298
"293",670989.245642919
"294",533374.348938531
"295",600498.264384978
"296",254865.412935802
"297",706000.997697654
"298",384499.172175187
"299",461667.311923314
"300",1040966.12192414
"301",283252.015091197
"302",237941.56049165
"303",860815.283595434
"304",372719.406376914
"305",434117.211594266
"306",836788.274850416
"307",223324.743874253
"308",205553.8603507
"309",758466.617188912
"310",639765.5926684
"311",607071.405693473
"312",425237.034459016
"313",205553.8603507
"314",439058.828587858
"315",588781.036430603
"316",1791733.23458147
"317",379344.556276254
"318",388858.765585564
"319",587564.980673328
"320",425237.034459016
"321",949711.180550988
"322",761090.669102696
"323",346333.353214297
"324",317099.719979501
"325",512132.382421793
"326",327408.951777367
"327",641766.141661178
"328",282404.984011797
"329",393696.365397467
"330",441947.887997828
"331",469393.971145186
"332",444426.443392131
"333",698539.345971967
"334",797733.945472334
"335",708001.546690432
"336",392542.847484089
"337",213862.543155788
"338",655483.91860833
"339",504405.723199921
"340",418081.869567306
"341",375873.473283069
"342",595556.647391385
"343",313109.151247
"344",260960.547842772
"345",221324.194881475
"346",567487.061323021
"347",342649.271315772
"348",410885.225337804
"349",608489.931103035
