"","x"
"1",382645.216935381
"2",1076923.53096398
"3",472118.976255111
"4",514778.394592166
"5",324844.596117418
"6",630351.931534581
"7",1095939.16001374
"8",498523.621652525
"9",350030.438457936
"10",800908.21344728
"11",408645.04776701
"12",414397.988012295
"13",521696.149882972
"14",497392.451949049
"15",517814.164872147
"16",1063723.96347483
"17",686161.760271974
"18",258899.186902318
"19",716794.413607385
"20",321365.651967224
"21",740184.109770995
"22",308458.174643908
"23",566475.03787997
"24",450887.950053368
"25",628149.027903114
"26",428716.201215185
"27",979248.625326276
"28",249772.171282999
"29",395704.63550872
"30",452869.40155416
"31",172367.83411875
"32",621054.845208727
"33",544744.739883658
"34",254444.027366918
"35",468313.5096783
"36",265789.724277407
"37",459700.819462769
"38",1013279.04460985
"39",1221042.92053666
"40",450831.853397924
"41",481294.584434297
"42",585416.842638422
"43",408658.570278518
"44",644319.929501336
"45",237456.488678973
"46",1083846.09601205
"47",808582.372202624
"48",624324.309604112
"49",534607.945899345
"50",862105.688425425
"51",420413.850022361
"52",600123.373705648
"53",1343104.02984408
"54",1343104.02984408
"55",438472.288398121
"56",457083.011439558
"57",309399.116949223
"58",267296.173159786
"59",615934.114505783
"60",317629.510830183
"61",630442.835829765
"62",704726.459770571
"63",396193.000584982
"64",664840.280950487
"65",538590.877164602
"66",301820.03593846
"67",-8895.87780470774
"68",610943.268552694
"69",507163.279815268
"70",399739.104453489
"71",962928.290830187
"72",834926.227507021
"73",530373.004744008
"74",612442.425884146
"75",465082.491395522
"76",646675.27018822
"77",548263.121365629
"78",486827.259510186
"79",284184.588285137
"80",898468.905791894
"81",694408.986445323
"82",274799.813040238
"83",390457.185648795
"84",416313.420055903
"85",842255.337741412
"86",718637.225977141
"87",602508.591475662
"88",259535.860470571
"89",581133.121694162
"90",1024258.478368
"91",785654.960752938
"92",204774.353574563
"93",214163.456629306
"94",293028.705821719
"95",234141.493284672
"96",605492.035343215
"97",410851.025963683
"98",631572.88334357
"99",387581.96277089
"100",224336.739661925
"101",1210113.39737219
"102",365599.772300739
"103",468986.830364741
"104",513071.268167976
"105",501910.367528871
"106",670336.225094251
"107",290921.549599417
"108",347675.708454877
"109",1335068.95393032
"110",256455.562793821
"111",1832124.12026349
"112",159266.409107417
"113",370258.272505756
"114",461755.649907101
"115",1782514.08210015
"116",581996.389212266
"117",1502989.79041163
"118",171544.677484479
"119",501284.83598379
"120",379673.106387183
"121",201067.260347687
"122",374151.49808326
"123",403776.598557927
"124",990948.485112999
"125",391640.105576426
"126",339181.782759771
"127",895102.613730617
"128",835853.55732882
"129",561769.314255767
"130",812290.105120461
"131",412779.247999154
"132",785490.18695439
"133",214347.630557548
"134",496000.842055183
"135",981764.368171562
"136",451058.177104451
"137",948582.084438998
"138",130607.132614598
"139",550419.728417095
"140",249561.877597235
"141",422470.208400566
"142",807149.043081827
"143",312508.422428112
"144",554543.436081763
"145",674889.683465198
"146",779133.328814652
"147",341888.853156328
"148",268194.30451772
"149",664976.754360057
"150",337838.143730257
"151",353388.209758796
"152",279800.805351403
"153",315937.79896735
"154",1027063.599367
"155",738433.487331618
"156",487737.370997883
"157",436198.515224926
"158",375306.719019033
"159",634833.789564751
"160",942554.703431875
"161",1376644.97377266
"162",615058.776068304
"163",231898.196777537
"164",647482.186886452
"165",256319.739541642
"166",497453.910194892
"167",247885.586251061
"168",447178.956205133
"169",489987.709839441
"170",339419.682938378
"171",393023.14626243
"172",717462.028634228
"173",423231.727138951
"174",371759.571618736
"175",179935.080060255
"176",513951.380272247
"177",219842.371661134
"178",285585.310122069
"179",630012.65932649
"180",231695.335110776
"181",376353.849466398
"182",285531.434842914
"183",860632.020495195
"184",592414.747103434
"185",711349.366396498
"186",864420.719818138
"187",287968.091748916
"188",454507.566271383
"189",277548.023655277
"190",441560.681257892
"191",331413.436486863
"192",550361.64505576
"193",218440.494194645
"194",266474.242960364
"195",472089.29435565
"196",300082.62201136
"197",461344.098274119
"198",403838.486579463
"199",764775.946163516
"200",311320.469602063
"201",322791.790038362
"202",361801.256847531
"203",186507.383391302
"204",378865.762453452
"205",536655.849794477
"206",446387.364007063
"207",288571.317607425
"208",313746.960553605
"209",380221.004513543
"210",386010.428829119
"211",176305.513213094
"212",430432.064114291
"213",294745.058190104
"214",432507.94383673
"215",541246.418363981
"216",162517.180786263
"217",459784.8193345
"218",290006.349132486
"219",255610.960254025
"220",587023.238542665
"221",516583.204632975
"222",887302.054991152
"223",195980.317044988
"224",162573.007730484
"225",326393.093986001
"226",283192.369767338
"227",776317.10045762
"228",668940.382135775
"229",613557.695444468
"230",743388.007868741
"231",343106.216990892
"232",492761.369289327
"233",629354.2235437
"234",317699.619377233
"235",122585.079496235
"236",544145.731313292
"237",394333.55553925
"238",601262.035845369
"239",462559.249521859
"240",778357.096416343
"241",370251.23511925
"242",413057.338553999
"243",412781.119524181
"244",339077.10972571
"245",622954.266919505
"246",408775.205311194
"247",410017.733983036
"248",204825.089184873
"249",364798.976918682
"250",900140.117680714
"251",1010969.59675132
"252",476952.003965989
"253",555695.120332416
"254",561322.724745389
"255",413696.99481209
"256",543157.898700353
"257",218969.643617619
"258",651001.218525819
"259",418503.729070712
"260",379918.830134213
"261",1037679.61642771
"262",612708.002839677
"263",412541.245567925
"264",646062.599896371
"265",506876.770689443
"266",994302.53691487
"267",550526.014379017
"268",598937.724072881
"269",783033.443281978
"270",687863.289800905
"271",355978.708536178
"272",395317.846864741
"273",224463.958754614
"274",660289.408323102
"275",587894.078812659
"276",445736.984568171
"277",304460.620168768
"278",477443.646562975
"279",992357.951605871
"280",360612.99935862
"281",870387.193867277
"282",440049.140856095
"283",551276.678166442
"284",246316.383875255
"285",953072.396317795
"286",597604.670283101
"287",629408.972460568
"288",1336037.658641
"289",251426.847550854
"290",476465.448815439
"291",350659.031653158
"292",517120.404152919
"293",632604.638068691
"294",774087.50068678
"295",686653.885670099
"296",233334.393138122
"297",800722.267471969
"298",275403.964711856
"299",534835.473914962
"300",977297.971867766
"301",273944.084024075
"302",212714.338685088
"303",716499.973548118
"304",635153.70041503
"305",493868.341256384
"306",1037669.23919752
"307",444264.606033955
"308",191881.61409672
"309",703559.843916118
"310",609324.257648602
"311",426996.253024504
"312",535454.473000433
"313",221710.765726432
"314",529551.927112218
"315",920597.819238376
"316",1685336.42117831
"317",402022.534515485
"318",469436.444656756
"319",608756.749466475
"320",396909.502457317
"321",780406.197649993
"322",691712.661444515
"323",307475.508526895
"324",440351.404464498
"325",509358.531269673
"326",287300.096897192
"327",500712.219741225
"328",358951.580079071
"329",232779.224317677
"330",590255.109393083
"331",337331.552646529
"332",310603.235196915
"333",634701.623903785
"334",697417.349557251
"335",504728.518154979
"336",369313.010872919
"337",441185.984698575
