"","x"
"1",330575.269421143
"2",778776.690123458
"3",275309.718315514
"4",668692.815284993
"5",358633.624755942
"6",725693.035656929
"7",724118.38672078
"8",600850.338054383
"9",363195.941371845
"10",425113.043918712
"11",411529.051521322
"12",468651.427248453
"13",654769.520118179
"14",465009.52461385
"15",562382.748936962
"16",774609.227072096
"17",671715.403154039
"18",462406.410218668
"19",752350.820153771
"20",352958.633038008
"21",502205.746266207
"22",359614.40254671
"23",351853.624928508
"24",451780.203098661
"25",791342.456661355
"26",318851.74479316
"27",1027284.31419896
"28",538353.846025771
"29",482332.923020004
"30",574390.57381942
"31",213104.273548201
"32",685479.227826069
"33",731479.775630724
"34",203374.981232303
"35",531326.109090993
"36",337533.329541044
"37",499910.955059623
"38",1137116.18866372
"39",806481.474223951
"40",488449.786244906
"41",574107.779541364
"42",267979.740931265
"43",274656.050262284
"44",406559.676709386
"45",334118.577082948
"46",975657.89354758
"47",984081.025118479
"48",821665.924921271
"49",682479.733269639
"50",697420.138116916
"51",587752.909823983
"52",483203.876966926
"53",1107169.69601084
"54",1117054.0235915
"55",337435.619519331
"56",648189.651612525
"57",412578.637215418
"58",407857.491223702
"59",654767.987031083
"60",381255.323749069
"61",716286.371151681
"62",740009.658320051
"63",488531.806613699
"64",431146.66621451
"65",513442.294782026
"66",429985.738099637
"67",-13228.5096027171
"68",783006.055623532
"69",441762.633792154
"70",284440.315457694
"71",800096.918473539
"72",850856.065918469
"73",593857.319592888
"74",569383.534716266
"75",466917.520017205
"76",679358.578508064
"77",631529.15147176
"78",558798.234163155
"79",372629.398494456
"80",920367.572572236
"81",544613.753609321
"82",370298.809785151
"83",445640.081501306
"84",655866.324881373
"85",687369.929705585
"86",595683.006712386
"87",596624.166193978
"88",276570.185090072
"89",926626.150249538
"90",1108705.58201063
"91",593490.437588798
"92",318631.402270726
"93",202814.561862818
"94",397631.80902196
"95",300850.509873703
"96",622618.389191795
"97",561939.608202338
"98",519558.400493613
"99",363839.648810253
"100",330815.195094576
"101",1073071.00003929
"102",313741.007205189
"103",432232.583268007
"104",470081.540884484
"105",433734.404453172
"106",770570.824860036
"107",371901.273239847
"108",254189.013769284
"109",837797.709684553
"110",169697.157893512
"111",1353497.34330982
"112",190489.991225086
"113",479908.581374412
"114",652573.503039118
"115",1173735.19559653
"116",552323.608302405
"117",1164483.05083187
"118",207233.671586817
"119",463280.916943443
"120",313085.693665687
"121",152845.340793219
"122",441450.378953137
"123",616097.803648558
"124",680518.20077232
"125",382253.696547006
"126",545328.800882782
"127",713276.952076785
"128",828605.307457871
"129",623604.233344985
"130",799923.78447569
"131",500819.279303898
"132",773860.507280331
"133",234153.703491034
"134",610450.80933664
"135",815185.864457384
"136",556149.041517326
"137",813110.484714536
"138",51403.80321928
"139",530114.423109003
"140",316713.461438149
"141",486696.646011505
"142",582406.298569292
"143",296974.919821016
"144",526562.256501269
"145",724362.640777207
"146",701150.67813139
"147",315794.826722534
"148",316696.201368415
"149",360445.634804101
"150",594948.920073991
"151",358637.799120746
"152",280923.045923675
"153",357787.561097688
"154",965685.518572886
"155",605559.912102206
"156",512860.453253463
"157",536864.755727954
"158",353907.025070188
"159",623412.220079177
"160",718424.483103412
"161",960582.171072693
"162",693660.442078035
"163",451083.712053124
"164",648269.919646174
"165",197146.088326881
"166",514644.224299612
"167",316345.951178413
"168",512100.514545454
"169",353675.99399609
"170",335886.808027223
"171",430429.610734882
"172",892647.451464794
"173",572921.743417318
"174",625154.676753285
"175",141618.261208831
"176",662567.997124856
"177",225841.544604037
"178",199891.955113346
"179",453674.187903307
"180",268251.37103965
"181",444462.412226378
"182",363719.229194553
"183",392771.278856263
"184",423601.589711827
"185",685383.003193669
"186",1124586.34518438
"187",302459.236195477
"188",772153.532113626
"189",401075.748606589
"190",436167.864909019
"191",392606.118855081
"192",410302.82469516
"193",293860.099120155
"194",392948.457254513
"195",486381.572821874
"196",375830.856416474
"197",535012.450596419
"198",255629.448685848
"199",591192.436736196
"200",285195.00009991
"201",430462.51167452
"202",483357.096194229
"203",233728.947463599
"204",400694.869015951
"205",473508.74430328
"206",569469.040662601
"207",308058.70619763
"208",431559.695753235
"209",357132.141678906
"210",266044.025700221
"211",296857.063241027
"212",473006.175871101
"213",450996.403608087
"214",607021.896729239
"215",599082.981544351
"216",234815.681739412
"217",431274.610874783
"218",360108.821850276
"219",263302.015348183
"220",551790.171161035
"221",603194.298295737
"222",665422.859489375
"223",290736.258408636
"224",72030.0268155944
"225",550804.712813749
"226",240146.667043514
"227",831846.17798159
"228",756778.157248371
"229",681822.280092883
"230",676826.741213374
"231",192691.763452001
"232",363808.949185544
"233",272227.87885225
"234",422896.203097376
"235",137992.296082055
"236",511905.595115171
"237",444397.407950058
"238",698676.711393365
"239",402932.83312373
"240",782217.176231785
"241",525104.120142129
"242",672548.260835388
"243",578143.457682476
"244",413173.105363662
"245",782200.329194288
"246",392054.818853806
"247",599893.227494876
"248",133072.42844251
"249",500018.101000979
"250",796059.000896508
"251",666662.564169821
"252",592787.603936166
"253",598296.846254515
"254",710263.591922849
"255",424782.322693359
"256",642777.902123803
"257",448063.140936627
"258",721900.582150242
"259",492331.920618838
"260",292926.162612341
"261",881727.554309575
"262",507625.239988528
"263",405717.741803615
"264",650426.909371481
"265",638460.076346248
"266",620958.487127096
"267",734473.10365206
"268",798418.613198221
"269",747073.362926624
"270",588055.10063651
"271",474267.308346882
"272",566557.872488605
"273",191067.38506986
"274",587197.684252896
"275",804809.061290905
"276",378911.950408984
"277",353393.735486177
"278",615276.288441754
