"","x"
"1",386147.218500238
"2",833430.275108969
"3",280517.333838429
"4",575910.495956151
"5",581913.395075438
"6",462292.088480323
"7",687630.484531968
"8",335886.628221978
"9",247814.933637751
"10",617152.138446566
"11",317126.810338823
"12",271687.888914644
"13",192695.392637729
"14",276640.955309977
"15",517918.729580517
"16",675750.252939105
"17",744601.856155136
"18",467867.888279802
"19",639144.108095341
"20",357160.057896328
"21",836418.445880824
"22",202604.201715425
"23",277203.853724387
"24",412706.949334589
"25",733086.055738026
"26",289312.415169826
"27",1137231.4454975
"28",519423.850806389
"29",202964.91140892
"30",306265.199573572
"31",226742.808919781
"32",935831.857024865
"33",606713.220999515
"34",174017.623877836
"35",208162.971119297
"36",463804.348208393
"37",177446.830236569
"38",1161825.78309465
"39",1613875.40532205
"40",237216.151045839
"41",663199.287067462
"42",966116.982031475
"43",223180.860442539
"44",331284.812337223
"45",161189.29134962
"46",1241326.55690738
"47",842322.089660848
"48",554043.629155221
"49",393433.516970225
"50",675302.408441719
"51",344990.237889854
"52",346343.342860373
"53",1419269.39321527
"54",1439770.09650268
"55",519850.167207169
"56",477090.286830316
"57",173203.504546109
"58",278932.752712276
"59",924652.936722257
"60",499319.518609789
"61",1007929.34238335
"62",651817.258213008
"63",365430.939285369
"64",514959.954978147
"65",451596.634433783
"66",231036.899720861
"67",107854.720798124
"68",923524.589303991
"69",657772.154787872
"70",471580.023739728
"71",784582.221878295
"72",932752.144906659
"73",350426.249243473
"74",494164.816394567
"75",399089.609544378
"76",894877.882763165
"77",391060.309321378
"78",666757.523669999
"79",327908.956401009
"80",1278577.83225033
"81",625696.269699866
"82",508707.207741698
"83",245099.320138329
"84",608001.524597308
"85",472977.705966432
"86",631033.208715242
"87",509330.971964686
"88",465133.222044431
"89",1168403.85111726
"90",1300579.45575275
"91",766849.173814385
"92",399879.699161249
"93",145185.944586458
"94",336325.326074703
"95",255820.864422613
"96",424930.676647876
"97",264219.922907219
"98",403613.232111044
"99",258588.492503986
"100",297341.16267395
"101",1039588.01088579
"102",454193.21645648
"103",350711.22652958
"104",731966.44989764
"105",502222.489085027
"106",968390.250592453
"107",186706.822768569
"108",315684.060291676
"109",1553053.66169979
"110",259026.197864207
"111",1636123.77957406
"112",211135.747450665
"113",278593.859305196
"114",335509.038445604
"115",2666262.58121108
"116",369224.214510322
"117",1555269.73816684
"118",153963.876027876
"119",403536.151258937
"120",684524.269039502
"121",238710.459559029
"122",237577.22427071
"123",249158.459166148
"124",778729.447485194
"125",245084.025449707
"126",403249.100622648
"127",822114.76147786
"128",1094716.46313819
"129",433453.274840874
"130",598656.622302895
"131",507388.61378823
"132",587205.323972843
"133",388173.672647237
"134",289857.422966674
"135",719811.616836119
"136",450597.728496498
"137",1056383.77553423
"138",285059.68143039
"139",455623.525675221
"140",281086.208911204
"141",530868.037699736
"142",928358.923037349
"143",470208.470685592
"144",361372.570325009
"145",714115.43382965
"146",695705.188766869
"147",223378.02536353
"148",362969.415569207
"149",565260.490557826
"150",249210.805035408
"151",235085.054008205
"152",320037.349167078
"153",262132.314412229
"154",1159052.86887259
"155",532950.041083856
"156",387403.102525044
"157",523079.547599832
"158",475937.291785737
"159",596340.584077693
"160",854403.378003427
"161",1307518.24901636
"162",804442.76283203
"163",480676.618919641
"164",1128870.89788901
"165",435473.605628613
"166",545170.616927296
"167",302867.779646421
"168",478936.5898273
"169",216674.094492198
"170",195945.42745684
"171",447120.560973306
"172",678606.409919594
"173",308163.545517792
"174",323611.235532876
"175",351387.726318095
"176",284462.802207652
"177",408096.12474576
"178",285469.350820048
"179",415910.022703582
"180",195813.896482273
"181",585788.551754435
"182",257298.999663163
"183",838971.141335496
"184",767145.429943975
"185",860124.655979211
"186",1204839.08551327
"187",304404.078970277
"188",481690.215286677
"189",235569.116491295
"190",467273.050317941
"191",191605.966764741
"192",547804.639532522
"193",261755.911516433
"194",283061.241725415
"195",252017.715238412
"196",419845.622443865
"197",189035.542378399
"198",227111.875321753
"199",426751.665491741
"200",190498.328011969
"201",379529.288319174
"202",225001.420868906
"203",164603.937901321
"204",257631.005645585
"205",577757.501131181
"206",294255.441427267
"207",337963.399832096
"208",214170.195154488
"209",522052.349354168
"210",231680.609371523
"211",153104.850351316
"212",569141.440481432
"213",582912.212746079
"214",584051.655569944
"215",830924.068860918
"216",305070.892950834
"217",734278.853140554
"218",260810.291897919
"219",311626.714217684
"220",375030.538071706
"221",241460.579715558
"222",643810.565993027
"223",246679.16141421
"224",160672.723626738
"225",344082.462103179
"226",127412.005055223
"227",939117.390012906
"228",577661.209118024
"229",474108.560501206
"230",764909.790118129
"231",322264.136109849
"232",307986.215678776
"233",386185.82363201
"234",476235.696363465
