"","x"
"1",406665.043779104
"2",852303.35540713
"3",302149.502983709
"4",613669.439664215
"5",567573.89522233
"6",473181.08667417
"7",666746.310545642
"8",405621.73319312
"9",230040.200857356
"10",639818.73777201
"11",320733.293626157
"12",274751.225066921
"13",201904.91412358
"14",302099.786367068
"15",499632.542217692
"16",691911.732630743
"17",759112.75618854
"18",446250.470316457
"19",654848.473480557
"20",313831.530222537
"21",843659.441065856
"22",188401.192209834
"23",295151.855557555
"24",425984.350378613
"25",749619.368504161
"26",291231.996998351
"27",1126572.73956734
"28",493304.489543472
"29",201641.657703306
"30",292286.983987423
"31",198651.421314347
"32",953025.699232152
"33",625002.678869067
"34",153144.755136055
"35",218131.908740429
"36",463285.724874078
"37",177578.935370402
"38",1164281.71371476
"39",1644480.748781
"40",258931.081220599
"41",655314.096421971
"42",1048567.48677424
"43",244019.017412616
"44",356401.784695852
"45",139389.524470846
"46",1131969.25339979
"47",825841.989606486
"48",560232.709965041
"49",389007.923841208
"50",676737.009451402
"51",349757.212107514
"52",379077.639243793
"53",1447701.25308959
"54",1466946.41620646
"55",543523.669752764
"56",468141.145740482
"57",174681.928997671
"58",236582.351190609
"59",936453.287726703
"60",494141.26453266
"61",1023741.39596817
"62",660555.20771629
"63",357141.237510854
"64",537397.64600854
"65",459909.198718221
"66",218849.970266315
"67",130965.755331399
"68",929771.546299663
"69",642269.603437491
"70",479351.222607466
"71",795775.721658804
"72",939242.516478381
"73",365975.622816621
"74",516332.730505046
"75",398799.369931293
"76",915875.727997239
"77",392432.550563239
"78",659040.125406619
"79",313701.769012747
"80",1289437.85206932
"81",646339.624195828
"82",486134.613403896
"83",248561.438874
"84",584978.035793049
"85",485125.966918502
"86",661602.462438827
"87",533994.321869454
"88",459235.93365544
"89",1195253.7044851
"90",1313769.910198
"91",779225.736940032
"92",290975.868732392
"93",109854.687916555
"94",306669.275696261
"95",246656.484686143
"96",439230.96579316
"97",257600.511262099
"98",423684.820336399
"99",221188.684911436
"100",280596.112771717
"101",1098062.24247034
"102",434945.291337365
"103",373035.847599018
"104",651111.270772742
"105",505321.500175616
"106",983410.591725062
"107",195863.76239717
"108",290211.912315763
"109",1465136.51691105
"110",258724.979270181
"111",1776721.44583574
"112",194370.651205022
"113",270369.094304021
"114",330603.136095065
"115",2708096.75319093
"116",381711.787311488
"117",1503560.05860801
"118",133871.438620981
"119",405371.977029323
"120",650960.500260777
"121",241657.714500251
"122",246742.141716172
"123",262618.517230451
"124",818591.727858203
"125",272197.59005117
"126",392412.303854319
"127",822035.04299277
"128",1106488.11945395
"129",445120.309162786
"130",606535.559081793
"131",500786.405196083
"132",592582.987127595
"133",355658.748935808
"134",302038.500038722
"135",699404.249224206
"136",432573.313458349
"137",1070458.57306924
"138",246776.900775089
"139",472223.347803528
"140",275238.898588332
"141",537938.383038956
"142",945248.755443945
"143",486869.593636709
"144",355230.52209956
"145",710679.096909481
"146",691194.451861746
"147",221599.566562875
"148",323346.761220059
"149",533656.758765027
"150",245572.221992453
"151",228422.558981639
"152",313877.667070498
"153",254147.018252975
"154",1169863.92969885
"155",546272.808321949
"156",384128.984549234
"157",539119.397888564
"158",489893.969554418
"159",621951.808281053
"160",883604.896542334
"161",1324717.57931237
"162",794791.185761228
"163",356836.848431663
"164",1154883.02855827
"165",424607.474986969
"166",549782.967067756
"167",283067.860418225
"168",495832.926951905
"169",243821.085188991
"170",186156.255358154
"171",430338.019196221
"172",673764.234718258
"173",312781.429296645
"174",323074.793753606
"175",331254.538115066
"176",272439.418914401
"177",402281.7072242
"178",299085.928439621
"179",433911.33948289
"180",171688.010519606
"181",584836.284409922
"182",235476.375014707
"183",1025425.35175528
"184",797902.939830016
"185",854289.379838538
"186",1228589.68546524
"187",294583.118175117
"188",465732.12899347
"189",227722.130737099
"190",459115.397597371
"191",188055.288918009
"192",486421.976155794
"193",250723.43346107
"194",293700.621464435
"195",268599.44139558
"196",400768.308714372
"197",197043.879375026
"198",244567.904994003
"199",436179.687348219
"200",183425.742936208
"201",364901.108368299
"202",224913.210490982
"203",152823.225362025
"204",248141.012917306
"205",571660.657007764
"206",284136.20679734
"207",344536.310925566
"208",216481.991412277
"209",540623.070446118
"210",252644.009884321
"211",139227.2573786
"212",588592.231484675
"213",478502.032664564
"214",553590.256419493
"215",838943.372979218
"216",265625.755165814
"217",725118.171296456
"218",244192.802809114
"219",281572.979809781
"220",376606.585249782
"221",237986.933941014
"222",642114.223244239
"223",228016.668685248
"224",158182.357228373
"225",351694.122898225
"226",128780.126930221
"227",939903.613553611
"228",574960.856254616
"229",476652.105364399
"230",774987.778602276
"231",348645.480778572
"232",313958.796169852
"233",401448.259106071
"234",454501.416556848
"235",175286.205798263
"236",488288.089262755
"237",497382.647996878
"238",487936.419465008
"239",442154.00487852
"240",915246.600700081
"241",364043.804885987
"242",446532.034728741
"243",537587.232616575
"244",386058.104197332
"245",748260.14051326
"246",647321.621060821
"247",313884.732015567
"248",213248.632711743
"249",396002.385494588
"250",871171.123100374
"251",683493.415381153
"252",427629.759797677
"253",425655.638247484
"254",343305.536571073
"255",220926.249389133
"256",400288.32197173
"257",191509.487093865
"258",562643.88452797
"259",461785.507177596
"260",357220.209490715
"261",1058704.25479984
"262",588501.974427253
"263",313210.433828719
"264",555802.652026634
"265",625622.956841526
"266",525881.263436664
"267",526740.079182578
"268",566955.203388215
"269",415147.040043922
"270",518438.124922473
"271",789039.262655892
"272",348747.732381728
"273",149141.278608113
"274",983482.296875909
"275",666735.784106612
"276",488804.421399335
"277",444446.752044499
"278",234849.067274685
"279",644084.93995142
"280",342379.124435157
"281",997854.211631126
"282",286650.353071293
"283",689830.987835037
"284",293676.82201616
"285",669801.226409481
"286",599224.088117186
"287",570017.078899297
"288",1468039.32306097
"289",287651.186226625
"290",588107.996155992
"291",236741.470722163
"292",321916.124323458
"293",416705.935852346
"294",1321450.68898673
"295",697751.826796534
"296",331559.1826677
"297",747149.786524722
"298",182959.341391214
"299",636216.804626752
"300",1028460.98183466
"301",313967.800560615
"302",385325.254132008
"303",789456.113847504
"304",791504.01286994
"305",482112.635650497
"306",1206160.39919378
"307",464110.14113608
"308",337307.46612091
"309",455387.240205336
"310",519258.048822058
"311",430950.93514265
"312",756577.677226396
"313",146322.387878351
"314",554062.539011621
"315",860024.542345348
"316",1501101.91594827
"317",487548.598681753
"318",262588.502235531
"319",1108551.57042797
"320",477672.554022204
"321",771641.731841345
"322",532607.239576371
"323",269946.311239341
"324",255780.785157499
