"","x"
"1",316268.924488807
"2",881000.763099845
"3",266914.080560207
"4",567925.74797204
"5",553134.406100078
"6",489419.437396573
"7",677030.833613014
"8",289047.615840768
"9",245127.115142215
"10",625023.033935489
"11",265510.13621014
"12",297901.182555782
"13",233387.639864272
"14",263565.44323802
"15",538016.247311031
"16",713835.179898266
"17",764415.835331943
"18",479765.11619786
"19",692910.240510749
"20",312949.48021565
"21",901800.896648537
"22",162636.779459056
"23",375071.086223973
"24",430722.599569065
"25",734263.408458637
"26",283470.151631389
"27",1166122.11016758
"28",465735.367955973
"29",227640.960490553
"30",311324.490835426
"31",189889.31450421
"32",980222.20075947
"33",596944.980120618
"34",163425.642511204
"35",246436.279096028
"36",441103.560812484
"37",199919.198015105
"38",1178110.59775942
"39",1670128.55532873
"40",238637.821988862
"41",726749.208322333
"42",998971.369156603
"43",217501.571891505
"44",384745.052192299
"45",130530.352672644
"46",1102747.03924279
"47",825586.791131148
"48",496905.398214636
"49",418780.492036536
"50",672216.401068935
"51",336040.304972859
"52",377452.11237981
"53",1489110.92323352
"54",1489110.92323352
"55",537657.059935709
"56",471290.918729942
"57",160731.735828307
"58",261354.040744571
"59",931719.8262075
"60",472843.147895766
"61",990725.990279961
"62",686143.31809379
"63",361870.080670947
"64",578050.709758956
"65",476220.435276035
"66",179864.322784899
"67",153232.131166754
"68",974523.045768127
"69",579099.195578899
"70",492672.846393771
"71",825574.729451111
"72",933827.956811722
"73",391739.396548022
"74",486561.06281356
"75",436971.552570222
"76",903758.671031071
"77",392900.878840748
"78",666549.105821941
"79",342913.08568841
"80",1303348.83845595
"81",661608.737987181
"82",434517.886259479
"83",292693.775036898
"84",600864.744362248
"85",480003.001345472
"86",658816.168858834
"87",476422.432554675
"88",445572.684754062
"89",1132840.65352577
"90",1310418.91997869
"91",756258.263940318
"92",200670.850937841
"93",112368.545229174
"94",306832.430009367
"95",170317.724259723
"96",402663.345468489
"97",293787.560416879
"98",375201.737251535
"99",255534.394840261
"100",274969.873545287
"101",995331.737935396
"102",456543.501647122
"103",305026.242460022
"104",731608.087243285
"105",535174.180166941
"106",999149.502694201
"107",172812.304439971
"108",334414.182912309
"109",1441667.95919154
"110",187521.019987643
"111",1712514.25894185
"112",184370.235766398
"113",250717.32771118
"114",319533.326659806
"115",2624368.73192672
"116",341328.052500881
"117",1427726.33249108
"118",131394.929656014
"119",422594.071610058
"120",700213.693229789
"121",255277.657722512
"122",279990.793831531
"123",248856.202305704
"124",804072.130279984
"125",261135.64902184
"126",375219.031083664
"127",787951.030411104
"128",1101154.31669695
"129",434853.006677894
"130",598386.821244976
"131",512210.984665221
"132",591372.606600268
"133",380157.942776121
"134",280056.160592554
"135",698401.89891031
"136",433922.028304305
"137",1042135.75199967
"138",238627.87783044
"139",495604.519669158
"140",319777.214746948
"141",539637.33054335
"142",951741.102959618
"143",478148.32570722
"144",379208.484198086
"145",747184.981581111
"146",658456.409393214
"147",196857.661143918
"148",275051.868153989
"149",597707.4018436
"150",259687.578086738
"151",206736.70357326
"152",312564.412929205
"153",275235.690081848
"154",1194319.53551804
"155",485124.440470697
"156",398714.519378554
"157",537544.175965318
"158",484141.721820761
"159",609299.459695421
"160",808386.415999692
"161",1292202.67981477
"162",764330.120213481
"163",278693.966473622
"164",1162827.13346281
"165",411645.680347037
"166",585637.045766363
"167",300979.765335103
"168",435650.407969065
"169",260738.180820424
"170",209093.859156493
"171",445243.965217512
"172",655815.875203943
"173",301824.452830417
"174",304649.87225895
"175",357068.806812013
"176",261791.793606874
"177",416161.871675137
"178",302285.288048191
"179",475700.082598066
"180",166520.773166722
"181",611525.743605264
"182",227578.404111441
"183",962303.704026088
"184",775361.125774994
"185",866395.580810774
"186",1254130.07308819
"187",299984.711844893
"188",450329.645618187
"189",236576.373457838
"190",494068.010035833
"191",186227.410636228
"192",540122.798391383
"193",221375.137426211
"194",271108.123507965
"195",288882.432464544
"196",389704.848591335
"197",212674.793183997
"198",262224.467204742
"199",480744.938582473
"200",166278.947242608
"201",349450.300968667
"202",186039.254843269
"203",164024.79629788
"204",254716.607938318
"205",574962.538672641
"206",285533.411572056
"207",408202.694316596
"208",189487.497001154
"209",503525.775389591
"210",232914.497708458
"211",130737.219025796
"212",611458.344921954
"213",422297.495644126
"214",548228.40239349
"215",865568.052136598
"216",286357.106057351
"217",744910.195765296
"218",257977.48018603
"219",322148.881283134
"220",325830.164362552
"221",261299.625929317
"222",572517.749935281
"223",245983.599644411
"224",185883.388080873
"225",339261.515358672
"226",126876.586745407
"227",914025.784152791
"228",562253.297388146
"229",478661.98336821
"230",694819.78218032
"231",365925.929163834
"232",377488.925213085
"233",457053.667856112
"234",458288.962365095
"235",111570.461637741
"236",547354.473006528
"237",503275.273702579
"238",488747.172167394
"239",434185.933058333
"240",874320.012775196
"241",338779.395370044
"242",430237.585421577
"243",549017.590029221
"244",327603.307404442
"245",726735.79305982
"246",674191.298033549
"247",309046.737740351
"248",246172.555576177
"249",427301.239696009
"250",897517.00522208
"251",618494.717157155
"252",410794.743365271
"253",447976.744748624
"254",345980.721124304
"255",258284.785697671
"256",386497.405023474
"257",151878.43420242
"258",518849.742412884
"259",411628.253205763
"260",371951.444848869
"261",1051401.44217138
"262",617198.257138757
"263",280267.716848213
"264",576254.297579484
"265",670004.794161627
"266",540280.066709038
"267",471514.916497581
"268",571885.993251164
"269",418222.495208956
"270",485200.412556002
"271",793188.213657664
"272",348245.337713135
"273",165461.604205618
"274",1056064.0252311
"275",662764.700754272
"276",475899.058120834
"277",374578.40099041
"278",242753.674690679
"279",706992.330861222
"280",357053.201568453
"281",1054208.22053484
"282",286513.46759527
"283",683537.145896815
"284",336477.074621964
"285",597402.175363472
"286",590550.354838789
"287",584554.414008444
"288",1425991.5446932
"289",216490.996951608
"290",597556.588253608
"291",210775.410768891
"292",349800.11931463
"293",473775.645574296
"294",1299304.81277511
"295",685563.973219639
"296",258081.358692143
"297",768180.781142291
"298",143651.940188235
"299",587563.551068811
"300",1064569.38586916
"301",293660.612348134
"302",363252.038051937
"303",781372.917838236
"304",813226.80963196
"305",453217.183721511
"306",1232433.837476
"307",404023.36268097
"308",365185.193238303
"309",459984.023370929
"310",563443.49770798
"311",429660.480136894
"312",791279.162458828
"313",110088.043775797
"314",595816.383965867
"315",864813.407174749
"316",1508210.94468506
"317",396740.696478643
"318",259428.045367341
"319",1111373.76689942
"320",426961.624587145
"321",738271.918069383
"322",529370.863185156
"323",292381.297992952
"324",330543.170688538
"325",521724.36117851
"326",286318.96741242
"327",512405.678129394
"328",507532.737550162
"329",295687.001877176
"330",997303.453703331
"331",400719.391034422
"332",461402.820059525
"333",1190710.09965571
"334",394380.18561038
"335",476779.813524468
"336",235828.893439917
"337",821655.025462335
"338",605974.885213982
"339",336138.791163653
"340",647036.816751998
"341",188651.874657907
"342",349198.673865115
"343",295036.925418574
"344",214437.371535428
"345",293550.063956229
"346",334442.110222697
"347",233880.968691282
"348",356174.904856352
"349",472636.805995055
"350",485994.972442191
"351",293124.554954534
"352",418537.404358651
"353",311001.488562398
"354",643982.772795469
"355",330319.115505097
"356",442954.045138102
"357",455028.373917624
"358",369396.996997405
"359",324658.029303361
"360",362560.094479481
"361",428770.958971083
"362",1022196.87434003
"363",1459457.51450758
"364",414360.540478431
"365",147495.221898494
"366",870878.406644348
"367",383469.891951675
"368",307681.695294917
"369",617052.142151993
"370",524655.404237349
"371",308766.970597075
"372",402538.237171916
"373",514555.445792075
"374",656739.834390029
"375",457397.033771167
"376",1670971.07722327
"377",182030.558960123
"378",625862.822952777
"379",482979.42693926
"380",456083.146655902
"381",546340.606177762
