"","s1"
"1",393226.619087158
"2",832205.194019973
"3",304435.510847876
"4",495383.465461254
"5",453756.318827141
"6",526135.706215502
"7",700918.227697922
"8",361970.860386048
"9",237612.347119262
"10",694892.501452111
"11",323128.106375829
"12",289909.55347281
"13",258434.145363377
"14",315212.101079286
"15",507832.008333229
"16",711440.447238229
"17",736471.968435224
"18",421174.409441361
"19",655295.947023273
"20",337245.185526521
"21",819934.867011029
"22",188129.090834164
"23",355874.886184465
"24",370215.128244491
"25",712112.511239471
"26",317772.717162743
"27",1105243.94254872
"28",424166.675324782
"29",250715.271976361
"30",334649.614999323
"31",217303.966446805
"32",904252.770329333
"33",603310.134017614
"34",202613.655116064
"35",279146.16288875
"36",445871.659991268
"37",212836.95243673
"38",1124017.8211796
"39",1593919.82912902
"40",283641.213021305
"41",685318.929652851
"42",1056849.50835646
"43",239761.743307879
"44",409087.911221425
"45",185689.026608805
"46",1102895.37346998
"47",834667.623394894
"48",562505.410133433
"49",408364.068507417
"50",676703.187844343
"51",341786.893842281
"52",414619.453317533
"53",1408428.40596195
"54",1417988.61779946
"55",500328.71757352
"56",442731.852375607
"57",143603.351901348
"58",287564.612475399
"59",853619.545115449
"60",441864.842481948
"61",980144.526593543
"62",703584.237053789
"63",392065.105967873
"64",588168.128812145
"65",512344.023299866
"66",220050.505729219
"67",203300.859245812
"68",909688.523691898
"69",594366.043822711
"70",472470.673257109
"71",795050.488140104
"72",947055.112800978
"73",395907.873707049
"74",558779.137326971
"75",452722.70758127
"76",877835.099702965
"77",422782.11835219
"78",611102.47283341
"79",389938.336802589
"80",1288524.29601754
"81",616504.424692815
"82",421404.066462421
"83",285294.451486167
"84",530698.773307547
"85",551866.67665037
"86",649888.946937717
"87",552336.447700495
"88",411907.47251264
"89",1139588.29487699
"90",1281459.21271887
"91",747697.756617472
"92",241433.109122318
"93",148095.390566441
"94",359282.629641522
"95",236304.972995882
"96",458657.640194389
"97",307518.521409543
"98",437600.829229015
"99",297282.157193915
"100",249880.222476182
"101",1056724.5484467
"102",417993.270602681
"103",378639.324046423
"104",648265.133538097
"105",494212.472138977
"106",947414.823232773
"107",230707.205480877
"108",345735.487788337
"109",1446998.04887989
"110",273065.988497377
"111",1714959.0801195
"112",137149.469010129
"113",297850.159419036
"114",369080.075818786
"115",2575617.73896635
"116",393331.67045077
"117",1441379.94833888
"118",182693.210766985
"119",435704.766186527
"120",604120.464094039
"121",338758.222393409
"122",267219.313651233
"123",273824.128022286
"124",784032.311838776
"125",207060.763493152
"126",335396.254556062
"127",816258.283236738
"128",1063354.54453547
"129",443602.45777898
"130",651200.489679266
"131",476730.431024311
"132",611597.678221172
"133",338733.725902475
"134",274671.09292818
"135",751655.541374625
"136",494125.119841489
"137",1017136.45566451
"138",230535.768054328
"139",451436.173093087
"140",348885.207017711
"141",500816.445333943
"142",896485.566775468
"143",455915.322493878
"144",415440.697662111
"145",727251.317975856
"146",686485.584130721
"147",218594.888532585
"148",332591.027980604
"149",616206.621051491
"150",262463.228717912
"151",242041.832787532
"152",257806.409645873
"153",279783.508956707
"154",1215866.03384322
"155",580817.682258848
"156",405842.583966577
"157",506480.235226424
"158",458626.969776736
"159",576523.391269007
"160",816377.779647559
"161",1270515.30011249
"162",704574.231313977
"163",350848.325956011
"164",1120553.95882194
"165",390872.993574225
"166",525109.401364491
"167",305908.564569936
"168",409007.512037602
"169",265048.430320246
"170",253560.212248906
"171",468138.712050449
"172",710712.986569642
"173",329365.706800315
"174",340329.840832232
"175",312819.739550798
"176",294175.334077534
"177",404531.517302485
"178",316462.002497888
"179",501572.416024915
"180",186890.377595387
"181",561443.357383651
"182",233694.157376171
"183",957532.762123061
"184",765293.448061047
"185",836147.066238215
"186",1231132.48089145
"187",334263.402208819
"188",511402.534485673
"189",252235.556706011
"190",416828.054619605
"191",188784.366895156
"192",514234.039412503
"193",196041.725937376
"194",319353.871076985
"195",294165.851412046
"196",372098.595812095
"197",244801.62686984
"198",240624.274204086
"199",492843.287078852
"200",186676.755767921
"201",385144.491189443
"202",209395.448381147
"203",188702.797158544
