"","x"
"1",544146.921102279
"2",927567.539829952
"3",260543.228629921
"4",572789.59316815
"5",426891.86441953
"6",646810.361194021
"7",992180.377842971
"8",382961.53635659
"9",252575.244727026
"10",827908.179062685
"11",268490.562483094
"12",247912.655721242
"13",328287.868644017
"14",394771.414948211
"15",550366.039062819
"16",828534.451420411
"17",865286.056869604
"18",329256.90893421
"19",650684.731521403
"20",429044.87052581
"21",807849.708504105
"22",193236.986614365
"23",343842.364814647
"24",372890.800523234
"25",687842.798532619
"26",349878.018490177
"27",1088427.84759199
"28",262693.398816905
"29",255859.827164754
"30",360914.030769334
"31",136035.973750577
"32",620626.050276728
"33",730339.129453865
"34",228915.264206865
"35",363085.586910947
"36",424663.813632145
"37",207342.98763418
"38",1066441.93787809
"39",1744677.82865197
"40",315451.562333808
"41",529000.952517611
"42",1101298.55393201
"43",289058.775679395
"44",481097.48263694
"45",260409.424535554
"46",1048818.49639781
"47",1022571.49175972
"48",758485.666711352
"49",392255.036860518
"50",783508.900675957
"51",338987.963746876
"52",481994.826618408
"53",1270782.99574563
"54",1270782.99574563
"55",549081.480514767
"56",500335.29638055
"57",129662.113879467
"58",315540.312731961
"59",663482.717865444
"60",451689.551549592
"61",683312.214930077
"62",856054.482451565
"63",538028.210342479
"64",731985.878549873
"65",542106.737542373
"66",185631.328993612
"67",162631.852413408
"68",614429.250852163
"69",582832.418774082
"70",417656.287704659
"71",835609.005085691
"72",980884.900408559
"73",395125.550383879
"74",662734.819801828
"75",551756.903815394
"76",659882.649106444
"77",490906.940040479
"78",524548.526853382
"79",432573.965951932
"80",994662.823999843
"81",607974.203526126
"82",418936.453666447
"83",243830.101989744
"84",384708.962074323
"85",795033.32997909
"86",830699.498086768
"87",655224.682082957
"88",390596.176078275
"89",744054.249926443
"90",1245550.38279702
"91",766404.107156688
"92",144096.332915011
"93",101706.974866194
"94",441016.808226864
"95",115004.152345328
"96",553762.73528161
"97",275538.061706823
"98",580803.126071935
"99",374720.329040903
"100",252795.982896403
"101",1364007.22358651
"102",383384.277876625
"103",401292.545706269
"104",489284.534220134
"105",535094.258938688
"106",798755.416525778
"107",272346.241692425
"108",430312.735043759
"109",1380400.00865537
"110",192741.915358467
"111",1775219.81739973
"112",28246.7205260014
"113",296843.895834499
"114",391200.962368849
"115",2379536.4714315
"116",472009.356170872
"117",1523155.98232973
"118",157187.337819941
"119",383002.749447621
"120",429700.208701899
"121",357804.695148113
"122",214783.030779114
"123",305273.091788565
"124",913073.664758885
"125",182960.293929928
"126",372199.132411866
"127",928331.620900866
"128",896683.992528413
"129",442175.684509854
"130",874675.614616486
"131",443488.121195436
"132",727271.610168246
"133",287984.50948071
"134",366423.174736632
"135",1019745.69498338
"136",597811.951717979
"137",1058470.96232034
"138",55018.91385225
"139",467226.099668157
"140",371839.668767792
"141",483582.818571022
"142",762682.495790424
"143",425527.663230041
"144",501170.633826589
"145",802642.390400733
"146",693809.886856064
"147",203982.564677453
"148",373679.185040295
"149",635832.138556687
"150",258160.265529387
"151",279351.597717009
"152",313089.224378358
"153",264420.509632169
"154",1286513.9242144
"155",648865.062907224
"156",335702.178119123
"157",473223.485274885
"158",459718.506714692
"159",595669.535048692
"160",852077.449771674
"161",1412679.62531929
"162",664071.80342923
"163",411102.655234302
"164",623072.104329285
"165",284013.927888245
"166",507404.481007376
"167",350480.500402426
"168",410947.47421445
"169",316658.048951638
"170",285938.419810421
"171",473709.036768325
"172",879917.983479688
"173",381702.533441067
"174",356061.874786781
"175",182741.094445204
"176",345241.046300386
"177",374837.199341808
"178",394460.252682835
"179",716086.957762102
"180",101123.875692554
"181",482258.637626193
"182",147774.661649613
"183",1150009.72652123
"184",627480.978924386
"185",676588.972889257
"186",922493.594628514
"187",418846.466751484
"188",651619.235883264
"189",240579.338330417
"190",355033.020658838
"191",179360.152596556
"192",561048.97731575
"193",133522.536682042
"194",475197.37773745
"195",308278.68093605
"196",314661.297796141
"197",277645.772302078
"198",92743.519942627
"199",538111.498356049
"200",184230.277368628
"201",344061.170489693
"202",218140.868157457
"203",192130.95848521
"204",296425.271046329
"205",536784.6555955
"206",296467.373864877
"207",323249.081782477
"208",228136.584722376
"209",549520.187485479
"210",281827.939982067
"211",172970.71967731
"212",504877.789830071
"213",413839.236692227
"214",481633.752410188
"215",616097.122776642
"216",182215.085471776
"217",543839.601947224
"218",325632.8331921
"219",368854.845728674
"220",411843.854923965
"221",330729.601240688
"222",858009.002815555
"223",343297.006146916
"224",132782.960358771
"225",348464.118264674
"226",126097.945892745
"227",917510.835670359
"228",603731.28586936
"229",519014.361045559
"230",741522.478472829
"231",417839.313686261
"232",379210.696996055
"233",476858.809030988
"234",431493.479751328
"235",-77234.8350437982
"236",400405.551971775
"237",412917.698212231
"238",736026.05262256
"239",490265.574802434
"240",792759.027820963
"241",359876.842865679
"242",493491.398475439
"243",456555.396158558
"244",363289.231663121
"245",631953.062538747
