"","s"
"1",12.3642589501243
"2",13.1696682326819
"3",12.4796282512462
"4",13.1924420948456
"8",12.2937110672053
"9",12.6452989125844
"10",12.6624546400743
"11",13.4518110202766
"12",13.0654501291418
"14",13.2785891274401
"19",12.7565766751848
"21",12.68251569371
"22",12.2163296355549
"23",12.7727204240448
"24",13.5954034548847
"28",12.569943970131
"29",13.3020021760801
"33",13.5603547412288
"34",12.2072549132463
"35",13.3396814238942
"36",13.654243290275
"38",12.3317468985916
"39",13.2565581635395
"40",12.0079717935358
"42",13.0969902319731
"43",13.9822726758545
"44",12.2991852937486
"46",13.1157442552082
"48",13.6830522881414
"50",12.7587694926289
"53",13.1813873371292
"59",12.6630891125439
"61",14.0011069642316
"64",12.8289668928259
"67",12.8925656652286
"68",12.6803132133944
"70",12.8136657540854
"72",12.8066665449928
"74",13.6772172975793
"78",12.7372350016506
"80",12.2126794860764
"81",13.2437411436721
"82",13.2437411436721
"83",13.62740172939
"84",12.1930567692945
"85",12.746655209819
"86",13.3080306076061
"87",13.8825951306654
"88",13.259149348147
"89",13.2982757850944
"90",13.9556664546659
"91",12.4757480667883
"92",12.8522950043186
"93",13.1332050139174
"95",13.5458313928017
"97",13.0555376766104
"98",12.5462486747064
"99",12.9529073870828
"101",13.2296033620265
"102",12.1969213514199
"106",12.9034561643365
"111",12.5692956396133
"112",13.4688315289083
"115",13.0806277298993
"117",13.0664189367091
"118",13.5225600831898
"119",12.4039985825976
"120",12.4346525262706
"121",13.082249527611
"122",12.617069645664
"123",13.1755599655013
"124",12.5267704624297
"130",13.1763687531915
"133",12.8413362412976
"135",13.4133808307314
"136",12.6556879819731
"138",12.8485753207874
"140",13.7110610391473
"141",12.9995259486532
"142",12.8718662698541
"146",12.4946548221488
"148",13.3905976579657
"152",12.8171385594493
"154",13.2800674247484
"155",12.293533561937
"156",13.5309594111215
"157",13.9940373107848
"158",12.4686366712978
"160",12.9395261680389
"165",13.0456604681704
"166",12.638143840254
"167",12.469942951817
"168",12.9110728476717
"169",13.1689016502562
"170",12.9781093011868
"171",12.7218975633742
"174",12.2409917756925
"176",12.3219542447507
"177",12.9507708050272
"179",13.1851375209432
"180",13.3365303853642
"181",13.0311671704303
"182",13.021515687635
"184",12.8897948966595
"189",12.7673290082533
"190",12.6849545582497
"193",12.9403876200036
"195",13.110086797589
"197",12.4565106757472
"198",13.0356726993157
"199",13.0011660517136
"202",13.2404198348902
"204",12.5269232302758
"205",13.0042790703209
"207",13.1183841675769
"208",12.8867972914249
"209",12.2866006674905
"210",12.5171828909061
"211",13.0485973759458
"212",13.1616035177147
"213",12.8082807507741
"214",12.6985509439475
"217",12.8707623087525
"219",12.5138270091774
"220",13.3720801315823
"221",13.4580582057625
"225",12.5785967536536
"226",12.9945507364593
"227",12.5662110056107
"233",12.8368973686206
"235",13.4246800063401
"237",12.8912169322911
