"","x"
"1",269225.432596683
"2",756507.866236011
"3",500233.31249302
"4",617013.573221541
"5",262288.664272901
"6",638931.63806426
"7",589545.428455348
"8",637676.526678299
"9",443990.646649152
"10",521961.34575572
"11",461281.878689421
"12",638248.673595248
"13",638870.072757558
"14",446979.026636457
"15",483412.687788918
"16",642468.770151968
"17",560256.088168379
"18",553481.585763759
"19",663230.084154603
"20",265930.18019189
"21",281601.152090735
"22",265972.455035825
"23",603613.095822831
"24",515587.833229716
"25",637678.168419811
"26",449162.132412103
"27",650198.089190691
"28",615831.519332866
"29",617759.334303388
"30",621516.870189089
"31",266075.063880328
"32",465513.462222846
"33",617262.707495994
"34",248886.445898441
"35",503856.769255376
"36",482077.842005802
"37",583621.614644501
"38",1023664.01596612
"39",642359.45039657
"40",502813.852959847
"41",572694.742734413
"42",166528.469791036
"43",267281.743891683
"44",465642.749366919
"45",244316.247964277
"46",778387.760588576
"47",638724.368198364
"48",742832.431145061
"49",639742.247935834
"50",498465.844510035
"51",616943.799207279
"52",562758.368723272
"53",821834.277166461
"54",821834.277166461
"55",243741.227999682
"56",562717.05869494
"57",504453.542295005
"58",247118.290289965
"59",520562.992422833
"60",244207.482589104
"61",521116.946937884
"62",680076.843477632
"63",443929.08134245
"64",443350.367459453
"65",638221.584860299
"66",505381.126249313
"67",167366.168397559
"68",699436.808554049
"69",243435.864078441
"70",285449.117004863
"71",663310.119053315
"72",642160.533183081
"73",760633.008275564
"74",584032.460457891
"75",446083.867077013
"76",581274.478662497
"77",641487.419163141
"78",675975.917125382
"79",626452.355609684
"80",700105.818220209
"81",603682.048966338
"82",244207.482589104
"83",638603.28976185
"84",794137.015710801
"85",403203.063695294
"86",455918.30916956
"87",583456.61962254
"88",243780.629795971
"89",506020.174132877
"90",762541.266292789
"91",638726.143185142
"92",471517.708212277
"93",265882.159252662
"94",444537.346572664
"95",444096.949412057
"96",559553.012365845
"97",638837.648362695
"98",511357.475788546
"99",483528.054141166
"100",244843.657425022
"101",886637.929700366
"102",404699.233893413
"103",501921.976883427
"104",518906.752427289
"105",361589.852017168
"106",639033.015602629
"107",423046.544958455
"108",284867.940509598
"109",578268.316708671
"110",265709.776393897
"111",1364522.86739662
"112",265646.158910305
"113",558799.453011815
"114",637927.302694265
"115",625258.809530425
"116",465919.793247077
"117",736598.061697905
"118",245490.093145391
"119",802251.155605986
"120",262452.838424106
"121",189011.704149279
"122",638134.982995539
"123",616776.34157305
"124",539185.295191142
"125",453950.271531992
"126",596142.52902813
"127",621291.130731182
"128",582826.745262138
"129",533220.95272599
"130",879581.876296234
"131",617638.255866875
"132",590594.645226394
"133",443826.472497947
"134",505315.046153453
"135",721464.726133229
"136",475934.416470572
"137",619686.328403155
"138",449682.154036045
"139",644857.360107151
"140",375596.785648287
"141",442475.319233531
"142",459611.134996501
"143",266025.401199588
"144",445381.201709856
"145",645471.925812882
"146",670036.334028176
"147",445519.518432246
"148",384558.764672864
"149",622996.045280418
"150",617918.993665435
"151",422422.683183876
"152",244576.874429315
"153",443682.820115643
"154",592021.318600364
"155",443814.980307362
"156",637293.590470614
"157",443580.21127114
"158",422097.207929113
"159",463075.476077454
"160",442266.818061501
"161",537232.720852673
"162",585130.785529451
"163",589433.366441645
"164",583667.17297146
"165",267039.587018656
"166",562462.855251103
"167",378633.042629973
"168",536895.99110071
"169",385288.929210347
"170",284784.211692484
"171",617240.954420959
"172",662474.616568529
"173",503424.991237707
"174",617148.196025528
"175",379495.777794554
"176",583148.382653653
"177",421734.38305495
"178",264730.888017338
"179",470803.563810043
"180",444109.672908775
"181",444708.908560673
"182",559576.817617769
"183",-41788.3120042096
"184",439085.677391376
"185",637473.361166183
"186",666443.382729059
"187",385597.98704999
"188",619498.759435404
"189",497305.954131773
"190",660993.078099172
"191",503296.114529011
"192",380019.903772276
"193",270247.549933198
"194",245110.44042073
"195",621173.191832846
"196",578833.480738492
"197",464064.625338463
"198",521291.104783426
"199",669544.22200994
"200",266182.597949367
"201",655939.28805547
"202",502995.265396929
"203",244806.718241001
"204",503488.608721299
"205",461702.436492738
"206",638387.811188394
"207",242797.503820367
"208",443387.306643474
"209",481884.526942759
"210",245833.21712141
"211",245791.76314823
"212",562772.323526124
"213",540126.514805536
"214",563887.066012805
"215",442595.166363911
"216",270015.243509244
"217",262083.446583895
"218",265172.106048701
"219",264835.826228844
"220",760602.636057591
"221",700254.529072315
"222",680083.277198415
"223",355147.669023472
"224",243888.16386501
"225",595368.858340577
"226",266045.512533111
"227",639230.435019453
"228",638384.117269992
"229",641102.841213944
"230",817573.691452165
"231",265783.654761939
"232",464222.642958998
"233",424719.855983583
"234",264289.669985975
"235",266069.728220414
"236",542087.993418682
"237",616881.413029821
"238",637967.114925932
"239",644757.213874916
"240",652379.963660203
"241",616555.937775057
"242",740181.429038481
"243",616885.106948223
"244",423009.605774434
"245",583394.64388046
"246",262534.925499708
"247",720336.028843696
"248",447760.495596192
"249",582617.689709883
"250",464209.919462279
"251",638911.526730738
"252",637462.689846355
"253",641889.912324124
"254",618424.239615768
"255",522158.765172544
"256",680598.506843085
"257",246766.136735631
"258",700848.972744942
"259",275766.679675206
"260",637883.796544195
"261",641417.234713501
"262",442595.166363911
"263",504538.091982876
"264",722866.36294914
"265",651420.365746411
"266",642239.60326619
"267",659420.843839033
"268",584153.682839251
"269",701443.42711715
"270",637816.485142201
"271",436438.235957933
"272",445153.820510438
"273",245270.510218155
"274",518586.612832439
"275",422554.02250484
"276",617249.983999275
"277",443744.385422344
"278",562860.977567775
"279",778577.514978483
"280",243999.80228783
"281",622707.399275855
"282",617719.522071721
"283",639956.084767778
"284",403974.682205956
"285",564827.373463831
"286",637901.855700828
"287",638762.128253141
"288",999929.364140323
"289",244068.755431336
"290",583275.617620836
"291",386770.190489593
"292",579823.589601224
"293",522491.628264112
"294",597865.126309646
"295",697942.823778085
"296",245689.975174483
"297",640051.305775477
"298",390987.419212547
"299",502071.375361024
"300",888279.822827066
"301",244617.917967116
"302",222770.858444792
"303",561416.38898202
"304",260556.493732425
"305",404166.488772754
"306",782437.382518574
"307",243807.308095542
"308",265906.785375343
"309",618900.344654262
"310",638808.507450857
"311",619166.717214592
"312",440306.855886228
"313",266181.777078611
"314",662957.965498981
"315",855152.357375459
"316",927391.841311586
"317",388126.268978545
"318",583066.29557805
"319",581249.03166906
"320",443812.107259716
"321",617336.036697691
"322",777062.054317597
"323",244125.395513501
"324",286707.234683736
"325",502973.512321894
"326",245495.428805306
"327",617317.705836648
"328",283971.54964402
"329",445860.590231374
"330",747764.055390962
"331",443466.52067143
"332",358485.596007997
"333",618559.272855134
"334",560839.316840535
"335",633329.610803654
"336",423120.423326497
"337",243797.047211092
"338",442861.949359618
"339",563126.118821971
"340",485138.424608612
"341",321218.288222381
"342",442626.092962108
"343",386254.68365481
"344",522528.157012755
"345",265746.715577918
"346",563320.665191148
"347",405495.068091379
"348",386771.832231105
"349",560090.272275663
"350",592314.13176688
"351",243222.437681875
"352",612928.243413656
"353",459661.069381652
"354",496236.597230058
"355",625169.190673171
"356",685723.579397295
"357",480716.838292314
"358",386181.492912258
"359",443005.601741923
"360",561894.546197404
"361",262801.708495416
"362",719450.586488059
"363",584353.842058456
"364",635884.432572633
"365",426494.202133756
"366",757975.30595767
"367",657858.860307406
"368",404954.935133915
"369",502728.071965843
"370",622175.064590573
"371",244844.478295778
"372",638417.362535611
"373",480429.533527706
"374",443945.49875757
"375",243961.221362297
"376",815873.668116439
"377",384186.089349629
"378",612806.344106386
"379",441856.382683489
"380",650007.913665824
"381",659502.243560966
"382",586746.259177306
"383",645458.514690673
"384",645458.514690673
"385",582409.598973231
"386",780530.49975233
"387",439020.007730895
"388",755933.256706795
"389",451352.626024554
"390",639956.905638534
"391",1265503.14154335
"392",499290.542429726
"393",639896.571637966
"394",877091.898103101
"395",385171.134256858
"396",502728.071965843
"397",499083.139318565
"398",611740.275901575
"399",586262.766302008
"400",166331.871244969
"401",699089.580224251
"402",443097.128831219
"403",643219.86689373
"404",266128.830914847
"405",617842.652685125
"406",620012.624528675
"407",502923.439205777
"408",624210.413630135
"409",553960.563849899
"410",222709.703573469
"411",285521.076441281
"412",502309.427880271
"413",616566.198659507
"414",265778.319102025
"415",681414.452374573
"416",464934.748339849
"417",263916.861417475
"418",617427.292082577
"419",638825.335301355
"420",264741.148901789
"421",556569.147167697
"422",640818.81993236
"423",244207.482589104
"424",916445.529780005
"425",634510.022950816
"426",582778.990813442
"427",617409.232925944
"428",845365.353044768
"429",700851.579302057
"430",361259.451537868
"431",770881.856854637
"432",562225.767547459
"433",523915.561835701
"434",244502.585625894
"435",618876.128966959
"436",502563.897814638
"437",500275.587336955
"438",464261.634319909
"439",618561.735467402
"440",618091.786959578
"441",853047.234321635
"442",504523.726744646
"443",441365.091536008
"444",664822.306930758
"445",265387.995057536
"446",638815.484852283
"447",584543.862938894
"448",639833.775025131
"449",618253.088063137
"450",619503.68465994
"451",896929.332769412
"452",464606.400037439
"453",451403.109576049
"454",595817.874644122
"455",449110.007119096
"456",699820.421687644
"457",384350.263500834
"458",734753.154673741
"459",499536.803656534
"460",622072.45574607
"461",790162.741148364
"462",268149.404280801
"463",523286.097910677
"464",461055.867527104
"465",465362.422003737
"466",642181.321442513
"467",502940.411001122
"468",244962.683684646
"469",265296.057532861
"470",707061.322626532
"471",679897.21672691
"472",284977.116320149
"473",311324.733007641
"474",380114.303909218
"475",483879.629732009
"476",563253.764224533
"477",544171.363397472
"478",648991.414393216
"479",464882.212611463
"480",582820.034351243
"481",264453.84413718
"482",638748.583885667
"483",557217.224629578
"484",956705.11763982
"485",265377.323737707
"486",362441.638671809
"487",444864.874004317
"488",565408.549959096
"489",618129.136578977
"490",247696.183302206
"491",563137.611012555
"492",642435.79137688
"493",263967.478214236
"494",487818.157191652
"495",623742.517299201
"496",285535.031244133
"497",639165.996665105
"498",795832.934692747
"499",868032.906898764
"500",283239.743365024
"501",266514.229734801
"502",443990.646649152
"503",799205.858618223
"504",444073.144160132
"505",529333.295669953
"506",617103.869004703
"507",265739.738176492
"508",620449.183826033
"509",758515.716105246
"510",875714.754164605
"511",617215.917862901
"512",560570.071232559
"513",677324.197342152
"514",679925.392823145
"515",581972.485295648
"516",761556.487876091
"517",761556.487876091
"518",621798.839293783
"519",466209.150188576
"520",698016.702146128
"521",260902.901191467
"522",444144.559915906
"523",638895.519750995
"524",623555.358766828
"525",442646.614731009
"526",245282.823279495
"527",243349.672649059
"528",319927.063737035
"529",736056.697434307
"530",621360.350365219
"531",443703.341884543
"532",640330.812267903
"533",998804.627259723
"534",681413.087823174
"535",402404.356449682
"536",724227.777098006
"537",465740.022551508
"538",662649.467253443
"539",464963.478816309
"540",564259.74133604
"541",503932.122108638
"542",445416.909587743
"543",584810.645934601
"544",701910.769067859
"545",595954.549625
"546",266522.438442361
"547",617410.874667456
"548",638275.351894819
"549",684759.056258967
"550",586282.467200153
"551",286506.12134851
"552",714008.495779611
"553",779149.118214788
"554",895500.196783174
"555",443005.601741923
"556",619387.94188334
"557",617760.155174145
"558",638527.359216918
"559",444882.522725572
"560",465427.270793463
"561",748962.427460518
"562",617133.830787298
"563",618335.175138739
"564",874902.092116141
"565",265709.776393897
"566",464011.268739321
"567",561523.779106212
"568",264821.183800501
"569",1114657.99165943
"570",443621.254808941
"571",620285.009674828
"572",539136.696560245
"573",517739.745916634
"574",244376.992400223
"575",557947.79960244
"576",266063.982125122
"577",463662.398668011
"578",244658.961504917
"579",855255.787090718
"580",263441.033569093
"581",662216.042280382
"582",267556.735594951
"583",618962.864076985
"584",383665.934480422
"585",853127.679655726
"586",444483.169102766
"587",266038.124696307
"588",480661.949885481
"589",284852.754400612
"590",500259.447111947
"591",224355.005758653
"592",244316.247964277
"593",642870.852877573
"594",462225.874844969
"595",486395.177736085
"596",885129.127026319
"597",618656.956475101
"598",363344.596503435
"599",441399.845297874
"600",677082.728094615
"601",580104.327399784
"602",708050.458732035
"603",640768.336380864
"604",443476.78155588
"605",403036.970612465
"606",597838.037574698
"607",266354.159937376
"608",682388.005091218
"609",283766.331955014
"610",579576.097068283
"611",889126.961447283
"612",465476.523038824
"613",643331.361371702
"614",523027.790113061
"615",627706.502180042
"616",271243.676595634
"617",756363.803418329
"618",266009.804655224
"619",617148.196025528
"620",698745.358187365
"621",678864.284125719
"622",358133.032018285
"623",242657.955791843
"624",444832.039174076
"625",642718.58656621
"626",520659.444736666
"627",292821.495723861
"628",249393.333590286
"629",469559.534179288
"630",619562.376918995
"631",244207.482589104
"632",619432.679339544
"633",497741.426067843
"634",264487.910273555
"635",443498.124195537
"636",442902.99289742
"637",444983.489828563
"638",265069.497204198
"639",248496.53228933
"640",564092.283701811
"641",268504.297637516
"642",265746.715577918
"643",222688.77136919
"644",463539.268054608
"645",443513.720739902
"646",935254.713890575
"647",265507.021317159
"648",442902.99289742
"649",559464.768759572
"650",756630.996849415
"651",224658.861183648
"652",644776.64828253
"653",504472.422322394
"654",562453.969617634
"655",379313.954922095
"656",264754.693269263
"657",503136.455166965
"658",243181.394144074
"659",616915.889601574
"660",631883.913457448
"661",444000.497098224
"662",1074621.64390648
"663",793824.778836253
"664",523323.30358523
"665",265709.776393897
"666",189750.077394322
"667",273929.155273966
"668",500203.761145803
"669",638915.22064914
"670",638064.388110521
"671",244063.8302068
"672",600317.744183799
"673",1112751.92976394
"674",482358.579804363
"675",602369.053036571
"676",640245.031273899
"677",934792.840845046
"678",245080.889073513
"679",462677.220515517
"680",501919.103835781
"681",637883.796544195
"682",501548.070254058
"683",626687.801571816
"684",241121.1524913
"685",444015.272771832
"686",581712.679701366
"687",516795.744547206
"688",267970.454455988
"689",777566.889832552
"690",562101.672118453
"691",382990.901528858
"692",959393.511318452
"693",501907.201209819
"694",757174.956970547
"695",500398.717950359
"696",815555.58069848
"697",583123.756530972
"698",402185.183957824
"699",442795.869263758
"700",937733.743573768
"701",558120.592896583
"702",726964.560198591
"703",561921.080552127
"704",247080.530235188
"705",442664.940378173
"706",262633.429990431
"707",645460.830902169
"708",641195.189173997
"709",384653.985680563
"710",779955.890223113
"711",872032.882333306
"712",379486.33778086
"713",562619.641565504
"714",447684.56505126
"715",243948.908300956
"716",776791.577403487
"717",255222.747264191
"718",538742.406621121
"719",286013.598894895
"720",705897.33310837
"721",642988.237395684
"722",647801.146583101
"723",617392.815510824
"724",562897.916751796
"725",461907.654181744
"726",444460.595156975
"727",461267.24174678
"728",266537.214115969
"729",1204741.46485577
"730",562205.51226909
"731",521301.776103255
"732",245198.273591625
"733",773830.118623017
"734",1236976.89985835
"735",895536.735959577
"736",421162.236138001
"737",644451.029082919
"738",282273.306508951
"739",624240.108922199
"740",444439.252517319
"741",244371.656740309
"742",718973.116898165
"743",697301.313282253
"744",623224.54785215
"745",467314.452661562
"746",654293.679883026
"747",583558.818031665
"748",164750.05329811
"749",780366.325601125
"750",702482.50554943
"751",442594.345493155
"752",956635.796013589
"753",836476.698008008
"754",700048.623757818
"755",639219.89694489
"756",263175.204689407
"757",501907.201209819
"758",644045.929364821
"759",638171.511744182
"760",656739.059079102
"761",796369.784167187
"762",517257.073912091
"763",383851.174081171
"764",464146.712414065
"765",265857.533129981
"766",265857.533129981
"767",386051.107707316
"768",447459.236028731
"769",245685.049949947
"770",621227.923682968
"771",243786.786326641
"772",735847.074618142
"773",799999.397460213
"774",643712.245402498
"775",245849.224101152
"776",638722.316021474
"777",381651.517645139
"778",637883.796544195
"779",402980.607720411
"780",243068.391169855
"781",880103.082059777
"782",619701.370567295
"783",562149.69305768
"784",522384.094195072
"785",578733.062801846
"786",384638.799571576
"787",617075.959398998
"788",383066.83207379
"789",264416.361272516
"790",461362.462754479
"791",618494.01363003
"792",875614.197496992
"793",587926.671324469
"794",653333.261098478
"795",759360.658603726
"796",639010.03122146
"797",462572.282304011
"798",618405.770023757
"799",224166.338730033
"800",638917.683261408
"801",443657.373122206
"802",461497.218803732
"803",481435.100203836
"804",522530.752870288
"805",635547.603586431
"806",853075.964798096
"807",815278.126382944
"808",385138.299426617
"809",438593.154937762
"810",382574.453565023
"811",697704.771258838
"812",465796.662633674
