"","x"
"1",485309.731062479
"2",784136.950066246
"3",277602.051579371
"4",473261.0396365
"5",468520.925516598
"6",612242.769635588
"7",584480.686415724
"8",470374.29307244
"9",374833.324523635
"10",691363.322844677
"11",268492.083090551
"12",434690.473856203
"13",489097.834459417
"14",308331.370816775
"15",620313.124038815
"16",490592.635810092
"17",565687.595579498
"18",622819.046960033
"19",739933.314085245
"20",482330.760005064
"21",469908.682378359
"22",185477.011741363
"23",679664.989264332
"24",360576.737789504
"25",619159.357807182
"26",413752.750377811
"27",742549.527024023
"28",590611.258181803
"29",366749.04715424
"30",389952.024851978
"31",255017.169581018
"32",499395.745542474
"33",609174.638855107
"34",260690.633736335
"35",371985.887988798
"36",425652.834113993
"37",447315.865711838
"38",1173491.54428781
"39",661243.265934616
"40",340858.234053351
"41",517960.852573425
"42",227514.693611614
"43",195466.188888058
"44",392575.287082598
"45",261081.405473746
"46",931242.33318425
"47",680140.526964866
"48",747122.403663278
"49",490713.911127798
"50",517110.345888488
"51",317734.478886008
"52",473661.977766804
"53",749379.114755601
"54",749379.114755601
"55",398418.308522366
"56",428732.216145679
"57",260453.074605837
"58",281091.973926418
"59",642584.269486077
"60",396353.598612525
"61",560650.488033153
"62",700413.527560174
"63",612233.905543469
"64",581707.190200962
"65",529167.038442679
"66",307825.3355681
"67",212047.638772376
"68",691837.691086233
"69",411553.715559937
"70",367546.149396494
"71",747081.013682291
"72",657011.191100053
"73",669370.268645607
"74",791307.067134909
"75",574817.540107965
"76",597976.340972431
"77",645380.502867743
"78",570068.035052173
"79",608855.474630609
"80",747257.615440175
"81",700605.36578007
"82",427051.412341021
"83",461265.15643505
"84",695463.910715319
"85",429295.123338513
"86",556929.072473004
"87",768720.858563885
"88",413462.915290885
"89",533482.657205313
"90",846974.307847619
"91",748114.908690818
"92",311570.465028152
"93",222779.285000086
"94",587034.829481214
"95",253928.619294457
"96",341504.06195657
"97",472465.845051259
"98",459058.923148274
"99",342553.257359967
"100",323588.678850397
"101",1085002.46415236
"102",529805.964920744
"103",391765.950373478
"104",617675.191574216
"105",400454.929960087
"106",732360.325763993
"107",289304.280178584
"108",540732.345045306
"109",686276.162098996
"110",241415.883040771
"111",2001567.95610246
"112",93585.7151392028
"113",386668.235587753
"114",556461.473549448
"115",508628.669806905
"116",390274.931961112
"117",720834.077435628
"118",217248.980286233
"119",682480.821465097
"120",425045.877715848
"121",266759.340895832
"122",435793.576831341
"123",375909.716125578
"124",462389.389978163
"125",104328.283348255
"126",454721.745328374
"127",376801.676475927
"128",603546.320374168
"129",368593.398288526
"130",975528.089148216
"131",484132.411108397
"132",446769.30422686
"133",506519.091728099
"134",284068.019671448
"135",976434.882437661
"136",640272.685344867
"137",582268.215784721
"138",245680.555543996
"139",572894.096619003
"140",534600.428216293
"141",534488.366546847
"142",599212.50366433
"143",455990.427644491
"144",383752.04850895
"145",691815.265310988
"146",758728.802013285
"147",304127.898293115
"148",552110.82167913
"149",937430.184717223
"150",337018.855247833
"151",252640.680264845
"152",311540.840899989
"153",358764.296411037
"154",736666.101330459
"155",385172.874463148
"156",488810.885981694
"157",410829.026094735
"158",493406.352265909
"159",575217.328326516
"160",489486.748104982
"161",470510.769821301
"162",622317.395601392
"163",639749.438023016
"164",628917.894202262
"165",324828.976359159
"166",513372.505112149
"167",542083.5060651
"168",450938.32478556
"169",264035.346469395
"170",359596.69454208
"171",639139.908387862
"172",900537.054963425
"173",324778.327917978
"174",460472.742808647
"175",346808.437930472
"176",463133.040457264
"177",414897.655411154
"178",491505.552836895
"179",674880.144069389
"180",265816.596362568
"181",519634.462395534
"182",300164.743669279
"183",286824.736327879
"184",529533.738944747
"185",742492.962141514
"186",814119.703651763
"187",521659.020382985
"188",655468.462505043
"189",477250.442014597
"190",755709.76502391
"191",311248.650864497
"192",397179.014488094
"193",129350.897340268
"194",450888.022019058
"195",365082.925634094
"196",417401.700753555
"197",380808.318149008
"198",232959.842048086
"199",639271.051554888
"200",186980.502647795
"201",314026.364393696
"202",321018.13890437
"203",283725.156221785
"204",358744.470469005
"205",644782.44306343
"206",486238.522982031
"207",328150.00303524
"208",280621.240389906
"209",433710.337912835
"210",104865.533485889
"211",200316.853349507
"212",589690.106465116
"213",561654.209435523
"214",486341.656070456
"215",520173.777665295
"216",260505.223016374
"217",422561.826026134
"218",356541.662798509
"219",463158.965614356
"220",703875.12522129
"221",572434.594499782
"222",471584.655548409
"223",486431.966982618
"224",230059.502046153
"225",450093.651782319
"226",199418.683062941
"227",720948.26776658
"228",447356.575477466
"229",509266.806527905
"230",733149.868699431
"231",462577.925336808
"232",451892.631208561
"233",477298.945482314
"234",469472.987902775
"235",14251.4469944239
"236",692509.579272665
"237",476336.784921184
"238",801924.349021196
"239",745142.821831174
"240",590092.084937781
"241",534901.576372333
"242",709351.127212316
"243",461238.830478363
"244",367337.674253725
"245",584175.938426957
"246",429510.148662463
"247",824080.325066224
"248",413102.092032619
"249",566674.287432685
"250",601123.231004976
"251",531763.99317231
"252",524458.821094185
"253",765549.345817573
"254",401282.203291774
"255",421352.893520214
"256",574747.588513695
"257",238170.943629265
"258",729856.903919235
"259",467417.039892711
"260",618002.586349741
"261",606310.353383847
"262",574999.748766504
"263",374612.380064651
"264",735508.903970413
"265",752840.578371987
"266",569534.177013345
"267",456881.518746473
"268",757631.843783915
"269",619980.285260513
"270",558399.001963042
"271",523436.514472328
"272",609435.096666031
"273",260337.479164593
"274",623744.805820122
"275",489611.093529798
"276",504457.602842711
"277",550668.703775153
"278",370589.84196531
"279",1005153.32084074
"280",311823.915506929
"281",657609.64580787
"282",378970.7732343
"283",593225.216499999
"284",568680.515564904
"285",457797.992001899
"286",812545.691530466
"287",642305.105814844
"288",889266.669436015
"289",297686.389389619
"290",603771.128582686
"291",314328.059425637
"292",504298.571461618
"293",559836.150927104
"294",568003.602461629
"295",789194.880990908
"296",438020.787524544
"297",640001.246892445
"298",172529.126577295
"299",566547.678030297
"300",910659.482717775
"301",479180.285685502
"302",274276.95505973
"303",569344.196093723
"304",417231.55868011
"305",594760.592850514
"306",861713.440808214
"307",335190.516063735
"308",338358.551639773
"309",385457.927378148
"310",594545.696765982
"311",356284.763221741
"312",502370.616711564
"313",250850.089239664
"314",755572.479204923
"315",782650.43339102
"316",1221486.21470304
"317",577915.538578443
"318",456912.65199782
"319",584649.849511147
"320",552256.727487251
"321",364581.340931483
"322",753608.898773663
"323",316204.199137196
"324",393904.033412568
"325",663601.621082701
"326",447598.63121862
"327",496686.719377831
"328",490556.17846217
"329",238335.973012179
"330",969597.017069027
"331",498515.100413874
"332",355923.248414308
"333",618725.996764682
"334",288896.776120394
"335",351360.620573483
"336",297902.142906606
"337",356449.490760855
"338",408235.118452214
"339",468198.422359146
"340",581168.997037418
"341",253813.827280246
"342",291998.860955417
"343",537019.613462329
"344",466262.989366703
"345",486266.795702949
"346",420425.418233171
"347",282799.057103276
"348",580535.278451875
"349",670135.821079277
"350",545462.781932205
"351",388871.675031312
"352",662281.657023318
"353",228886.610921934
"354",439661.041346289
"355",505631.373597354
"356",1049225.51030318
"357",397140.938106462
"358",351416.811364673
"359",437035.908797905
"360",391360.786347635
"361",391074.42610234
"362",906841.619569816
"363",723495.047373518
"364",657061.983014405
"365",170484.780237205
"366",832127.928556882
"367",637637.961653531
"368",424824.84496861
"369",411000.810285665
"370",676744.66974356
"371",459648.481186911
"372",687997.003550135
"373",507832.601762868
"374",536174.256062686
"375",415109.113426261
"376",885667.033154592
"377",173088.627225332
"378",597094.902286321
"379",529135.796335645
"380",600132.21220351
"381",775430.960069902
"382",587906.911316656
"383",597065.546878442
"384",597065.546878442
"385",721305.500293881
"386",920667.19651524
"387",524849.627280422
"388",826305.025611937
"389",235888.110109374
"390",648344.447069079
"391",1242433.91793963
"392",590779.413603023
"393",596552.079788871
"394",859545.121832766
"395",480875.019673899
"396",281070.926864788
"397",376483.563120663
"398",548192.352864079
"399",579674.196679659
"400",356290.86354208
"401",669112.969925798
"402",265859.409652963
"403",712132.061185747
"404",144527.74566336
"405",378007.656480223
"406",682621.159797795
"407",314757.085098676
"408",548098.735076793
"409",626615.398030594
"410",255732.353743695
"411",415768.050882906
"412",525635.979145579
"413",537899.395042002
"414",8975.36303538084
"415",640719.545671187
"416",432340.692976095
"417",503075.59010119
"418",323974.857384354
"419",487259.288469069
"420",152958.293364115
"421",626707.83389955
"422",614844.624728628
"423",300325.650832742
"424",1160217.61698479
"425",607948.37242993
"426",741778.749540344
"427",597580.907420635
"428",918421.062995054
"429",655964.939705834
"430",388045.957875751
"431",761234.995726317
"432",415787.330319673
"433",535280.683103517
"434",403837.352832325
"435",380656.223387174
"436",485728.005108848
"437",477115.607684284
"438",539735.365745001
"439",662130.641344056
"440",371510.685363412
"441",727411.701388329
"442",153785.3341434
"443",537792.679652102
"444",818815.486131251
"445",299854.276042163
"446",458595.945818856
"447",472866.558729403
"448",485708.758805692
"449",334934.770324364
"450",492501.025852643
"451",967199.82137572
"452",510081.738252014
"453",440222.064676963
"454",470687.570415109
"455",432507.989840619
"456",825909.843294561
"457",81607.2308705375
"458",657475.815999061
"459",532649.94196061
"460",405421.985532314
"461",969714.945453368
"462",285095.214784928
"463",582139.059358902
"464",597763.678781033
"465",495639.369182833
"466",810279.820366532
"467",154205.932458967
"468",299571.723594353
"469",339991.693394721
"470",685678.030978292
"471",722016.657431468
"472",339632.565073714
"473",390503.343947992
"474",466869.247986712
"475",527813.104754284
"476",676702.264309019
"477",658804.275218926
"478",432295.151707858
"479",528457.153588541
"480",715019.8494545
"481",319558.65830382
"482",461686.088029988
"483",611222.370928772
"484",1162893.69657052
"485",330934.595123336
"486",430400.273813397
"487",589049.802932359
"488",508245.778996505
"489",348085.648938119
"490",377423.86439193
"491",457201.813190714
"492",833867.272713803
"493",141756.449811995
"494",529070.826227359
"495",582038.660960838
"496",367324.406277977
"497",466987.641644582
"498",747980.194747679
"499",663694.324355535
"500",387141.149696283
"501",288914.744673535
"502",223830.976660185
"503",827106.158276796
"504",432622.861879192
"505",562979.898575239
"506",346564.194289304
"507",225769.241941452
"508",667788.803971283
"509",696952.93190895
"510",610267.965146393
"511",567073.747829229
"512",352126.997353911
"513",712291.937375985
"514",670877.451838337
"515",681102.031410046
"516",723337.17372223
"517",723337.17372223
"518",337955.581778288
"519",368991.679471031
"520",577809.9194225
"521",458934.838275395
"522",537918.889025375
"523",641381.355685391
"524",543323.326688088
"525",269713.154328667
"526",298184.783923604
"527",406858.174825445
"528",439904.436661124
"529",651216.854581803
"530",718337.505182236
"531",546132.873526506
"532",711196.898715556
"533",1072318.38732512
"534",651308.742078841
"535",602850.307956904
"536",668347.448244989
"537",655813.943142578
"538",612271.752690636
"539",653016.358236723
"540",664909.903929926
"541",779417.328955621
"542",228084.595485792
"543",522334.846298359
"544",747575.381745309
"545",488680.347760357
"546",437017.984456599
"547",575038.290576868
"548",466434.220734283
"549",987884.341750145
"550",618393.039262034
"551",262293.742903858
"552",526154.128454752
"553",840791.281273417
"554",953397.851753309
"555",489671.751886092
"556",388376.820515662
"557",365878.544229895
"558",714070.217540801
"559",286234.209558852
"560",526476.631578922
"561",496112.984223358
"562",416922.869589135
"563",295376.74048683
"564",883514.56944108
"565",241204.223650299
"566",614552.768539973
"567",621477.795345835
"568",442141.060995616
"569",1025118.43167823
"570",369578.971861929
"571",566019.302705817
"572",698498.014414407
"573",262699.640670374
"574",414370.734987035
"575",552488.645143516
"576",302782.400386833
"577",628355.116857767
"578",339141.131929636
"579",677758.629143551
"580",282094.014554471
"581",924563.749894507
"582",268843.710123293
"583",562968.528804868
"584",387207.507294282
"585",779842.264445879
"586",457282.415343292
"587",336577.870392881
"588",660113.912387744
"589",519155.53960862
"590",408966.617288098
"591",97584.9004510641
"592",104755.943630703
"593",702999.715277813
"594",557917.688382357
"595",413238.280345023
"596",1052348.38896818
"597",659750.113925137
"598",448296.223085776
"599",469529.838774994
"600",619544.954774588
"601",589341.742748491
"602",800253.696037389
"603",732355.282843105
"604",403035.585359074
"605",515728.919547193
"606",489966.166088186
"607",257260.173012212
"608",733990.772808015
"609",387245.608851217
"610",759313.95425681
"611",913295.376461722
"612",666506.393916994
"613",768162.741083048
"614",530364.6767359
"615",398510.552090786
"616",370344.92413424
"617",818632.159724303
"618",321031.342249557
"619",459835.187549323
"620",692913.093211271
"621",615467.871860072
"622",508245.637020312
"623",419077.837997556
"624",219524.957223691
"625",412558.795007944
"626",679388.583796769
"627",478870.884326138
"628",265339.353857435
"629",464557.313531414
"630",553747.80844716
"631",395504.386641331
"632",372748.073107675
"633",568247.70903524
"634",261761.665887475
"635",446232.238940589
"636",496572.390300974
"637",585911.894554444
"638",256334.49998723
"639",271679.244794443
"640",607098.18142236
"641",329681.627759382
"642",414099.193348534
"643",306160.656127043
"644",650477.29082875
"645",607734.951350912
"646",962268.276451372
"647",474174.716358043
"648",481135.928249195
"649",504550.97413896
"650",859746.028459318
"651",260168.683738485
"652",736489.423037991
"653",498506.097792149
"654",48812.5667229891
"655",475484.445345551
"656",86606.6610216796
"657",289123.473996088
"658",411514.412893496
"659",445462.386245959
"660",356305.987102836
"661",382245.73077742
"662",817850.241404638
"663",729917.824439734
"664",461283.176354162
"665",223820.677374639
"666",51322.6309711784
"667",27100.1052438542
"668",602745.911151491
"669",581807.179657929
"670",533184.266219296
"671",410306.995511167
"672",483315.73027204
"673",923063.033845618
"674",398105.660589762
"675",571170.166118033
"676",610764.46369525
"677",936586.961270601
"678",263467.52100724
"679",414677.935756318
"680",582313.390651405
"681",444085.032990582
"682",392580.291142926
"683",551284.686928838
"684",343308.631935351
"685",614282.678635783
"686",719442.482031733
"687",308898.442661315
"688",324959.472412355
"689",875946.195884824
"690",464565.062091298
"691",422036.258086398
"692",997276.503418699
"693",575808.83769127
"694",859645.794873729
"695",578731.667279355
"696",897195.82200738
"697",718931.572388649
"698",596527.312226228
"699",418531.699221425
"700",898623.742970169
"701",629840.157668754
"702",877287.631890438
"703",665413.158744402
"704",461715.520570032
"705",449997.573118053
"706",464513.666643411
"707",575269.912246972
"708",691315.827661432
"709",355472.020862423
"710",877855.448143438
"711",840644.275158294
"712",472763.930315368
"713",474028.818495721
"714",537535.169361584
"715",406528.752710514
"716",1000322.92457859
"717",112698.302615456
"718",386576.840332232
"719",389032.1666492
"720",607298.286749579
"721",629627.91132576
"722",696738.031556271
"723",462859.929382913
"724",508871.104972601
"725",605571.040282317
"726",615143.988857552
"727",665462.604066506
"728",154376.675673984
"729",1057697.10975351
"730",642940.813109435
"731",653338.591729492
"732",359080.019648142
"733",1117182.90398317
"734",1670660.12759199
"735",890174.591448024
"736",487283.360960647
"737",803070.432705969
"738",393589.741896071
"739",531991.011400357
"740",330028.256221481
"741",352451.514497548
"742",759662.325161919
"743",683646.781947494
"744",688318.980913766
"745",441697.260582186
"746",767862.602103755
"747",469469.60749428
"748",43548.1350933909
"749",899764.711775303
"750",867109.094129831
"751",444695.641638659
"752",1062909.17103923
"753",846128.562594503
"754",721480.230712742
"755",742880.606616162
"756",344630.682469606
"757",530183.32887172
"758",632847.424763486
"759",471316.098919347
"760",306602.271622129
"761",632784.988661438
"762",286486.585404456
"763",424964.946331076
"764",321400.835456192
"765",349020.699791774
"766",349020.699791774
"767",393232.287050329
"768",601180.782550506
"769",213683.166461878
"770",584060.826480836
"771",385728.312627017
"772",856682.261185206
"773",644478.539866939
"774",594219.819650173
"775",277306.166662343
"776",463964.200782724
"777",491490.716079175
"778",713142.650708824
"779",536030.237187162
"780",292921.189936042
"781",1063811.09209659
"782",665058.857555203
"783",666391.384842165
"784",484056.545177057
"785",446538.427292921
"786",592763.090325288
"787",504392.454750404
"788",509872.061879992
"789",497525.526481852
"790",541314.687669903
"791",397419.267286226
"792",790818.117606148
"793",672098.458074048
"794",539668.818870552
"795",791648.530326881
"796",614691.976146445
"797",651431.25229831
"798",368680.327680483
"799",245285.328679048
"800",679605.155657999
"801",195713.629135445
"802",621528.600466922
"803",436669.683829643
"804",670276.226728693
"805",567793.481321774
"806",764029.833205052
"807",881178.824970059
"808",518957.09944047
"809",558939.78285303
"810",402679.186300434
"811",656269.568727046
"812",519085.381586678
"813",509012.936785884
"814",541930.381208591
"815",358739.844940282
"816",596102.431051716
"817",609073.952638976
"818",573947.882961273
"819",403000.609040633
"820",954172.902068228
"821",463396.541237794
"822",931017.628186345
"823",789505.416426748
"824",645499.554363996
"825",736342.995227069
"826",400927.344377518
"827",408060.286874257
"828",542263.741110533
"829",689911.195216075
"830",477141.534356609
"831",784088.707451791
"832",216120.226227194
"833",287383.615182742
"834",305556.762413688
"835",541540.89366781
"836",401280.040889233
"837",476915.699210823
"838",786841.149761304
"839",517522.170351081
"840",626311.279481545
"841",606642.007461824
"842",744095.108682558
"843",699789.798535615
"844",453623.441131063
"845",859853.652491741
"846",560546.914026201
"847",681546.139843948
"848",319410.003134415
"849",855700.761838041
"850",426791.145173647
"851",141288.963636331
"852",520910.726374716
"853",494555.927080125
"854",290582.295483507
"855",714235.764435224
"856",318894.035136245
"857",438174.341713659
"858",650365.836535193
"859",442676.539590776
"860",677433.541389056
"861",358417.901784167
"862",47751.1644953862
"863",500474.216231681
"864",629899.065626912
"865",592187.918676816
"866",613493.850394703
"867",499269.474598266
"868",570261.341962799
"869",422432.399759255
"870",383456.643643446
"871",401413.521283388
"872",357298.490352839
"873",372385.720439389
"874",598213.088320516
"875",412516.773255065
"876",645379.608064644
"877",310738.354051255
"878",405337.97129
"879",672193.972974882
"880",879855.392931148
"881",959126.888922334
"882",392114.848486923
"883",541414.238514476
"884",872936.606169522
"885",468111.534619577
"886",562291.923401035
"887",461738.728131853
"888",477424.067229852
"889",756970.417757191
"890",496623.69261308
"891",481530.419852957
"892",528935.474223122
"893",391334.632524006
"894",614847.468210667
"895",543208.379044548
"896",423506.942539357
"897",508400.087093189
"898",591901.559576839
"899",211662.315756269
"900",413661.361170501
"901",407224.128977649
"902",483611.837089889
"903",303065.146848939
"904",359088.81693349
"905",608426.109207764
"906",389569.66177322
"907",459655.915222578
"908",515961.613866434
"909",614284.414672881
"910",433929.546322651
"911",546602.283669315
"912",540109.502300031
"913",646174.046526998
"914",403380.264312156
"915",231806.829466052
"916",545066.581774928
"917",618735.952470362
"918",678506.754267499
"919",751869.47006955
"920",511604.25885433
"921",672263.976667792
"922",470623.17766732
"923",940619.058403939
"924",1416684.75385486
"925",523312.470946178
"926",336362.624528825
"927",478338.397420399
"928",552170.024149068
"929",295354.824335247
"930",416401.683731377
"931",674552.794380352
"932",270232.458942749
"933",714693.17689462
"934",594311.990749851
"935",429612.909507804
"936",665383.546809353
"937",321144.43998982
"938",454697.131022021
"939",216296.248816088
"940",468074.858890057
"941",719483.535939291
"942",602078.092353396
"943",576798.490963988
"944",349845.314804137
"945",435513.400446221
"946",456590.095557131
"947",4894.40793705732
"948",272766.764513701
"949",306388.540300533
"950",796319.290713891
"951",714464.32221958
"952",582887.761138462
"953",302620.899914041
"954",403885.195001364
"955",679218.938443273
"956",249249.249785893
"957",549549.913553476
"958",308469.908000246
"959",759873.881038412
"960",742832.545307659
"961",482222.997755826
"962",599039.866451107
"963",145667.102131076
"964",402731.489283226
"965",496198.558811873
"966",607218.30841352
"967",338859.293236628
"968",722690.37547987
"969",478580.846942067
"970",897776.479928695
"971",571869.706309333
"972",427344.129195005
"973",482003.163420014
"974",939897.460639112
"975",766673.057832435
"976",544207.727144957
"977",943675.075879164
"978",401606.515794598
"979",383516.590449005
"980",554402.07572592
"981",649874.653298423
"982",881535.442666389
"983",439401.957800411
"984",339580.682356827
"985",450724.398957945
"986",457551.33319696
"987",651047.784447469
"988",278526.299737766
"989",379097.722068243
"990",616799.048011333
"991",398521.408906564
"992",986418.339585453
"993",1080071.5586073
"994",388515.613330826
"995",452463.474633969
"996",460901.602555066
"997",529550.608749762
"998",851911.33030308
"999",475077.866479158
"1000",654377.605216384
"1001",1024441.95736817
"1002",413259.014618665
"1003",464244.334053889
"1004",1009185.976077
"1005",212951.101023056
"1006",474724.498255193
"1007",547749.4827215
"1008",938930.462722614
"1009",665026.005052581
"1010",785620.984097488
"1011",573697.444776326
"1012",9489.82978062332
"1013",855022.160825759
"1014",445659.30178342
"1015",790385.935248747
"1016",372873.648777068
"1017",240192.908655941
"1018",297147.000648268
"1019",358178.499522045
"1020",442631.812937349
"1021",497038.157260105
"1022",650660.838226803
"1023",592630.296481386
"1024",499772.307725087
"1025",395330.600167505
"1026",166259.797028296
"1027",557423.108660839
"1028",312150.893152617
"1029",519862.005674295
"1030",412960.972138561
"1031",493983.021717899
"1032",519272.15462523
"1033",342388.085407816
"1034",847064.563095428
"1035",594161.623454109
"1036",660131.395564511
"1037",1091827.4949813
"1038",465443.052277103
"1039",164642.28266789
"1040",547097.113568842
"1041",767931.925205149
"1042",606024.006419659
"1043",97575.3393443525
"1044",650700.087522164
"1045",464332.040607728
"1046",572355.401362292
"1047",541843.633440763
"1048",299192.821186885
"1049",266165.250230499
"1050",544015.48237963
"1051",566238.964568347
"1052",655072.439565904
"1053",285703.879126512
"1054",789809.688846357
"1055",439815.978067346
"1056",564434.095027134
"1057",585234.866615109
"1058",597982.137377121
"1059",1048150.97278589
"1060",815786.574140258
"1061",476728.427842036
"1062",932931.170172714
"1063",788537.943696253
"1064",324818.779155709
"1065",495242.986934029
"1066",461606.191186801
"1067",277163.7975858
"1068",626435.707085125
"1069",594411.858975068
"1070",464700.552520953
"1071",886227.883475848
"1072",352825.054574735
"1073",498569.547027901
"1074",376688.821917005
"1075",543728.1762769
"1076",428648.714232154
"1077",447119.925836578
"1078",625039.304919735
"1079",424630.962386832
"1080",296537.965857372
"1081",721449.182861
"1082",530837.921425201
"1083",265539.443214901
"1084",701445.004435427
"1085",495679.705785513
"1086",508457.341266416
"1087",700534.654599652
"1088",587859.28289105
"1089",354531.872928068
"1090",882406.472154886
"1091",159396.315139189
"1092",518143.935301483
"1093",481964.387373351
"1094",649807.792088449
"1095",751719.431167796
"1096",562776.858009934
"1097",400294.948312007
"1098",280292.769892812
"1099",711132.366736181
"1100",260926.307134338
"1101",880081.486386076
"1102",385666.578993984
"1103",496038.874005944
"1104",667557.212095626
"1105",539230.646824054
"1106",630519.73091004
"1107",558431.934102803
"1108",530552.460095495
"1109",219118.796422094
"1110",549770.177480534
"1111",589219.7232669
"1112",767746.632065296
"1113",648048.181678571
"1114",640924.336881727
"1115",198365.457144432
"1116",635381.396982327
"1117",550026.082576402
"1118",564161.232210383
"1119",770130.255822659
"1120",402440.024877153
"1121",805231.527239174
"1122",526505.270591363
"1123",471705.868231021
"1124",594140.789996162
"1125",528486.343276575
"1126",518726.429396823
"1127",267762.903808974
"1128",538773.092135534
"1129",638128.91613996
"1130",519909.887055352
"1131",668482.475353673
"1132",606698.984006889
"1133",331236.529022545
"1134",600951.325492509
"1135",280671.836414538
"1136",271900.029231578
"1137",480317.66148144
"1138",869377.619336188
"1139",432687.211845957
"1140",631368.270445824
"1141",246074.901010834
"1142",505241.307423219
"1143",562609.511867367
"1144",504607.555441864
"1145",1031559.70205837
"1146",663445.439802766
"1147",328232.981079236
"1148",287542.729209438
"1149",629292.514708579
"1150",636896.340622872
"1151",1391259.20590623
"1152",338129.833935022
"1153",413243.064141765
"1154",593046.605933242
"1155",326966.018544346
"1156",380938.658583216
"1157",541496.549487121
"1158",288424.331311777
"1159",608829.579397179
"1160",297726.614842474
"1161",779002.549011655
"1162",412670.088409685
"1163",675983.657860488
"1164",434980.840647079
"1165",276460.573993087
"1166",756876.502761163
"1167",458870.965469234
"1168",192129.872995041
"1169",428618.99051404
"1170",569301.128404751
"1171",568243.907343514
"1172",1117046.49996588
"1173",601146.933220208
"1174",595292.858377449
"1175",628573.98796387
"1176",184489.38929639
"1177",802709.29734733
"1178",510107.883856818
"1179",341042.348706745
"1180",453764.765446782
"1181",898532.9445104
"1182",676915.819693826
"1183",388821.663152128
"1184",310399.916775204
"1185",596314.771103159
"1186",268661.95249673
"1187",363544.714252993
"1188",418098.873134807
"1189",799227.833189934
"1190",234202.349885345
"1191",423460.233449407
"1192",507634.930410936
"1193",521489.130939536
"1194",557438.244530313
"1195",389288.270098791
"1196",315581.422407962
"1197",432244.305902347
"1198",611966.17402941
"1199",426083.029668249
"1200",547068.565875046
"1201",254160.541673474
"1202",598180.128099442
"1203",320000.746574253
"1204",112751.466590524
"1205",515979.833511472
"1206",550179.253214732
"1207",753733.628238916
"1208",257929.149878912
"1209",593771.444558457
"1210",339839.356361881
"1211",813069.329545982
"1212",575587.862214595
"1213",708828.323631093
"1214",395248.426529408
"1215",736584.206902638
"1216",463419.949124582
"1217",271482.255143113
"1218",239279.603590533
"1219",361720.97705695
"1220",618391.063608132
