"","x"
"1",349303.669746727
"2",778218.179985099
"3",445819.125363723
"4",640718.869470053
"5",242069.657937033
"6",670035.563224125
"7",1175801.40443981
"8",553339.726842987
"9",303433.718875973
"10",708527.491880071
"11",470592.619638144
"12",442951.773509477
"13",468183.305699994
"14",524209.625542991
"15",412497.641646061
"16",862425.996176812
"17",824750.146137564
"18",272777.85035093
"19",670999.312382954
"20",234201.068687041
"21",635650.33313214
"22",294125.957639517
"23",429248.483335502
"24",545184.547923425
"25",688959.212367012
"26",398051.964590409
"27",1067432.19522476
"28",262245.886612307
"29",435712.670422107
"30",520869.0915651
"31",186891.945829823
"32",622913.032820983
"33",678566.167755827
"34",233269.8486473
"35",460028.126780433
"36",449635.082169248
"37",387316.023486172
"38",976590.984403901
"39",998078.010819926
"40",478951.77592332
"41",569280.882708586
"42",268134.653655786
"43",436053.326211172
"44",660760.331106757
"45",236423.790171114
"46",990463.482120414
"47",947582.417319805
"48",679547.301826195
"49",524954.253128656
"50",526228.369661449
"51",552408.506803245
"52",604006.768589634
"53",1206084.0880567
"54",1206084.0880567
"55",428814.223123801
"56",547203.292041884
"57",365409.881065996
"58",356273.568076067
"59",487751.585213053
"60",302656.56217122
"61",624931.776939441
"62",838347.04630319
"63",353896.783257006
"64",694522.467828976
"65",657419.797128866
"66",346486.231923109
"67",205055.823179495
"68",561698.883128163
"69",277425.029980703
"70",384928.246548428
"71",740386.025906874
"72",953890.300367433
"73",510165.679579951
"74",532397.333581641
"75",423283.496780926
"76",633290.933224618
"77",512338.487033397
"78",535536.130897905
"79",413635.079755405
"80",886554.860081061
"81",637408.623907262
"82",261655.322361631
"83",417720.241318961
"84",391403.425753716
"85",590883.050547653
"86",823834.070305373
"87",538705.21662927
"88",264809.263885445
"89",649264.618209305
"90",1121997.80608088
"91",668474.857021762
"92",298228.504114611
"93",196353.770401266
"94",290817.952780715
"95",297125.835828344
"96",717516.134327869
"97",427182.065890405
"98",624033.086018789
"99",477988.02676449
"100",163883.13512338
"101",1381079.04894977
"102",337007.022440127
"103",437950.536113731
"104",505081.999034489
"105",437631.417325073
"106",717344.686081343
"107",390812.861503039
"108",252462.702548218
"109",1341334.54076144
"110",275202.30849663
"111",1641747.13434726
"112",227893.185639412
"113",414737.748041673
"114",465029.364176179
"115",1613079.04126208
"116",572449.96843995
"117",1294533.36985094
"118",201730.433409154
"119",554320.860913355
"120",270455.131651364
"121",328990.762648004
"122",420874.182842776
"123",478290.880993604
