"","x"
"1",365557.81068697
"2",777292.177673696
"3",371856.97242713
"4",626040.678465728
"5",270003.200635017
"6",699781.727139175
"7",1125604.50699454
"8",585502.19179899
"9",285838.665949138
"10",671473.68190546
"11",485070.906364961
"12",475217.078558415
"13",502109.017361557
"14",484580.391620889
"15",555678.779420785
"16",872445.17284697
"17",775381.755526067
"18",266336.126870385
"19",810182.979916813
"20",266787.347575622
"21",667444.116978747
"22",315783.294611188
"23",491166.772910209
"24",562304.26032295
"25",735776.344328345
"26",340661.680587773
"27",1128923.37904965
"28",282171.352759619
"29",406361.298563023
"30",496303.023243275
"31",215135.367703708
"32",714116.957585181
"33",666742.395017265
"34",179140.750514538
"35",459919.775108027
"36",369021.202806999
"37",430808.169904001
"38",1020017.6965273
"39",1049035.69067369
"40",469680.97200063
"41",590721.792059352
"42",168660.125297773
"43",398017.816569141
"44",671410.062973327
"45",221520.68806173
"46",1060081.74552846
"47",1002141.60421656
"48",672341.514737512
"49",566435.867310271
"50",559002.474382887
"51",544652.184793547
"52",558878.304770498
"53",1241632.13037039
"54",1241632.13037039
"55",371208.992267253
"56",564701.581848156
"57",346123.686103468
"58",334330.159848601
"59",545994.185392916
"60",275467.795552812
"61",682621.790058675
"62",809723.823923158
"63",356357.727509294
"64",645654.17348823
"65",672874.848905142
"66",346509.903596628
"67",126533.054220725
"68",615108.899228037
"69",280245.244013571
"70",438927.581298148
"71",874379.297221926
"72",969027.574940191
"73",540660.613206337
"74",579622.850254872
"75",430776.80070601
"76",662750.562319755
"77",527887.121977893
"78",498616.63494513
"79",398565.563110382
"80",899768.048618648
"81",734307.023943713
"82",233860.29299194
"83",452690.839917153
"84",359906.756848365
"85",667451.594312535
"86",817744.170688994
"87",585111.725067066
"88",218758.51174105
"89",727074.692706351
"90",1127745.20365718
"91",664903.981045968
"92",331354.647281379
"93",204028.008552429
"94",301133.555946608
"95",295668.961028813
"96",673278.595231293
"97",480147.165529143
"98",571319.257621922
"99",368620.045882948
"100",150482.057985398
"101",1314218.32829607
"102",406086.38246325
"103",412068.999324273
"104",511446.105478916
"105",374767.199776829
"106",742473.185025071
"107",314007.668823884
"108",301201.081876474
"109",1282818.31040245
"110",265963.960242733
"111",1612207.11111775
"112",258925.72034552
"113",401508.498148851
"114",517938.415306093
"115",1455809.29555687
"116",598413.416657837
"117",1176804.58967685
"118",172993.35719577
"119",588458.153350619
"120",281793.358187269
"121",320772.52229797
"122",455779.476007428
"123",469158.769897491
"124",572722.200171866
"125",473354.620877486
"126",333154.757836643
"127",928518.967135235
"128",870773.135693222
"129",650814.703715696
"130",804115.75500972
"131",482864.52355715
"132",885488.699450952
"133",234430.747170374
"134",535807.551681864
"135",1030297.08731346
"136",572769.378889325
"137",859648.247708952
"138",247319.799478542
"139",600663.452008118
"140",287204.63696551
"141",423657.838865315
"142",478091.599101634
"143",294875.519242017
"144",497580.263264062
"145",786263.537666883
"146",799715.239815351
"147",324877.10093591
"148",228850.330062555
"149",601392.833014187
"150",458749.700505579
"151",330519.865169394
"152",239458.238932751
"153",370267.235922797
"154",1173622.702425
"155",561576.305387119
"156",523871.784675034
"157",544792.452379578
"158",261601.618335894
"159",554859.035556989
"160",623411.712560474
"161",1098585.62998761
"162",646238.365974245
"163",385979.374369233
"164",697428.191525062
"165",281422.080125
"166",552979.320600941
"167",281697.510416141
"168",559803.963141311
"169",487061.063073391
"170",326667.666154105
"171",375816.336860757
"172",825703.129577706
"173",523111.608120276
"174",444375.535948335
"175",250990.351210657
"176",494717.028235067
"177",311453.540680676
"178",304325.840147299
"179",617158.492314147
"180",262777.919360809
"181",440567.767195524
"182",340641.562352681
"183",798788.277669548
"184",519319.236752984
"185",592266.284449369
"186",983502.295252222
"187",316044.817853018
"188",553057.12534771
"189",283304.163535067
"190",405618.742438486
"191",328675.82488684
"192",607553.774244935
"193",333246.095258706
"194",283293.409867235
"195",519093.473345766
"196",408977.773831897
"197",480104.806478554
"198",353191.804862463
"199",794358.574379722
"200",303948.318766262
"201",440853.274670126
"202",360661.080545509
"203",158262.854007149
"204",378643.449709203
"205",453798.327969049
"206",486665.836910181
"207",190411.339550615
"208",383071.496996747
"209",468005.848149715
"210",393508.334538525
"211",212804.227168862
"212",462705.42791884
"213",431613.767293598
"214",509625.700739377
"215",544319.37888904
"216",266573.165344255
"217",394083.152193094
"218",315096.148154153
