"","x"
"1",259838.357855194
"2",761212.63014629
"3",510525.494000742
"4",635869.062073516
"5",259838.357855194
"6",635869.062073516
"7",573197.278037129
"8",635869.062073516
"9",447853.709964355
"10",510525.494000742
"11",447853.709964355
"12",635869.062073516
"13",635869.062073516
"14",447853.709964355
"15",447853.709964355
"16",635869.062073516
"17",573197.278037129
"18",573197.278037129
"19",635869.062073516
"20",259838.357855194
"21",259838.357855194
"22",259838.357855194
"23",573197.278037129
"24",510525.494000742
"25",635869.062073516
"26",447853.709964355
"27",635869.062073516
"28",635869.062073516
"29",635869.062073516
"30",635869.062073516
"31",259838.357855194
"32",447853.709964355
"33",635869.062073516
"34",259838.357855194
"35",510525.494000742
"36",510525.494000742
"37",573197.278037129
"38",1011899.76629184
"39",635869.062073516
"40",510525.494000742
"41",573197.278037129
"42",197166.573818808
"43",259838.357855194
"44",447853.709964355
"45",259838.357855194
"46",761212.63014629
"47",635869.062073516
"48",761212.63014629
"49",635869.062073516
"50",510525.494000742
"51",635869.062073516
"52",573197.278037129
"53",823884.414182677
"54",823884.414182677
"55",259838.357855194
"56",573197.278037129
"57",510525.494000742
"58",259838.357855194
"59",510525.494000742
"60",259838.357855194
"61",510525.494000742
"62",698540.846109903
"63",447853.709964355
"64",447853.709964355
"65",635869.062073516
"66",510525.494000742
"67",197166.573818808
"68",698540.846109903
"69",259838.357855194
"70",259838.357855194
"71",635869.062073516
"72",635869.062073516
"73",761212.63014629
"74",573197.278037129
"75",447853.709964355
"76",573197.278037129
"77",635869.062073516
"78",698540.846109903
"79",635869.062073516
"80",698540.846109903
"81",573197.278037129
"82",259838.357855194
"83",635869.062073516
"84",823884.414182677
"85",385181.925927968
"86",447853.709964355
"87",573197.278037129
"88",259838.357855194
"89",510525.494000742
"90",761212.63014629
"91",635869.062073516
"92",385181.925927968
"93",259838.357855194
"94",447853.709964355
"95",447853.709964355
"96",573197.278037129
"97",635869.062073516
"98",510525.494000742
"99",510525.494000742
"100",259838.357855194
"101",823884.414182677
"102",385181.925927968
