"","x"
"1",366192.054669333
"2",783351.175236235
"3",374410.076887432
"4",634555.951079955
"5",273817.161909096
"6",704279.704663451
"7",1120131.30003513
"8",592453.384629142
"9",284890.691167845
"10",676592.154689603
"11",457128.303478134
"12",478190.830874072
"13",504975.48775014
"14",483326.140731055
"15",561060.181915349
"16",880211.272487874
"17",780726.239885702
"18",268828.536662438
"19",814326.219368777
"20",268095.72448495
"21",680014.901431762
"22",318152.473989949
"23",486777.627930616
"24",544016.479682987
"25",746513.833693067
"26",341118.918190882
"27",1122267.43066633
"28",283129.343761044
"29",407883.717862841
"30",497057.544228255
"31",215585.723739004
"32",719010.743125382
"33",675844.820034754
"34",174026.644235261
"35",460042.153033126
"36",371337.035822334
"37",428705.758483729
"38",1011259.48038592
"39",1049691.65893936
"40",471249.274169812
"41",575616.299488753
"42",164352.561935382
"43",401951.976771057
"44",673456.159814493
"45",221883.322931383
"46",1069535.38531638
"47",1017012.3120983
"48",671363.851415515
"49",569241.165349279
"50",564774.941989147
"51",550873.333122419
"52",557271.943943611
"53",1250926.12084319
"54",1250926.12084319
"55",376809.935177147
"56",563041.462122103
"57",345386.462876757
"58",337054.676460732
"59",552994.374948741
"60",279614.019216533
"61",690058.034788079
"62",812392.736605027
"63",357873.728410499
"64",647947.02729104
"65",680790.865778364
"66",344227.885606761
"67",118017.423252577
"68",618381.560079934
"69",285349.990886352
"70",442498.248713205
"71",879854.178669043
"72",973110.235820792
"73",539967.203833543
"74",581093.349274238
"75",428693.076131519
"76",668568.168521832
"77",528004.54997594
"78",503908.98691871
"79",384995.135605257
"80",907934.533122142
"81",737398.406506657
"82",237350.507263918
"83",454666.405855889
"84",360877.630628227
"85",677990.856121434
"86",817218.0930566
"87",586208.047139302
"88",221976.032943905
"89",729900.352843293
"90",1133862.84704306
"91",671292.225937062
"92",191745.191681141
"93",203951.194210081
"94",300017.455583703
"95",295524.528137642
"96",680393.896078334
"97",482848.122184834
"98",570382.630855499
"99",365676.880726209
"100",150715.230730792
"101",1211689.40593354
"102",407335.97304104
"103",416048.434099846
"104",516030.785370309
"105",378901.216311153
"106",749256.441573832
"107",311759.6521275
"108",308306.754029551
"109",1296903.13304306
"110",267507.38408913
"111",1474122.22331894
"112",260905.350023145
"113",402849.324579354
"114",523098.379242122
"115",1412245.93985449
"116",603696.173259527
"117",1189954.87639443
"118",172038.541953102
"119",548179.754114754
"120",286860.754457809
"121",311464.683043807
"122",458604.125271302
"123",474382.6642328
"124",577561.033057633
"125",452689.380195958
"126",335724.915688234
"127",939942.872016294
"128",877565.69384717
"129",641515.680689453
"130",799522.898965382
"131",486889.205678612
"132",878127.703234881
"133",232886.011835823
"134",538177.545072922
"135",1037111.40417395
"136",556671.469071654
"137",869224.750635833
"138",240630.059068456
"139",600394.002596128
"140",292287.702957765
"141",425889.259159696
