"","x"
"1",352257.644577712
"2",644168.270491444
"3",364805.372133216
"4",584952.968659128
"5",303204.835559677
"6",605320.030952984
"7",933667.201602496
"8",508569.476483311
"9",318226.119469487
"10",523061.279496032
"11",409493.508648652
"12",424397.640513723
"13",443396.116076585
"14",435850.12955682
"15",442785.895840946
"16",741194.143273414
"17",709716.483548557
"18",319648.146415753
"19",626081.423117101
"20",298595.532328298
"21",523620.713006007
"22",326070.196007078
"23",362581.967466437
"24",466378.031608189
"25",651017.014641498
"26",343220.119002837
"27",1044576.1736844
"28",328981.972619024
"29",404994.686610272
"30",468915.9170176
"31",275410.379596223
"32",573220.25107628
"33",624868.984674334
"34",272706.469885179
"35",420978.517773625
"36",397662.578046996
"37",371695.236117764
"38",960524.132406911
"39",899722.516380811
"40",421284.283696946
"41",506651.033324417
"42",283912.012805504
"43",364682.864346815
"44",507260.572905585
"45",299510.849107652
"46",908934.365169588
"47",982207.109589793
"48",611880.04829524
"49",493002.079073045
"50",493074.808866844
"51",514348.451403089
"52",464887.550677898
"53",1265631.78618685
"54",1265631.78618685
"55",372213.738842756
"56",523789.24522963
"57",356870.783641893
"58",354592.051815838
"59",469413.950281259
"60",328159.491150226
"61",581992.173467448
"62",718370.012993169
"63",361798.737741736
"64",513547.62652149
"65",578903.869082582
"66",359278.740626206
"67",264642.863577542
"68",544225.050156335
"69",330073.641423696
"70",369190.274259081
"71",682794.445900976
"72",900801.544952216
"73",458346.170708923
"74",458049.758528492
"75",391706.083205327
"76",563625.419640139
"77",456351.730610689
"78",478055.687183046
"79",394475.795096145
"80",829363.732561708
"81",537690.04971149
"82",305610.937417086
"83",409234.125779669
"84",387079.071543686
"85",559078.922648788
"86",672977.420013942
"87",467604.694795892
"88",295744.690107064
"89",662339.776123858
"90",1166121.6506705
"91",536772.206998669
"92",287517.157713853
"93",268002.596461283
"94",330072.284214471
"95",325945.100036614
"96",609720.230096542
"97",431712.125350318
"98",491929.504237927
"99",389245.201613514
"100",265412.998040781
"101",1265699.20653151
"102",345835.0026939
"103",398885.678466277
"104",418867.988841782
"105",384164.012791232
"106",646842.164943211
"107",356087.814257887
"108",295290.623762769
"109",1203585.62169143
"110",296054.897194319
"111",1632621.72372853
"112",297442.690811302
"113",398408.202263807
"114",460228.237252163
"115",1651733.12149698
"116",491844.733973542
"117",1219418.13398782
"118",273896.293027276
"119",466631.438669642
"120",307726.651376062
"121",337654.615166919
"122",411728.048875405
"123",454714.483322843
"124",539560.420703297
"125",423623.37646376
"126",385772.840815482
"127",917838.409036701
"128",771361.026508337
"129",539055.633864692
"130",687012.422159813
"131",462044.314216161
"132",773502.48592122
"133",292795.565548748
"134",487444.795333775
"135",818983.563459323
"136",459913.097751557
"137",821963.647007862
"138",296096.50839666
"139",493041.792847889
"140",317267.217403511
"141",388281.647819244
"142",416892.899498606
"143",313283.281629415
"144",443777.570259546
"145",678134.725227939
"146",606912.767252997
"147",335787.602827924
"148",287637.835528588
"149",424406.474809459
"150",452203.493985041
"151",365982.201202388
"152",304593.244005242
"153",360147.239409197
"154",1169258.45400416
"155",490553.361602454
"156",453456.598119384
"157",475481.971385233
"158",323467.210762961
"159",448291.372063156
"160",527137.089032388
"161",1140508.26317436
"162",554061.704667968
"163",322617.91496925
"164",552082.860310511
"165",304832.225321624
"166",477580.363439
"167",309510.122264968
"168",455510.431139399
"169",408484.022038843
"170",309385.619596367
"171",382313.433916826
"172",693481.145798883
"173",483792.536398992
"174",439119.584055019
"175",297465.578663119
"176",435717.950522689
"177",355558.403480994
"178",305271.97241237
"179",471773.007441095
"180",307976.250089723
"181",404269.22182661
"182",359709.200037643
"183",787648.292977079
"184",443259.950697152
"185",488783.058595498
"186",854696.381096594
"187",331633.338751992
"188",529831.420061884
"189",318846.6510443
"190",352608.811296438
"191",345929.5000439
"192",499666.983603562
"193",336173.402377807
"194",333060.262266128
"195",461172.269204189
"196",381878.664654032
"197",397025.833983263
"198",337474.24546018
"199",581430.374049041
"200",316678.808463562
"201",466397.944402439
"202",366566.975051446
"203",266236.939331726
"204",376734.655252593
"205",376598.234976613
"206",432941.309569061
"207",281191.249733981
"208",379554.39875141
"209",462309.128855496
"210",384896.710217583
"211",293683.474717612
"212",423112.411272981
"213",342086.976622064
"214",478005.897667506
"215",473644.29852913
"216",301889.882407709
"217",372640.903595564
"218",323568.214078435
"219",289764.253071743
"220",423188.350955572
"221",406557.996733301
"222",796200.67063542
"223",294942.320250019
"224",252401.967063
"225",385473.770505081
"226",301177.462845598
"227",766571.853823298
"228",716809.620775815
"229",572043.592108332
"230",688730.07984992
"231",310980.973598843
"232",413629.69457363
"233",440928.989418579
"234",319121.404062259
"235",287754.069871362
"236",335652.52205433
"237",445581.82831375
"238",539779.003259795
"239",400842.223047815
"240",759745.18091822
"241",388487.294081245
"242",417048.893160893
"243",507933.991793989
"244",356660.629677794
"245",620596.367372805
"246",331524.035117732
"247",341812.350013541
"248",301740.710971782
"249",383340.998733627
"250",617132.333423501
"251",966817.428239258
"252",551315.769018416
"253",481790.275595186
"254",557443.551408853
"255",378785.97896094
"256",481862.250525412
"257",303678.93660661
"258",510644.30195072
"259",477610.859160443
"260",405119.824496691
