"","s=0.01"
"1",359555.453346077
"2",623758.042257122
"3",360877.153091307
"4",560804.841466984
"5",315958.044685415
"6",597834.213534289
"7",907728.04785186
"8",507758.441843717
"9",326074.65631516
"10",512856.059043781
"11",414466.226975837
"12",431433.681893509
"13",449146.742830935
"14",428914.93375004
"15",468170.566805398
"16",717758.475765542
"17",670076.284452444
"18",327550.526400639
"19",637487.724877269
"20",312336.392834272
"21",520692.298202535
"22",336369.230262887
"23",380096.30139273
"24",462153.313850043
"25",639786.220233402
"26",343957.506769676
"27",1020606.97086989
"28",338237.483439253
"29",401520.337392165
"30",459004.612144286
"31",291493.293328842
"32",571950.096921818
"33",596422.77165757
"34",279876.307255553
"35",417764.652457619
"36",384641.661579752
"37",382722.651291058
"38",965312.878664528
"39",871440.365627619
"40",415737.197575846
"41",498808.421868692
"42",283211.664480779
"43",364299.021780904
"44",502053.533581196
"45",306801.433038551
"46",905017.547714166
"47",950309.254882122
"48",584900.96231586
"49",495797.974666828
"50",482419.60748552
"51",499813.253226146
"52",448681.087957395
"53",1217128.82210214
"54",1217128.82210214
"55",362825.130002689
"56",514022.497025184
"57",360568.322261385
"58",352327.434291557
"59",475264.658592631
"60",329832.436430355
"61",579185.907651927
"62",674423.374150221
"63",366877.924425085
"64",490385.029818872
"65",570413.998186234
"66",365243.197147339
"67",269538.662466848
"68",544191.692526584
"69",333823.819542624
"70",382916.050584106
"71",690771.786266788
"72",875804.002682655
"73",459880.889245111
"74",459500.315923771
"75",392343.445789751
"76",559013.815163982
"77",459740.047640573
"78",464263.997847978
"79",397319.332678485
"80",803668.279731198
"81",548753.532668258
"82",310191.259448548
"83",418037.904038747
"84",384809.481199796
"85",559927.354085724
"86",638413.749858585
"87",469189.375793043
"88",299622.03385473
"89",641953.356558949
"90",1128499.63896819
"91",526613.735855585
"92",327702.390472573
"93",282712.314633773
"94",339825.196868689
"95",334614.968290185
"96",580141.228658596
"97",440680.543780418
"98",475550.586510941
"99",374920.410230746
"100",276913.049744788
"101",1337651.03711071
"102",360622.898135718
"103",396228.84730096
"104",421298.292273429
"105",372834.211856965
"106",635030.84671066
"107",350129.240152982
"108",312855.967029104
"109",1167472.7322551
"110",306124.677626216
"111",1981806.62232934
"112",311564.330544908
"113",397555.815538805
"114",466274.383190498
"115",1650911.50896921
"116",492915.792091426
"117",1126494.15892472
"118",282949.539297552
"119",478927.414722575
"120",318030.45365058
"121",341205.178560142
"122",420115.195468127
"123",447091.187899619
"124",502819.505772604
"125",426650.773291005
"126",373984.68360041
"127",855699.900906016
"128",752277.572050827
"129",543867.624913424
"130",665766.767816996
"131",452682.300751942
"132",761594.824211373
"133",304218.920627343
"134",476305.125987599
"135",816212.048206532
"136",475252.617142248
"137",768467.834896995
"138",307097.792525904
"139",493714.590889892
"140",324510.530859072
"141",389964.014744312
"142",428372.982312517
"143",323650.586852447
"144",439733.325299358
"145",671687.501475158
"146",621283.129677967
"147",339903.374361355
"148",300894.705386318
"149",449334.05882194
"150",449564.96505451
"151",355442.769800174
"152",306336.178646973
"153",363667.125190366
"154",1146145.15484174
"155",482196.851837579
"156",453783.78069022
"157",468120.185155065
"158",320556.826164716
"159",455339.635306102
"160",512746.202798068
"161",1016249.40529993
"162",552430.977494565
"163",364381.739968751
"164",547899.081913583
"165",315530.533318082
"166",466221.727006784
"167",316741.911788939
"168",473936.56979094
"169",401461.21297928
"170",329489.091608325
"171",379367.013101197
"172",704596.059414124
"173",474499.636275363
"174",435344.820698189
"175",306799.295397414
"176",444370.69476268
"177",347719.721529295
"178",311664.395729084
"179",476636.371058731
"180",317978.700154498
"181",404137.88379047
"182",363290.531347254
"183",665801.572760542
"184",431567.401014023
"185",488818.060492957
"186",867706.591797786
"187",338760.926426893
"188",519419.997472078
"189",325664.314739495
"190",376448.275971923
"191",350305.978909259
"192",479457.220117516
"193",348302.71516867
"194",335738.519206902
"195",447766.121946825
"196",395399.186207866
"197",408322.618223362
"198",351648.559774209
"199",591632.077057905
"200",325702.079110106
"201",441520.783878759
"202",369113.751215369
"203",274877.17221939
"204",377780.83585766
"205",387617.523986758
"206",439406.036622263
"207",286723.230516378
"208",382985.039682303
"209",435804.432267604
"210",372408.999109025
"211",302882.618061266
"212",417776.107292631
"213",383360.578399968
"214",469154.390188258
"215",465472.711035619
"216",317590.068284881
"217",376413.059508094
"218",335016.298511868
"219",302920.878768122
"220",425882.48738577
"221",415112.286807565
"222",738153.039858979
"223",296221.657786635
"224",260497.563656721
"225",374207.605767015
"226",309881.988273283
"227",744295.595047673
"228",698477.925530755
"229",565616.789951102
"230",666078.224922265
"231",317740.189719143
"232",419691.426700681
"233",453352.709301089
"234",331593.176256021
"235",301907.873745692
"236",358808.581094558
"237",436399.8819698
"238",535366.186491036
"239",407583.002012891
"240",748491.500176273
"241",386867.929471088
"242",417167.457090189
"243",494095.987902176
"244",351230.146466284
"245",616114.86715869
"246",340653.395853081
