"","x"
"1",387455.636860709
"2",838001.958249545
"3",289611.04267668
"4",569032.955343498
"5",530029.082603744
"6",475705.985638027
"7",642559.943879548
"8",351668.778634707
"9",223629.006836767
"10",645517.538797246
"11",316045.180764833
"12",267304.036355686
"13",218619.169233983
"14",305808.779505872
"15",494889.285008861
"16",670379.628199193
"17",758901.615270404
"18",457327.462323573
"19",650263.155004715
"20",335467.498881623
"21",843993.918600893
"22",201531.814882347
"23",298761.100732305
"24",413153.43373734
"25",745930.649822035
"26",285714.927777816
"27",1119067.72602743
"28",475171.151071412
"29",199125.960338814
"30",293708.400225108
"31",201510.783253113
"32",938656.619760922
"33",608028.713275603
"34",154390.601581894
"35",220800.029607504
"36",460279.98058756
"37",188459.974276917
"38",1190057.66899994
"39",1617767.30124959
"40",245661.158828509
"41",655955.117455939
"42",1037562.28221987
"43",238159.357860937
"44",355522.517660204
"45",157144.708664401
"46",1241657.16275989
"47",828216.44316382
"48",557934.425241821
"49",378712.011589339
"50",682321.402646754
"51",349265.845823782
"52",359068.225232351
"53",1429635.61798923
"54",1433041.32445561
"55",551758.824342888
"56",462710.148092473
"57",160730.197585248
"58",295378.817498539
"59",926790.144939821
"60",508810.670819063
"61",1021024.98862046
"62",667577.188493397
"63",349388.528864664
"64",530000.625957476
"65",460644.402637745
"66",202123.451942138
"67",144206.80578016
"68",921071.1617931
"69",646069.59620722
"70",460451.460673608
"71",786313.024208187
"72",921571.527148527
"73",350973.173636754
"74",499793.669243317
"75",407488.321905332
"76",899417.342908426
"77",381343.704022866
"78",655121.544535537
"79",302803.642074847
"80",1305604.1856697
"81",646386.641134242
"82",509704.717031356
"83",255382.898731108
"84",565279.317999435
"85",478319.742172306
"86",659729.80959836
"87",515735.429539069
"88",451652.753117638
"89",1187604.00303719
"90",1308258.11434147
"91",774303.128370473
"92",277161.719450798
"93",112518.337415333
"94",304008.721158526
"95",232630.586662986
"96",441893.34545982
"97",247375.159740814
"98",413903.617198959
"99",285484.971365846
"100",295097.748178501
"101",1096851.32299126
"102",429052.922835182
"103",353693.188301662
"104",722869.076684144
"105",511385.356722418
"106",974910.174643643
"107",203661.370030794
"108",274073.226429043
"109",1445038.67103063
"110",267138.63877612
"111",1822105.83211829
"112",189990.405433894
"113",272197.1758376
"114",332056.864030828
"115",2680727.72795976
"116",366682.540390437
"117",1483918.8502
"118",134156.249548886
"119",389608.822003258
"120",647945.984782237
"121",255603.517785562
"122",241416.88554441
"123",243098.827671424
"124",811339.864697168
"125",253996.756263618
"126",377020.262428628
"127",808078.929831086
"128",1096034.39271774
"129",424158.30947703
"130",618242.638309703
"131",495271.37440942
"132",601553.054427907
"133",360804.629169014
"134",301778.452370084
"135",705385.218208905
"136",421707.413816988
"137",1079842.46699888
"138",249654.620475159
"139",457478.823110613
"140",288602.35032008
"141",532335.895346767
"142",936939.700624682
"143",461026.050069961
"144",355398.114808765
"145",717221.226615745
"146",695895.089897154
"147",211242.538835379
"148",327770.209090069
"149",577358.990058397
"150",240177.255322281
"151",238795.988406479
"152",312944.805023408
"153",245967.07167114
"154",1186712.54756512
"155",553248.528823845
"156",381648.453928587
"157",526939.700860829
"158",469399.398527673
"159",604935.568958245
"160",862334.123237802
"161",1292866.431233
"162",793480.017352536
"163",348242.470873282
"164",1150034.69395505
"165",422410.03646573
"166",571398.39858253
"167",271659.936643499
"168",463117.650808429
"169",249311.166040042
"170",167540.537365411
"171",427147.313043039
"172",671078.147356835
"173",311440.250977483
"174",336179.766672551
"175",327211.910032909
"176",286557.444773582
"177",404911.446684048
"178",278464.879255907
"179",427956.291135308
"180",159691.02093747
"181",574466.806553917
"182",243369.498010177
"183",1072456.86109141
"184",786218.056633126
"185",871652.413313442
"186",1233510.9604172
"187",286748.985693784
"188",476708.744193207
"189",216966.821052524
"190",449647.642923769
"191",172605.857581952
"192",567824.541461045
"193",261661.428852132
"194",305738.741210478
"195",258984.594132973
"196",372219.030079967
"197",187983.677119998
"198",234293.673444562
"199",429305.456324979
"200",180863.929313245
"201",364486.621237898
"202",240014.037056683
"203",150496.528479782
"204",241325.719353026
"205",589294.621071979
"206",295167.053770357
"207",367020.494044971
"208",226178.752374324
"209",552937.167461746
"210",269310.955833609
"211",147126.757108823
"212",577001.247288145
"213",466131.634382452
"214",579753.736996905
"215",819286.619027269
"216",262174.5351764
"217",724329.688972953
"218",239752.289014913
"219",296985.22746422
"220",380210.561248332
"221",228924.024846418
"222",639526.593373235
"223",246806.854327168
"224",178726.048779648
"225",342133.024848609
"226",138255.407733473
"227",940652.497524185
"228",577752.844250984
"229",481666.045436471
"230",783895.111785259
"231",355628.317795149
"232",331302.539441517
"233",377648.134393471
"234",443570.663297437
"235",161276.92278813
"236",474203.543660316
"237",485226.277760527
"238",502221.122316606
"239",431927.373802925
"240",930605.134074115
"241",342484.19633632
"242",455927.239034901
"243",520000.064302382
"244",397816.356488691
"245",760212.710286387
"246",641072.866138034
"247",296457.397807379
"248",223786.167992725
"249",395148.350587978
"250",862047.094802262
"251",648603.776708449
"252",437491.449494861
"253",418127.361054281
"254",346877.094529749
"255",210289.820397877
"256",374932.790481761
"257",211519.607847311
"258",566137.270645509
"259",463385.143427865
"260",385508.434494226
"261",1029456.82249121
"262",606788.298054497
"263",328398.413509244
"264",555065.445691192
"265",643095.760940282
"266",515551.006313089
"267",496147.007315824
"268",577522.414513291
"269",430175.040347632
"270",515633.687147842
"271",772724.365054202
"272",340965.637831708
"273",143196.01313359
"274",991342.148651517
"275",671794.20776474
"276",489345.659036228
"277",435765.245878455
"278",249214.022906263
"279",674858.631841651
"280",344882.084320248
"281",980123.393789797
"282",274984.526313782
"283",688243.269050821
"284",281154.499207934
"285",647029.687572222
"286",576996.013306651
"287",577820.507734026
"288",1450756.978304
"289",284762.397214632
"290",576578.392144253
"291",237179.46997963
"292",317123.850203868
"293",471326.164423455
"294",1366916.49553404
"295",674752.370409476
"296",338882.163980264
"297",758842.749468326
"298",174372.20919256
"299",625055.551781942
"300",1034209.67479727
"301",314311.524143781
"302",414852.681791774
"303",772008.600775024
"304",797900.164867999
"305",461626.819590093
"306",1240332.55976829
"307",461782.146477109
"308",327001.761584059
"309",445524.946595794
"310",532113.085107114
"311",425793.45150518
"312",753968.313948995
"313",155017.279437884
"314",551544.447091455
"315",872121.078032239
"316",1492409.7372502
"317",496239.267605167
"318",275214.428943524
"319",1117068.18244433
"320",480808.079538693
"321",790634.754238654
"322",532047.950758518
"323",296913.810183876
"324",255323.612870414
"325",555456.517267492
"326",323142.906237559
"327",530877.434148048
"328",460244.905323946
"329",270537.883301232
"330",1007903.23132576
"331",467187.008164243
"332",488190.774149119
"333",1192690.4392127
"334",394630.303992147
"335",401414.682263338
"336",235024.69106491
"337",830126.132349434
"338",591396.27848833
"339",365622.00380145
"340",590925.908299236
"341",210493.675316576
"342",370766.558823312
"343",291825.734976519
"344",220544.174383482
"345",264251.221942451
"346",331017.830281955
"347",217500.265962523
"348",329460.763239206
"349",468361.738032851
"350",459252.346331297
"351",327185.2025581
"352",389314.99224549
"353",339003.293858583
"354",541926.035001662
"355",338055.505682104
"356",513218.013969359
"357",443972.494412331
