"","V1"
"1",310153.32773363
"2",846049.668338999
"3",308214.816418843
"4",512254.976274303
"5",464024.529536372
"6",470205.782492395
"7",644530.311572994
"8",296345.090142067
"9",231871.212911776
"10",640658.413112217
"11",309527.898596111
"12",275615.079615703
"13",202555.886354908
"14",310998.748009134
"15",505715.551481082
"16",681181.88645939
"17",755390.313256756
"18",437990.123781325
"19",647762.264696215
"20",322076.656348621
"21",845306.307504516
"22",199698.642591476
"23",282312.12266693
"24",418223.796151541
"25",743127.302716459
"26",280910.24902439
"27",1125898.49241791
"28",479306.60331772
"29",191204.404640151
"30",305127.490659247
"31",203496.274241244
"32",947384.247929593
"33",620239.172341565
"34",157111.225827897
"35",214398.43276063
"36",459553.553350237
"37",175676.355655233
"38",1163997.30259964
"39",1627338.92049734
"40",266634.136866741
"41",664319.879609661
"42",1028133.96105634
"43",253663.99908837
"44",356158.073028121
"45",149653.963429967
"46",1217921.03726725
"47",826979.562750294
"48",555128.19076376
"49",387351.80983612
"50",680379.126234937
"51",344197.563388975
"52",365531.343764846
"53",1429974.14080913
"54",1449902.75408609
"55",544011.160924917
"56",475033.129995871
"57",159239.575376595
"58",298344.031276631
"59",936578.30323476
"60",491943.235572485
"61",1021051.59884982
"62",661601.503276659
"63",358290.460907368
"64",537961.480189693
"65",461064.999898736
"66",202070.124085087
"67",109270.91096564
"68",932556.715213872
"69",645799.356990878
"70",476195.177009213
"71",793899.090136976
"72",933775.070312642
"73",362059.969264659
"74",513405.167868777
"75",399701.227123885
"76",913319.924018856
"77",387271.021215498
"78",665152.866649611
"79",301771.428716492
"80",1291736.12919944
"81",645028.712286094
"82",486704.552670031
"83",248906.777503903
"84",580076.528403333
"85",486063.445239636
"86",669081.706142802
"87",526955.349316307
"88",453615.425504319
"89",1190921.51555891
"90",1320814.45984731
"91",777973.496399669
"92",260260.45991746
"93",123792.602821983
"94",310512.525467944
"95",236718.541057474
"96",442590.425935358
"97",256615.350315219
"98",425417.324380464
"99",283966.531113939
"100",277763.945494242
"101",1078331.20382976
"102",442137.815047086
"103",360712.693914349
"104",731418.266722019
"105",512716.993745953
"106",986268.046885835
"107",187469.719220314
"108",291825.905746499
"109",1459770.18243993
"110",263550.218002134
"111",1763673.41815061
"112",195429.781349637
"113",274072.947877617
"114",328474.418634393
"115",2681554.90661692
"116",390364.88442299
"117",1502921.21742431
"118",135608.596529495
"119",400169.406558967
"120",654345.769265224
"121",256066.048430007
"122",240991.877905035
"123",257903.015469402
"124",813750.006611236
"125",262447.211732597
"126",382713.653397113
"127",825059.857898508
"128",1104093.32598034
"129",434457.667409841
"130",604259.011352764
"131",506385.794330094
"132",588214.098335688
"133",355745.59927002
"134",305702.224178102
"135",698770.165071335
"136",433273.000861264
"137",1072373.19099021
"138",246373.757151905
"139",473496.050556303
"140",271296.508669434
"141",528015.110220607
"142",940728.777252949
"143",477429.153776538
"144",360301.523086556
"145",714664.421048677
"146",699616.599471798
"147",217511.192297506
"148",322966.046308299
"149",581389.735017724
"150",245620.728921714
"151",227230.178786371
"152",309285.590541897
"153",256174.831517513
"154",1174334.82322192
"155",542904.529993644
"156",376196.040057504
"157",531982.945220472
"158",487105.531101997
"159",609793.333230892
"160",871353.302493886
"161",1308113.72966858
"162",798462.933043082
"163",334937.034403138
"164",1148094.84266499
"165",422955.224563333
"166",551394.186917519
"167",277813.059985559
"168",474821.889364641
"169",254538.562499996
"170",189844.366511019
"171",433691.461870557
"172",673797.437248365
"173",315680.233438104
"174",320274.704935996
"175",333757.599722737
"176",275697.160775674
"177",401953.203796626
"178",287042.963894795
"179",430817.941721175
"180",170530.759844031
"181",578627.572808237
"182",240412.004901361
"183",1005289.39640641
"184",794438.924784894
"185",861344.613511439
"186",1225853.71497292
"187",289236.11406048
"188",475285.35900543
"189",221243.246891248
"190",459812.724889238
"191",180396.354356259
"192",565021.429789255
"193",256936.649117793
"194",294604.966441615
"195",272449.237738062
"196",380988.051863741
"197",193721.697418604
"198",253668.910759005
"199",431412.67675607
"200",192038.344045968
"201",369805.705406769
"202",233705.80674388
"203",146305.991773249
"204",252775.448724021
"205",574341.807763984
"206",275404.941700123
"207",351359.470295229
"208",199254.629619431
"209",540220.291440874
"210",255094.368499221
"211",137662.479945679
"212",581006.86325291
"213",451869.764360549
"214",587040.193416904
"215",832637.668825781
"216",266003.682106906
"217",726647.783598618
"218",238465.906560317
"219",280242.930750434
"220",381033.400481555
"221",239259.999016297
"222",643107.589750332
"223",229251.992154757
"224",155343.79317525
"225",337769.489544832
"226",142445.744884653
"227",938307.328223122
"228",577156.337424136
"229",466915.197365951
"230",775664.500982772
"231",341490.332995545
"232",318883.283280925
"233",396078.182405141
"234",452723.386945407
"235",167034.112463289
"236",484746.688473711
"237",498437.182554007
"238",482766.849321425
"239",431368.109016808
"240",923493.510481441
"241",355758.502421992
"242",445579.908460652
"243",533516.588292217
"244",382644.448612101
"245",747120.294713258
"246",650630.452193521
"247",304436.962900526
"248",232982.272537148
"249",408936.315078901
"250",872706.334001888
"251",664225.858720289
"252",430425.639544472
"253",420143.596327596
"254",342600.475123646
"255",219215.368577997
"256",391848.999283206
"257",186539.133872511
"258",553697.676811967
"259",460606.806184791
"260",371164.661761769
"261",1045630.66214941
"262",593510.351822207
"263",312383.688350856
"264",556603.141647276
"265",624086.836414162
"266",520841.945642287
"267",504216.172310302
"268",574841.865602015
"269",422263.713377806
"270",509568.047888555
"271",774813.300812563
"272",351568.881019407
"273",141712.187883964
"274",990344.39026613
"275",671511.175720772
"276",481180.014378066
"277",441100.74107469
"278",241852.275868635
"279",656130.956991293
"280",338557.761144471
"281",986846.608395724
"282",272429.244178955
"283",690432.481883762
"284",285726.696676415
"285",643833.451248387
"286",588187.850210881
"287",562326.813372535
"288",1456523.50877173
"289",286159.063477931
"290",584577.460949291
"291",239555.695791636
"292",320496.24829005
"293",477830.495788005
"294",1354946.59880914
"295",689280.612796183
"296",332094.674864942
"297",741093.235814767
"298",175034.235960488
"299",630891.110707346
"300",1030254.35727418
"301",315897.188723757
"302",387993.825517356
"303",786430.88260163
"304",791194.68613288
"305",475533.26753545
"306",1226278.55025306
"307",463117.238921273
"308",334238.531904741
"309",456833.306384879
"310",527344.90175824
"311",439357.959234687
"312",759583.978629523
"313",141415.036040509
"314",557378.635779154
"315",873436.347270315
"316",1485685.57491389
"317",486388.41480269
"318",266278.785438844
"319",1111776.6506781
"320",474648.95751479
"321",775663.893714779
"322",531961.207868141
"323",272880.880275968
"324",258057.419389581
"325",567522.184127322
"326",304488.672909471
"327",528875.837680871
"328",474550.017147026
"329",282645.846197592
"330",990362.461179762
"331",463949.695976477
"332",487752.647138181
"333",1200356.99126535
"334",396029.317235285
"335",410764.066377501
"336",250699.377489862
"337",821115.362978304
"338",603076.723337891
"339",368415.36161824
"340",605329.836650209
"341",216916.593892054
"342",357630.313952973
"343",278540.017463937
"344",232789.214002281
"345",272168.498232008
"346",332780.580063892
"347",217467.589082969
"348",339540.949134974
"349",472216.473683718
"350",460747.843141701
"351",305961.486756383
"352",394895.043052291
"353",331518.999426591
"354",557562.245527317
"355",343636.787710942
"356",499955.578407806
"357",459587.366808947
"358",334902.101390626
"359",303848.918561205
"360",319635.791112669
"361",495497.239974483
"362",1012083.71757521
"363",1486711.2579089
"364",409585.844225692
"365",142377.068711632
"366",836941.541057571
"367",366385.514202067
"368",330407.695757446
"369",660425.048953891
"370",556836.027139776
"371",321012.186277207
"372",420225.430279424
"373",537288.610408904
"374",667976.47339202
"375",427853.988405815
"376",1600671.98479827
"377",163175.273666917
"378",628763.28624701
"379",511204.904103582
"380",454984.022919893
"381",598864.087162528
"382",777727.489277721
"383",350769.326046293
"384",368750.890899641
"385",488016.534011231
"386",532733.135297344
"387",613689.645005108
"388",1000538.06204878
"389",298540.449021792
"390",809522.702243685
"391",1453309.22323349
"392",653142.080063733
"393",750299.784321419
"394",1070626.70896995
"395",578390.519069446
"396",360112.434962812
"397",174950.826078017
"398",426823.221473909
"399",827174.249727359
"400",417673.21177693
"401",911294.075128197
"402",140761.802017892
"403",597544.910278686
"404",138090.330140707
"405",215603.451151328
"406",879893.818482984
"407",169976.443877955
"408",889058.377235658
"409",604415.146309634
"410",340397.558316754
"411",335112.004134408
"412",654719.125462669
"413",323052.12851385
"414",157573.429854835
"415",1145667.54502114
"416",372031.334480438
"417",306220.106585783
"418",241775.801431326
"419",293952.080753952
"420",144516.035028445
"421",436154.240080157
"422",995907.238926486
"423",264000.888943511
"424",941261.688768501
"425",683047.043064934
"426",491562.601881851
"427",1034954.30264797
"428",1385900.79191458
"429",1111957.05417794
"430",683031.333115079
"431",838073.082012922
"432",343270.923655985
"433",669062.328752388
"434",591781.226239945
"435",249720.692377801
"436",706871.586464532
"437",394168.827668134
"438",1039688.21732517
"439",522716.392265266
"440",190508.882558546
"441",543203.528106317
"442",277148.859521796
"443",801382.509167445
"444",1262215.02375227
"445",204461.89774691
"446",363119.218162966
"447",290785.498115047
"448",414465.337059775
"449",265710.984669774
"450",664244.858072901
"451",857840.540467976
"452",266269.872301481
"453",456720.189346266
"454",448304.87946411
"455",511069.58277013
"456",531051.750457505
"457",188337.54687765
"458",660546.044556757
"459",925591.047762156
"460",196636.487011483
"461",1133897.53290226
"462",278719.43269068
"463",1244907.21373701
"464",653010.935462118
"465",468843.173425679
"466",589944.379663855
"467",403987.251605261
"468",321082.00435927
"469",164766.575721807
"470",808070.527222215
"471",778300.62739111
"472",241671.906051928
"473",239427.518320613
"474",914019.375270038
"475",358642.346663718
"476",463068.75770699
"477",376057.764214515
"478",470209.505845724
"479",301017.113641126
"480",456557.320077998
"481",293557.497384478
"482",283275.145961876
"483",636459.354869061
"484",775038.997585387
"485",440596.140585628
"486",598645.121788168
"487",512609.771096993
"488",1211964.09547932
"489",257209.112738652
"490",244440.716906081
"491",395558.379983411
"492",489252.976235934
"493",116056.455511057
"494",319890.011714102
"495",1436294.67114585
"496",299654.146265942
"497",318318.500493948
"498",1353105.71292725
"499",796210.826376538
"500",409163.46748551
"501",161459.570594052
"502",273543.066260123
"503",316567.621399948
"504",474746.945605574
"505",301125.704435918
"506",210348.521590403
"507",123660.825247092
"508",523245.120006146
"509",938969.157614039
"510",640764.625148507
"511",393403.658600493
"512",208517.674940945
"513",603979.137202889
"514",761012.319344988
"515",1111659.89159288
"516",1314419.76062993
"517",1340647.64821856
"518",276924.871285236
"519",131296.861381714
"520",386689.258892737
"521",571011.280892934
"522",370767.424621814
"523",560726.958181046
"524",571709.0351477
"525",499443.918170218
"526",233945.422534502
"527",508990.649105015
"528",273171.345227402
"529",1098395.14329284
"530",561020.9492922
"531",410968.676972932
"532",1149472.98547552
"533",873335.778460739
"534",836384.12473087
"535",675219.929036942
"536",473143.266306212
"537",940107.075526925
"538",583510.351996317
"539",320655.333655729
"540",459536.662944572
"541",576705.083712195
"542",312328.606796966
"543",420275.605388454
"544",700696.349866128
"545",1058428.56743112
"546",294438.791258658
"547",413127.979668597
"548",237157.866740986
"549",826758.43381763
"550",582002.617957797
"551",177453.313034182
"552",578689.659694547
"553",683379.806648217
"554",773054.200361325
"555",603086.38968517
"556",273010.470965346
"557",236241.365459315
"558",545069.472865497
"559",166545.090071596
"560",809621.895765217
"561",552332.94218269
"562",441732.366202054
"563",305749.861909493
"564",915710.116975809
"565",183444.653032557
"566",430644.02465469
"567",666501.98314364
"568",485641.885596395
"569",1168876.18386399
"570",334687.637684498
"571",415505.583726933
"572",624322.506151833
"573",258116.048396537
"574",472571.495154179
"575",270584.78438503
"576",148905.09736788
"577",552302.287969934
